Vd	Vth_RM	Vth_TCM	Vth_SDLM
20	0.467768	0.405	-0.14
30	0.46781	0.41	-0.175
40	0.470346	0.42	-0.11
50	0.471761	0.42	-0.1
60	0.474167	0.42	-0.02
70	0.476424	0.435	-0.12
80	0.478625	0.43	-0.125
90	0.481572	0.43	-0.115
100	0.482056	0.44	-0.045
150	0.505796	0.48	0.42
300	0.516608	0.505	0.415
450	0.50549	0.535	0.425
600	0.499097	0.515	0.41
750	0.497925	0.53	0.42
900	0.497441	0.52	0.42
