Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0.76	1.5661e-06	-2.9318e-10	-1.5521e-06	3.592e-07	-3.6474e-07	6.4642e-05	-1.3527e-10	-6.457e-05	3.5888e-07	-3.644e-07	0.0014664	-3.048e-11	-0.001466	3.5918e-07	-3.648e-07	0.0086698	7.693e-11	-0.0086674	3.5966e-07	-3.6522e-07	0.021142	2.5966e-10	-0.021126	3.607e-07	-3.6604e-07	0.03541	7.0142e-10	-0.035396	3.6158e-07	-3.6678e-07	0.049706	1.8866e-09	-0.049692	3.6262e-07	-3.677e-07
0.765	1.5842e-06	-2.9733e-10	-1.5799e-06	3.5916e-07	-3.6494e-07	6.535e-05	-1.3807e-10	-6.5362e-05	3.5886e-07	-3.6462e-07	0.0014784	-2.968e-11	-0.0014774	3.5914e-07	-3.649e-07	0.0087052	7.281e-11	-0.0087036	3.5972e-07	-3.6528e-07	0.021192	2.5899e-10	-0.021178	3.6076e-07	-3.662e-07	0.035476	6.9363e-10	-0.035458	3.6158e-07	-3.6686e-07	0.049784	1.8854e-09	-0.049774	3.6278e-07	-3.6778e-07
0.77	1.6126e-06	-3.0549e-10	-1.6052e-06	3.5898e-07	-3.648e-07	6.6246e-05	-1.4391e-10	-6.6198e-05	3.588e-07	-3.6466e-07	0.0014902	-3.708e-11	-0.0014888	3.5914e-07	-3.651e-07	0.0087372	7.826e-11	-0.008738	3.598e-07	-3.6552e-07	0.021248	2.5658e-10	-0.021228	3.6076e-07	-3.6638e-07	0.035544	7.0298e-10	-0.035526	3.6158e-07	-3.6694e-07	0.049862	1.8801e-09	-0.04985	3.6268e-07	-3.6794e-07
0.775	1.6445e-06	-3.1177e-10	-1.627e-06	3.5902e-07	-3.6496e-07	6.708e-05	-1.4492e-10	-6.7096e-05	3.5886e-07	-3.6484e-07	0.0015012	-3.292e-11	-0.001501	3.5928e-07	-3.6526e-07	0.0087712	7.235e-11	-0.008774	3.5972e-07	-3.6558e-07	0.021294	2.5754e-10	-0.021288	3.608e-07	-3.6644e-07	0.035608	6.9646e-10	-0.035594	3.616e-07	-3.67e-07	0.049944	1.8845e-09	-0.049922	3.6278e-07	-3.6806e-07
0.78	1.6598e-06	-3.1542e-10	-1.6546e-06	3.5898e-07	-3.6502e-07	6.7932e-05	-1.495e-10	-6.79e-05	3.588e-07	-3.6496e-07	0.0015132	-3.979e-11	-0.001513	3.5922e-07	-3.6524e-07	0.0088104	7.233e-11	-0.0088064	3.597e-07	-3.6578e-07	0.02135	2.5702e-10	-0.021334	3.607e-07	-3.6664e-07	0.035672	6.9549e-10	-0.035658	3.6166e-07	-3.6716e-07	0.050016	1.8789e-09	-0.05	3.6278e-07	-3.6816e-07
0.785	1.6905e-06	-3.2618e-10	-1.6798e-06	3.5898e-07	-3.6514e-07	6.8772e-05	-1.5289e-10	-6.879e-05	3.5888e-07	-3.6514e-07	0.0015252	-3.93e-11	-0.001524	3.5912e-07	-3.6556e-07	0.0088472	7.363e-11	-0.0088432	3.5964e-07	-3.6602e-07	0.0214	2.5669e-10	-0.02139	3.6086e-07	-3.668e-07	0.035732	6.954e-10	-0.035722	3.6166e-07	-3.6742e-07	0.050092	1.8829e-09	-0.05008	3.628e-07	-3.683e-07
0.79	1.7157e-06	-3.3122e-10	-1.7099e-06	3.5888e-07	-3.6526e-07	6.9692e-05	-1.5937e-10	-6.9728e-05	3.588e-07	-3.6518e-07	0.0015374	-4.284e-11	-0.001536	3.592e-07	-3.6558e-07	0.0088816	6.962e-11	-0.00888	3.597e-07	-3.6598e-07	0.021454	2.548e-10	-0.021436	3.6084e-07	-3.669e-07	0.035798	6.9969e-10	-0.035782	3.6168e-07	-3.6752e-07	0.050164	1.8785e-09	-0.050152	3.6286e-07	-3.6856e-07
0.795	1.747e-06	-3.3786e-10	-1.7333e-06	3.5906e-07	-3.6534e-07	7.0616e-05	-1.5926e-10	-7.056e-05	3.588e-07	-3.6524e-07	0.0015492	-4.382e-11	-0.0015484	3.5912e-07	-3.6576e-07	0.0089148	7.16e-11	-0.008914	3.598e-07	-3.6622e-07	0.021508	2.5791e-10	-0.021488	3.6078e-07	-3.6698e-07	0.035862	6.8986e-10	-0.035846	3.6172e-07	-3.6768e-07	0.050238	1.878e-09	-0.050226	3.6292e-07	-3.688e-07
0.8	1.7711e-06	-3.4428e-10	-1.7634e-06	3.5886e-07	-3.6558e-07	7.145e-05	-1.6759e-10	-7.1424e-05	3.589e-07	-3.6542e-07	0.0015618	-4.675e-11	-0.0015608	3.592e-07	-3.659e-07	0.0089514	6.824e-11	-0.008949	3.5976e-07	-3.6628e-07	0.021558	2.538e-10	-0.021546	3.6082e-07	-3.6716e-07	0.035922	6.972e-10	-0.035912	3.6176e-07	-3.6798e-07	0.050318	1.881e-09	-0.0503	3.6308e-07	-3.6886e-07
0.805	1.7958e-06	-3.5255e-10	-1.7917e-06	3.5882e-07	-3.6554e-07	7.2364e-05	-1.6729e-10	-7.2356e-05	3.5892e-07	-3.6556e-07	0.0015734	-4.795e-11	-0.0015728	3.5922e-07	-3.6604e-07	0.0089856	7.091e-11	-0.0089844	3.5968e-07	-3.6642e-07	0.021608	2.5447e-10	-0.021594	3.6082e-07	-3.6722e-07	0.035986	6.9773e-10	-0.035972	3.6176e-07	-3.6806e-07	0.050388	1.8767e-09	-0.050372	3.6298e-07	-3.6896e-07
