Vds	Vsg = 150	Vsg = 300	Vsg = 450	Vsg = 600	Vsg = 750	Vsg = 900
0.9	-3.78400000000001e-05	-3.84399999999999e-05	-2.48e-05	-4.52999999999998e-05	-3.60599999999999e-05	-6.47999999999997e-06
0.895	-3.6635e-05	-3.83616666666666e-05	-2.46816666666667e-05	-3.88633333333332e-05	-3.6265e-05	-1.02883333333333e-05
0.89	-3.5331e-05	-3.85169999999999e-05	-2.7635e-05	-3.4569e-05	-3.0136e-05	-1.7736e-05
0.885	-3.4326e-05	-3.63029999999999e-05	-2.8655e-05	-3.3443e-05	-3.019e-05	-2.4314e-05
0.88	-3.2792e-05	-3.3221e-05	-2.9324e-05	-3.1548e-05	-2.9306e-05	-2.5584e-05
0.875	-3.1284e-05	-3.2639e-05	-3.1461e-05	-2.9668e-05	-2.8939e-05	-2.563e-05
0.87	-3.0565e-05	-3.2129e-05	-3.3008e-05	-3.0158e-05	-3.2982e-05	-2.9759e-05
0.865	-2.9808e-05	-3.0186e-05	-3.1751e-05	-3.0218e-05	-3.2447e-05	-3.0261e-05
0.86	-2.7921e-05	-2.9625e-05	-3.0184e-05	-2.8041e-05	-2.7512e-05	-2.469e-05
0.855	-2.6821e-05	-2.9135e-05	-2.9695e-05	-2.787e-05	-2.76180000000001e-05	-2.5392e-05
0.85	-2.8195e-05	-2.6707e-05	-2.8662e-05	-2.8333e-05	-2.67570000000001e-05	-3.076e-05
0.845	-2.8759e-05	-2.4802e-05	-2.6946e-05	-2.4946e-05	-2.15530000000001e-05	-2.9353e-05
0.84	-2.76100000000001e-05	-2.42880000000001e-05	-2.65080000000001e-05	-2.21820000000001e-05	-2.37160000000001e-05	-2.4156e-05
0.835	-2.75050000000001e-05	-2.44400000000001e-05	-2.62490000000001e-05	-2.20900000000001e-05	-2.84700000000001e-05	-2.23780000000001e-05
0.83	-2.6602e-05	-2.4809e-05	-2.4669e-05	-2.1883e-05	-2.5567e-05	-2.12e-05
0.825	-2.3929e-05	-2.4522e-05	-2.3936e-05	-2.4019e-05	-2.4267e-05	-1.7957e-05
0.82	-2.1768e-05	-2.38060000000001e-05	-2.3204e-05	-2.637e-05	-2.5759e-05	-1.6216e-05
0.815	-2.0433e-05	-2.3843e-05	-2.1641e-05	-2.5463e-05	-2.2019e-05	-1.7865e-05
0.81	-2.0112e-05	-2.4002e-05	-2.1199e-05	-2.5187e-05	-1.7852e-05	-2.1995e-05
0.805	-2.1043e-05	-2.3433e-05	-2.0838e-05	-2.3819e-05	-1.9535e-05	-2.2847e-05
0.8	-2.0995e-05	-2.3093e-05	-1.8924e-05	-2.0142e-05	-2.0958e-05	-1.8838e-05
0.795	-1.9781e-05	-2.2508e-05	-1.7728e-05	-1.9579e-05	-1.8846e-05	-1.568e-05
0.79	-1.9137e-05	-2.1038e-05	-1.8711e-05	-1.9443e-05	-1.9888e-05	-1.6632e-05
0.785	-1.8642e-05	-1.9766e-05	-2.0326e-05	-1.6497e-05	-2.2969e-05	-1.6632e-05
0.78	-1.8004e-05	-1.905e-05	-2.108e-05	-1.5474e-05	-1.983e-05	-1.4961e-05
0.775	-1.7744e-05	-1.8482e-05	-2.0716e-05	-1.6473e-05	-1.5197e-05	-1.6909e-05
0.77	-1.8123e-05	-1.8277e-05	-1.9415e-05	-1.6372e-05	-1.7338e-05	-1.9438e-05
0.765	-1.8581e-05	-1.7573e-05	-1.6795e-05	-1.7028e-05	-1.8702e-05	-1.7312e-05
0.76	-1.7759e-05	-1.6084e-05	-1.4123e-05	-1.7922e-05	-1.4214e-05	-1.3497e-05
0.755	-1.589e-05	-1.5621e-05	-1.3441e-05	-1.7499e-05	-1.3727e-05	-1.3694e-05
0.75	-1.4595e-05	-1.5863e-05	-1.3956e-05	-1.577e-05	-1.7233e-05	-1.5648e-05
0.745	-1.4376e-05	-1.5121e-05	-1.4523e-05	-1.4269e-05	-1.6134e-05	-1.4121e-05
0.74	-1.4712e-05	-1.4326e-05	-1.5209e-05	-1.4418e-05	-1.4322e-05	-1.139e-05
0.735	-1.4827e-05	-1.4673e-05	-1.5473e-05	-1.3667e-05	-1.5522e-05	-1.347e-05
0.73	-1.459e-05	-1.4503e-05	-1.4972e-05	-1.277e-05	-1.4397e-05	-1.5429e-05
0.725	-1.464e-05	-1.3252e-05	-1.4065e-05	-1.3977e-05	-1.1366e-05	-1.1602e-05
0.72	-1.4136e-05	-1.2875e-05	-1.2936e-05	-1.3923e-05	-1.0817e-05	-1.0626e-05
0.715	-1.2421e-05	-1.3146e-05	-1.2045e-05	-1.2027e-05	-1.1284e-05	-1.4529e-05
0.71	-1.1205e-05	-1.2688e-05	-1.1618e-05	-1.2064e-05	-1.0875e-05	-1.2995e-05
0.705	-1.1237e-05	-1.2226e-05	-1.159e-05	-1.27e-05	-1.0458e-05	-9.204e-06
0.7	-1.1252e-05	-1.2169e-05	-1.187e-05	-1.1933e-05	-1.1981e-05	-1.1623e-05
0.695	-1.0917e-05	-1.1763e-05	-1.1728e-05	-1.227e-05	-1.3979e-05	-1.3237e-05
0.69	-1.1018e-05	-1.1244e-05	-1.1284e-05	-1.3472e-05	-1.3654e-05	-1.0463e-05
0.685	-1.1097e-05	-1.1053e-05	-1.1499e-05	-1.2407e-05	-1.2863e-05	-1.0064e-05
0.68	-1.0303e-05	-1.0797e-05	-1.1694e-05	-1.0389e-05	-1.3146e-05	-1.0654e-05
0.675	-9.42699999999999e-06	-1.0137e-05	-1.0937e-05	-9.84699999999999e-06	-1.2227e-05	-8.98299999999999e-06
0.67	-9.24899999999999e-06	-9.41e-06	-1.0403e-05	-9.78699999999999e-06	-8.76399999999999e-06	-8.06999999999999e-06
0.665	-9.30599999999999e-06	-9.08799999999999e-06	-1.0701e-05	-8.65599999999999e-06	-5.74799999999999e-06	-7.88799999999999e-06
0.66	-9.47799999999999e-06	-8.90099999999999e-06	-1.0392e-05	-8.66299999999999e-06	-5.61299999999999e-06	-7.127e-06
0.655	-1.0015e-05	-8.64199999999999e-06	-8.698e-06	-9.491e-06	-7.21199999999999e-06	-7.886e-06
0.65	-1.0154e-05	-8.69499999999999e-06	-7.992e-06	-8.429e-06	-8.09199999999999e-06	-9.293e-06
0.645	-9.356e-06	-8.87199999999999e-06	-9.08e-06	-7.534e-06	-8.135e-06	-7.962e-06
0.64	-8.559e-06	-8.54499999999998e-06	-8.938e-06	-8.145e-06	-8.608e-06	-6.788e-06
0.635	-8.303e-06	-7.98899999999998e-06	-7.682e-06	-8.687e-06	-9.145e-06	-8.88699999999999e-06
0.63	-7.936e-06	-7.76099999999999e-06	-7.89799999999999e-06	-8.20299999999999e-06	-8.398e-06	-8.72199999999999e-06
0.625	-7.52500000000001e-06	-7.55500000000001e-06	-8.24700000000001e-06	-8.028e-06	-7.08500000000001e-06	-5.25999999999999e-06
0.62	-7.75700000000001e-06	-7.30500000000001e-06	-7.29600000000001e-06	-8.432e-06	-7.398e-06	-5.70099999999999e-06
0.615	-8.17200000000001e-06	-7.28700000000002e-06	-6.98800000000001e-06	-8.28000000000001e-06	-8.365e-06	-7.42799999999999e-06
0.61	-8.26400000000001e-06	-7.25100000000002e-06	-7.575e-06	-8.088e-06	-8.358e-06	-5.45299999999999e-06
0.605	-8.12600000000001e-06	-7.17000000000001e-06	-7.53400000000001e-06	-8.32e-06	-7.564e-06	-4.86799999999999e-06
0.6	-7.833e-06	-7.08699999999999e-06	-6.83399999999999e-06	-8.20599999999999e-06	-6.33099999999999e-06	-6.758e-06
0.595	-7.34399999999999e-06	-6.74499999999999e-06	-6.32899999999999e-06	-6.94299999999999e-06	-5.922e-06	-6.926e-06
0.59	-6.60199999999999e-06	-6.26499999999999e-06	-6.559e-06	-5.634e-06	-6.069e-06	-5.659e-06
0.585	-5.93599999999999e-06	-5.97699999999999e-06	-6.729e-06	-5.067e-06	-4.914e-06	-5.298e-06
0.58	-5.63599999999999e-06	-5.63999999999999e-06	-6.366e-06	-4.936e-06	-4.703e-06	-6.228e-06
0.575	-5.45099999999999e-06	-5.103e-06	-6.26299999999999e-06	-4.95499999999999e-06	-6.429e-06	-6.653e-06
0.57	-5.31600000000001e-06	-4.91900000000001e-06	-6.415e-06	-4.781e-06	-5.87e-06	-5.074e-06
0.565	-5.38800000000001e-06	-5.13800000000001e-06	-6.068e-06	-4.897e-06	-4.238e-06	-4.459e-06
0.56	-5.29700000000001e-06	-5.26e-06	-5.262e-06	-5.003e-06	-5.146e-06	-5.398e-06
0.555	-5.213e-06	-5.23200000000001e-06	-4.54700000000001e-06	-4.635e-06	-5.5e-06	-4.787e-06
0.55	-5.549e-06	-5.377e-06	-4.22200000000001e-06	-4.682e-06	-4.215e-06	-3.769e-06
0.545	-5.614e-06	-5.42999999999999e-06	-4.579e-06	-5.261e-06	-4.426e-06	-3.89899999999999e-06
0.54	-4.979e-06	-4.89899999999999e-06	-4.722e-06	-5.09999999999999e-06	-4.987e-06	-4.69699999999999e-06
0.535	-4.58199999999999e-06	-4.311e-06	-4.238e-06	-4.817e-06	-4.12299999999999e-06	-4.947e-06
0.53	-4.70699999999999e-06	-4.31299999999999e-06	-4.317e-06	-4.766e-06	-3.42599999999999e-06	-4.164e-06
0.525	-4.42e-06	-4.39e-06	-4.96399999999999e-06	-3.865e-06	-3.24e-06	-3.622e-06
0.52	-3.94999999999999e-06	-4.128e-06	-4.791e-06	-3.529e-06	-3.587e-06	-3.258e-06
0.515	-3.97299999999999e-06	-4.142e-06	-3.947e-06	-4.372e-06	-4.211e-06	-2.958e-06
0.51	-3.923e-06	-4.314e-06	-3.73e-06	-4.593e-06	-3.54e-06	-3.549e-06
0.505	-3.402e-06	-4.004e-06	-3.848e-06	-4.268e-06	-2.685e-06	-4.20800000000001e-06
0.5	-3.04300000000001e-06	-3.72400000000001e-06	-3.41900000000001e-06	-4.006e-06	-3.638e-06	-4.28900000000001e-06
0.495	-3.23000000000001e-06	-3.77600000000001e-06	-2.72900000000001e-06	-3.182e-06	-4.179e-06	-4.59600000000001e-06
0.49	-3.44700000000001e-06	-3.55100000000001e-06	-2.70100000000001e-06	-2.548e-06	-2.891e-06	-3.95600000000001e-06
0.485	-3.42000000000001e-06	-3.15200000000001e-06	-3.115e-06	-2.592e-06	-2.986e-06	-2.56600000000001e-06
0.48	-3.386e-06	-3.156e-06	-3.251e-06	-2.524e-06	-4.325e-06	-2.411e-06
0.475	-3.383e-06	-3.213e-06	-3.296e-06	-3.028e-06	-3.157e-06	-2.531e-06
0.47	-3.40899999999999e-06	-3.076e-06	-3.273e-06	-4.159e-06	-1.447e-06	-2.665e-06
0.465	-3.38199999999999e-06	-3.162e-06	-2.857e-06	-3.859e-06	-2.709e-06	-3.309e-06
0.46	-3.21999999999999e-06	-3.297e-06	-2.667e-06	-2.673e-06	-3.794e-06	-3.384e-06
0.455	-3.06799999999999e-06	-3.054e-06	-2.849e-06	-2.93e-06	-2.731e-06	-2.384e-06
0.45	-2.784e-06	-2.68e-06	-2.718e-06	-3.56099999999999e-06	-2.808e-06	-1.767e-06
0.445	-2.176e-06	-2.486e-06	-2.73e-06	-2.886e-06	-3.558e-06	-2.21700000000001e-06
0.44	-1.82700000000001e-06	-2.324e-06	-2.766e-06	-2.396e-06	-2.606e-06	-2.17700000000001e-06
0.435	-1.94400000000001e-06	-2.17e-06	-2.405e-06	-3.03e-06	-1.765e-06	-1.232e-06
0.43	-2.095e-06	-2.158e-06	-2.312e-06	-2.986e-06	-2.123e-06	-1.61900000000001e-06
0.425	-2.444e-06	-2.242e-06	-2.472e-06	-1.90100000000001e-06	-2.731e-06	-2.86800000000001e-06
0.42	-2.88e-06	-2.248e-06	-2.267e-06	-1.651e-06	-3.232e-06	-2.107e-06
0.415	-2.738e-06	-2.207e-06	-2.282e-06	-2.161e-06	-2.84e-06	-7.67000000000002e-07
0.41	-2.245e-06	-2.272e-06	-2.531e-06	-1.832e-06	-1.856e-06	-1.145e-06
0.405	-2.021e-06	-2.315e-06	-2.15799999999999e-06	-1.427e-06	-2.025e-06	-1.394e-06
0.4	-1.734e-06	-2.184e-06	-1.89699999999999e-06	-1.74899999999999e-06	-2.134e-06	-1.064e-06
0.395	-1.443e-06	-2.245e-06	-2.045e-06	-2.10999999999999e-06	-8.21e-07	-2.085e-06
0.39	-1.708e-06	-2.386e-06	-1.821e-06	-2.00899999999999e-06	-9.32999999999999e-07	-2.833e-06
0.385	-2.055e-06	-2.105e-06	-1.6e-06	-1.477e-06	-2.752e-06	-2.479e-06
0.38	-2.007e-06	-1.803e-06	-1.773e-06	-1.502e-06	-2.15e-06	-2.749e-06
0.375	-2.023e-06	-1.864e-06	-1.537e-06	-2.067e-06	-4.78999999999999e-07	-1.998e-06
0.37	-2.04399999999999e-06	-1.863e-06	-1.273e-06	-2.07e-06	-1.609e-06	1.33000000000002e-07
0.365	-1.639e-06	-1.653e-06	-1.861e-06	-1.472e-06	-2.459e-06	-2.12999999999999e-07
0.36	-1.316e-06	-1.634e-06	-2.271e-06	-1.184e-06	-1.086e-06	-2.027e-06
0.355	-1.326e-06	-1.581e-06	-2.025e-06	-1.346e-06	-1.16e-06	-1.636e-06
0.35	-1.215e-06	-1.35e-06	-1.958e-06	-1.22600000000001e-06	-2.49e-06	-8.44999999999992e-07
0.345	-1.14700000000001e-06	-1.19300000000001e-06	-2.051e-06	-6.59000000000008e-07	-2.05800000000001e-06	-1.66299999999999e-06
0.34	-1.43600000000001e-06	-1.09000000000001e-06	-1.622e-06	-6.23000000000008e-07	-9.88000000000011e-07	-2.06599999999999e-06
0.335	-1.47500000000001e-06	-1.06400000000001e-06	-8.76000000000003e-07	-1.24300000000001e-06	-1.15600000000001e-06	-1.39599999999999e-06
0.33	-1.143e-06	-1.21700000000001e-06	-6.26000000000002e-07	-1.44900000000001e-06	-1.33700000000001e-06	-1.637e-06
0.325	-1.142e-06	-1.323e-06	-8.22999999999999e-07	-1.412e-06	-6.10000000000008e-07	-2.453e-06
0.32	-1.34e-06	-1.214e-06	-8.14999999999999e-07	-1.561e-06	1.06999999999997e-07	-1.621e-06
0.315	-1.264e-06	-1.252e-06	-8.38999999999999e-07	-1.934e-06	-5.90000000000001e-08	-4.19999999999999e-07
0.31	-1.155e-06	-1.364e-06	-1.375e-06	-2.187e-06	-1.017e-06	-7.82999999999999e-07
0.305	-1.27e-06	-1.339e-06	-1.665e-06	-1.58099999999999e-06	-1.612e-06	-5.27999999999999e-07
0.3	-1.313e-06	-1.332e-06	-1.239e-06	-9.30999999999997e-07	-1.311e-06	3.52000000000003e-07
0.295	-1.152e-06	-1.32499999999999e-06	-8.98999999999997e-07	-1.084e-06	-1.558e-06	-9.71999999999996e-07
0.29	-1.135e-06	-1.21699999999999e-06	-1.2e-06	-1.09e-06	-2.316e-06	-2.222e-06
0.285	-1.318e-06	-1.17899999999999e-06	-1.313e-06	-8.22000000000002e-07	-1.288e-06	-6.64999999999999e-07
0.28	-1.266e-06	-1.211e-06	-9.45999999999998e-07	-1.074e-06	-1.29999999999997e-07	-1.15e-07
0.275	-1.094e-06	-1.113e-06	-9.47999999999998e-07	-1.545e-06	-9.84999999999997e-07	-1.689e-06
0.27	-1.138e-06	-1.09e-06	-1.284e-06	-1.67e-06	-1.416e-06	-1.25e-06
0.265	-1.116e-06	-1.204e-06	-1.287e-06	-1.251e-06	-8.84e-07	1.02000000000001e-07
0.26	-1.058e-06	-1.224e-06	-1.123e-06	-7.12999999999998e-07	-1.036e-06	-8.36999999999996e-07
0.255	-1.231e-06	-1.067e-06	-1.146e-06	-5.23999999999997e-07	-1.379e-06	-1.593e-06
0.25	-1.35e-06	-9.37999999999998e-07	-1.176e-06	-5.80999999999994e-07	-1.222e-06	-6.79999999999997e-07
0.245	-1.232e-06	-1.053e-06	-1.229e-06	-8.65999999999994e-07	-1.158e-06	-8.35e-07
0.24	-1.054e-06	-1.103e-06	-1.138e-06	-1.04e-06	-1.163e-06	-1.71e-06
0.235	-1.028e-06	-1.005e-06	-9.03999999999999e-07	-1.028e-06	-1.03e-06	-1.099e-06
0.23	-1.211e-06	-1.195e-06	-9.44e-07	-1.107e-06	-1.052e-06	-4.90000000000035e-08
0.225	-1.243e-06	-1.454e-06	-1.172e-06	-1.115e-06	-1.29800000000001e-06	5.89999999999979e-08
0.22	-1.113e-06	-1.346e-06	-1.24e-06	-1.31600000000001e-06	-1.42700000000001e-06	-1.69200000000004e-07
0.215	-1.267e-06	-1.231e-06	-1.40600000000001e-06	-1.86200000000001e-06	-8.23000000000011e-07	-6.61000000000001e-07
0.21	-1.411e-06	-1.306e-06	-1.557e-06	-1.93800000000001e-06	-6.42000000000012e-07	-1.8206e-06
0.205	-1.216e-06	-1.19400000000001e-06	-1.318e-06	-1.54060000000002e-06	-1.44500000000001e-06	-2.4428e-06
0.2	-1.198e-06	-1.076e-06	-1.403e-06	-1.56620000000001e-06	-1.7396e-06	-2.1928e-06
0.195	-1.446e-06	-1.307e-06	-1.835e-06	-1.3134e-06	-1.1318e-06	-2.243e-06
0.19	-1.568e-06	-1.4612e-06	-1.693e-06	-9.48399999999997e-07	-1.3686e-06	-1.66e-06
0.185	-1.632e-06	-1.3458e-06	-1.644e-06	-1.4306e-06	-2.5864e-06	-5.68200000000001e-07
0.18	-1.642e-06	-1.393e-06	-1.9714e-06	-1.59e-06	-2.16239999999999e-06	-8.276e-07
0.175	-1.5562e-06	-1.6444e-06	-1.8858e-06	-1.4056e-06	-1.04219999999999e-06	-1.4168e-06
0.17	-1.6658e-06	-1.7228e-06	-1.8332e-06	-1.7248e-06	-1.8646e-06	-1.5172e-06
0.165	-1.775e-06	-1.7162e-06	-1.8496e-06	-2.0416e-06	-2.389e-06	-1.9878e-06
0.16	-1.7198e-06	-1.9176e-06	-1.7148e-06	-2.2296e-06	-1.2954e-06	-2.2716e-06
0.155	-1.9254e-06	-2.135e-06	-1.871e-06	-2.7112e-06	-1.4642e-06	-2.0806e-06
