Dispositivi	SDLM grado 2	SDLM grado 4	SDLM grado 6	SDLM grado 8	TCM grado 2	TCM grado 4	TCM grado 6	TCM grado 8
P1-100-30	333.6	328.5	327.3	331.2	429.7	431.5	432.2	435.8
P1-100-60	425.1	417.7	412.3	414.5	469.9	472.1	471.4	471.3
P1-200-180	466.9	460.9	457.6	455.5	503.4	503.7	503.9	504.9
P1-200-30	304.9	301.4	301.7	301.1	401.0	403.8	403.1	402.4
P1-200-60	414.7	406.9	405.3	405.5	454.4	456.7	456.2	455.9
P1-600-180	458.2	449.5	445.1	445.0	482.6	484.3	483.7	482.9
P1-600-30	296.1	292.5	297.3	299.4	386.4	390.3	388.8	389.2
P1-600-60	403.5	397.1	397.4	396.3	435.4	438.2	438.5	440.4
