vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0.1	4.0546e-07	-1.7281e-10	-4.0702e-07	9.5436e-07	-9.524e-07	2.1602e-05	3.427e-11	-2.1648e-05	9.7292e-07	-9.7114e-07	0.0007695	2.8155e-10	-0.00076836	9.7986e-07	-9.7828e-07	0.0063328	7.9189e-10	-0.0063324	9.8508e-07	-9.835e-07	0.013376	2.1153e-09	-0.013352	9.9254e-07	-9.9096e-07	0.016998	6.0241e-09	-0.01697	1.001e-06	-9.992e-07	0.018698	1.94722e-08	-0.018666	1.00754e-06	-1.00616e-06
0.105	4.1574e-07	-1.7353e-10	-4.1812e-07	9.5482e-07	-9.5328e-07	2.2118e-05	3.635e-11	-2.2142e-05	9.7294e-07	-9.7156e-07	0.00078732	2.7636e-10	-0.00078674	9.7944e-07	-9.78e-07	0.0065216	7.8216e-10	-0.0065192	9.8562e-07	-9.8384e-07	0.01393	2.0885e-09	-0.013908	9.9288e-07	-9.9102e-07	0.01779	5.915e-09	-0.017766	1.0006e-06	-9.9958e-07	0.019598	1.90458e-08	-0.019576	1.00766e-06	-1.0064e-06
0.11	4.263e-07	-1.7536e-10	-4.2778e-07	9.5464e-07	-9.5332e-07	2.266e-05	3.506e-11	-2.2634e-05	9.7316e-07	-9.7186e-07	0.00080534	2.7604e-10	-0.00080456	9.798e-07	-9.785e-07	0.0067022	7.7378e-10	-0.0067002	9.8574e-07	-9.8422e-07	0.014484	2.0487e-09	-0.014462	9.9284e-07	-9.9116e-07	0.018592	5.8003e-09	-0.018564	1.00076e-06	-9.9944e-07	0.020514	1.8598e-08	-0.020488	1.0079e-06	-1.00646e-06
0.115	4.3614e-07	-1.7398e-10	-4.369e-07	9.5512e-07	-9.534e-07	2.3186e-05	3.28e-11	-2.3142e-05	9.7294e-07	-9.7148e-07	0.00082288	2.7705e-10	-0.00082216	9.7984e-07	-9.7848e-07	0.00687	7.6615e-10	-0.0068706	9.8556e-07	-9.8424e-07	0.015014	2.003e-09	-0.014994	9.928e-07	-9.9162e-07	0.019366	5.6919e-09	-0.019348	1.00102e-06	-9.9952e-07	0.021408	1.8221e-08	-0.021388	1.0072e-06	-1.00626e-06
0.12	4.4682e-07	-1.7281e-10	-4.4804e-07	9.5534e-07	-9.5358e-07	2.3726e-05	3.528e-11	-2.3692e-05	9.7312e-07	-9.7168e-07	0.00083936	2.7392e-10	-0.00083902	9.7956e-07	-9.7844e-07	0.0070356	7.5835e-10	-0.0070356	9.8536e-07	-9.8422e-07	0.015542	1.9966e-09	-0.015524	9.9304e-07	-9.9182e-07	0.020156	5.5817e-09	-0.02013	1.00082e-06	-9.9992e-07	0.022322	1.78246e-08	-0.022296	1.00782e-06	-1.00664e-06
0.125	4.5694e-07	-1.7457e-10	-4.5736e-07	9.5546e-07	-9.5402e-07	2.4216e-05	3.457e-11	-2.422e-05	9.7336e-07	-9.7204e-07	0.00085618	2.7402e-10	-0.00085588	9.7958e-07	-9.7852e-07	0.0071904	7.5626e-10	-0.0071914	9.8604e-07	-9.848e-07	0.016052	1.9692e-09	-0.016028	9.9302e-07	-9.9192e-07	0.020918	5.482e-09	-0.0209	1.00078e-06	-9.9968e-07	0.023212	1.74478e-08	-0.023188	1.00764e-06	-1.00638e-06
0.13	4.6718e-07	-1.7472e-10	-4.6868e-07	9.5574e-07	-9.544e-07	2.471e-05	2.977e-11	-2.473e-05	9.7286e-07	-9.7168e-07	0.00087282	2.7427e-10	-0.00087218	9.7976e-07	-9.7878e-07	0.0073428	7.4596e-10	-0.0073416	9.857e-07	-9.8462e-07	0.016554	1.9269e-09	-0.016534	9.9338e-07	-9.9194e-07	0.021692	5.3746e-09	-0.021668	1.00082e-06	-9.999e-07	0.02411	1.7062e-08	-0.024086	1.00776e-06	-1.00686e-06
0.135	4.78e-07	-1.7752e-10	-4.7888e-07	9.5612e-07	-9.5516e-07	2.5264e-05	3.411e-11	-2.5244e-05	9.731e-07	-9.7212e-07	0.00088902	2.7322e-10	-0.00088862	9.7958e-07	-9.7866e-07	0.0074842	7.4325e-10	-0.007484	9.8586e-07	-9.8508e-07	0.017042	1.9203e-09	-0.017016	9.9296e-07	-9.9228e-07	0.022446	5.2692e-09	-0.02242	1.00072e-06	-1.00014e-06	0.024992	1.67008e-08	-0.024966	1.00764e-06	-1.00676e-06
0.14	4.8912e-07	-1.7881e-10	-4.8866e-07	9.5616e-07	-9.5496e-07	2.5798e-05	3.478e-11	-2.577e-05	9.7324e-07	-9.7204e-07	0.00090486	2.7291e-10	-0.00090408	9.7996e-07	-9.792e-07	0.0076222	7.3823e-10	-0.0076212	9.8578e-07	-9.849e-07	0.017516	1.892e-09	-0.017494	9.9288e-07	-9.9238e-07	0.0232	5.1805e-09	-0.02318	1.00084e-06	-1.00024e-06	0.025884	1.6328e-08	-0.025864	1.00782e-06	-1.0068e-06
0.145	4.9916e-07	-1.7563e-10	-4.997e-07	9.5646e-07	-9.5542e-07	2.6294e-05	3.14e-11	-2.6254e-05	9.7382e-07	-9.7264e-07	0.00092038	2.7108e-10	-0.0009204	9.7988e-07	-9.7904e-07	0.0077512	7.3035e-10	-0.007752	9.8568e-07	-9.8526e-07	0.017976	1.8542e-09	-0.017954	9.9336e-07	-9.9234e-07	0.023942	5.098e-09	-0.023916	1.0013e-06	-1.00072e-06	0.02676	1.59816e-08	-0.026736	1.0077e-06	-1.0073e-06
0.15	5.1044e-07	-1.7689e-10	-5.1042e-07	9.5642e-07	-9.558e-07	2.6808e-05	3.227e-11	-2.6792e-05	9.7356e-07	-9.724e-07	0.00093666	2.6876e-10	-0.00093636	9.7996e-07	-9.7908e-07	0.0078782	7.2745e-10	-0.0078774	9.8568e-07	-9.8508e-07	0.018432	1.8467e-09	-0.018412	9.9336e-07	-9.928e-07	0.024678	4.9976e-09	-0.02465	1.00146e-06	-1.00068e-06	0.027644	1.56436e-08	-0.027618	1.0081e-06	-1.00754e-06
0.155	5.2022e-07	-1.7958e-10	-5.2178e-07	9.569e-07	-9.5588e-07	2.7304e-05	3.317e-11	-2.733e-05	9.7318e-07	-9.7288e-07	0.0009524	2.7263e-10	-0.0009518	9.8012e-07	-9.7938e-07	0.007999	7.2863e-10	-0.007999	9.8626e-07	-9.8568e-07	0.018866	1.8114e-09	-0.01884	9.935e-07	-9.931e-07	0.025398	4.9224e-09	-0.02538	1.0012e-06	-1.00076e-06	0.028514	1.5314e-08	-0.028494	1.0082e-06	-1.0075e-06
0.16	5.3096e-07	-1.8018e-10	-5.3156e-07	9.5712e-07	-9.5626e-07	2.7868e-05	3.275e-11	-2.7858e-05	9.7282e-07	-9.7252e-07	0.0009673	2.6973e-10	-0.00096758	9.7986e-07	-9.7948e-07	0.008115	7.2251e-10	-0.0081164	9.862e-07	-9.8568e-07	0.019286	1.7987e-09	-0.019264	9.9346e-07	-9.928e-07	0.02611	4.838e-09	-0.026098	1.00182e-06	-1.00104e-06	0.029374	1.49694e-08	-0.029352	1.00842e-06	-1.0079e-06
0.165	5.4408e-07	-1.8128e-10	-5.4332e-07	9.571e-07	-9.5638e-07	2.8386e-05	3.229e-11	-2.8356e-05	9.7336e-07	-9.7252e-07	0.00098346	2.6664e-10	-0.00098326	9.7976e-07	-9.7932e-07	0.0082288	7.081e-10	-0.0082284	9.8614e-07	-9.8598e-07	0.019704	1.7619e-09	-0.019682	9.9386e-07	-9.9326e-07	0.026832	4.7484e-09	-0.026814	1.0022e-06	-1.00148e-06	0.03024	1.46432e-08	-0.030226	1.0086e-06	-1.0082e-06
0.17	5.5544e-07	-1.8134e-10	-5.5488e-07	9.5718e-07	-9.5666e-07	2.893e-05	3.042e-11	-2.8924e-05	9.73e-07	-9.7284e-07	0.00099854	2.6957e-10	-0.00099832	9.7968e-07	-9.7938e-07	0.00834	7.1672e-10	-0.0083378	9.862e-07	-9.8586e-07	0.020106	1.7588e-09	-0.020078	9.9402e-07	-9.942e-07	0.027532	4.6756e-09	-0.027508	1.00214e-06	-1.00202e-06	0.031102	1.43396e-08	-0.031076	1.00852e-06	-1.00824e-06
0.175	5.6444e-07	-1.7983e-10	-5.651e-07	9.5746e-07	-9.5698e-07	2.9556e-05	3.15e-11	-2.9448e-05	9.7326e-07	-9.7298e-07	0.00101454	2.6809e-10	-0.0010142	9.7958e-07	-9.7928e-07	0.008445	7.1648e-10	-0.008447	9.8616e-07	-9.8614e-07	0.020496	1.7352e-09	-0.020474	9.9424e-07	-9.9394e-07	0.028228	4.5929e-09	-0.02821	1.00206e-06	-1.00196e-06	0.031966	1.40496e-08	-0.031938	1.0086e-06	-1.00874e-06
0.18	5.7706e-07	-1.819e-10	-5.7594e-07	9.5752e-07	-9.5714e-07	3.0074e-05	3.4e-11	-3.001e-05	9.733e-07	-9.7292e-07	0.00102964	2.6369e-10	-0.00102958	9.798e-07	-9.7952e-07	0.0085496	7.0425e-10	-0.0085466	9.8618e-07	-9.8616e-07	0.020868	1.7198e-09	-0.020848	9.9456e-07	-9.946e-07	0.028916	4.518e-09	-0.028888	1.0023e-06	-1.00182e-06	0.032808	1.37712e-08	-0.032788	1.0088e-06	-1.009e-06
0.185	5.8908e-07	-1.8213e-10	-5.8828e-07	9.5784e-07	-9.5724e-07	3.0642e-05	2.926e-11	-3.061e-05	9.7312e-07	-9.7298e-07	0.00104556	2.6842e-10	-0.0010446	9.7982e-07	-9.7974e-07	0.0086492	7.1897e-10	-0.0086458	9.8622e-07	-9.8628e-07	0.021242	1.6982e-09	-0.021218	9.9472e-07	-9.9446e-07	0.029594	4.4551e-09	-0.029574	1.0023e-06	-1.00226e-06	0.033664	1.34926e-08	-0.033638	1.00928e-06	-1.00922e-06
0.19	5.994e-07	-1.8635e-10	-5.9926e-07	9.5788e-07	-9.5756e-07	3.1216e-05	2.965e-11	-3.1168e-05	9.7336e-07	-9.731e-07	0.0010612	2.6743e-10	-0.00106008	9.7998e-07	-9.7994e-07	0.008747	7.0867e-10	-0.008743	9.8654e-07	-9.8646e-07	0.021596	1.6777e-09	-0.02157	9.947e-07	-9.947e-07	0.030258	4.3806e-09	-0.030238	1.00272e-06	-1.00244e-06	0.034498	1.3219e-08	-0.034474	1.00948e-06	-1.00936e-06
0.195	6.126e-07	-1.8638e-10	-6.1128e-07	9.5784e-07	-9.5802e-07	3.1792e-05	3.322e-11	-3.1754e-05	9.7352e-07	-9.733e-07	0.00107686	2.6382e-10	-0.00107688	9.7988e-07	-9.7994e-07	0.0088406	6.9703e-10	-0.008841	9.8634e-07	-9.8664e-07	0.02194	1.6551e-09	-0.021914	9.948e-07	-9.9494e-07	0.030928	4.3111e-09	-0.030898	1.00288e-06	-1.00292e-06	0.035344	1.29586e-08	-0.035318	1.00966e-06	-1.00966e-06
0.2	6.2416e-07	-1.839e-10	-6.2512e-07	9.579e-07	-9.5774e-07	3.2354e-05	3.118e-11	-3.2316e-05	9.7392e-07	-9.7358e-07	0.0010923	2.6618e-10	-0.00109172	9.7998e-07	-9.8022e-07	0.0089322	7.0535e-10	-0.0089312	9.8622e-07	-9.866e-07	0.022268	1.6473e-09	-0.022248	9.953e-07	-9.9558e-07	0.031572	4.2478e-09	-0.031548	1.00324e-06	-1.00328e-06	0.03617	1.2706e-08	-0.036144	1.00972e-06	-1.01002e-06
0.205	6.3606e-07	-1.8644e-10	-6.3736e-07	9.5824e-07	-9.5814e-07	3.2968e-05	2.851e-11	-3.2926e-05	9.7388e-07	-9.7362e-07	0.0011075	2.6603e-10	-0.00110682	9.7946e-07	-9.7996e-07	0.0090262	7.0193e-10	-0.0090232	9.8624e-07	-9.8682e-07	0.022602	1.6324e-09	-0.022576	9.9536e-07	-9.9562e-07	0.032216	4.1791e-09	-0.032196	1.00354e-06	-1.00326e-06	0.037	1.24488e-08	-0.036974	1.00972e-06	-1.01022e-06
0.21	6.5012e-07	-1.9015e-10	-6.5056e-07	9.5852e-07	-9.5826e-07	3.352e-05	3.285e-11	-3.3472e-05	9.7324e-07	-9.7362e-07	0.00112224	2.6435e-10	-0.00112234	9.7956e-07	-9.7998e-07	0.009112	6.8723e-10	-0.0091112	9.8642e-07	-9.8682e-07	0.02291	1.6201e-09	-0.022886	9.9542e-07	-9.9616e-07	0.032844	4.1265e-09	-0.032826	1.0036e-06	-1.00366e-06	0.03781	1.22094e-08	-0.037792	1.0102e-06	-1.0106e-06
0.215	6.6458e-07	-1.8971e-10	-6.6322e-07	9.5864e-07	-9.5872e-07	3.4118e-05	2.815e-11	-3.4046e-05	9.735e-07	-9.7412e-07	0.00113852	2.6438e-10	-0.00113856	9.7972e-07	-9.7998e-07	0.0091978	6.8737e-10	-0.0091994	9.8656e-07	-9.8688e-07	0.023214	1.604e-09	-0.023196	9.9574e-07	-9.9608e-07	0.033472	4.0599e-09	-0.03345	1.00338e-06	-1.00386e-06	0.038638	1.19906e-08	-0.038614	1.01044e-06	-1.0107e-06
0.22	6.755e-07	-1.9165e-10	-6.765e-07	9.5862e-07	-9.5872e-07	3.47e-05	2.746e-11	-3.464e-05	9.7354e-07	-9.7352e-07	0.0011552	2.6381e-10	-0.00115364	9.8006e-07	-9.804e-07	0.0092854	6.9058e-10	-0.0092816	9.8692e-07	-9.875e-07	0.023504	1.5904e-09	-0.023482	9.9574e-07	-9.9646e-07	0.034078	4.0029e-09	-0.034056	1.00402e-06	-1.00476e-06	0.03944	1.1751e-08	-0.039422	1.0109e-06	-1.01166e-06
0.225	6.8948e-07	-1.8944e-10	-6.8926e-07	9.5864e-07	-9.5916e-07	3.5332e-05	3.05e-11	-3.5246e-05	9.7352e-07	-9.741e-07	0.0011702	2.6398e-10	-0.0011696	9.7982e-07	-9.8028e-07	0.0093696	6.8517e-10	-0.0093698	9.868e-07	-9.8714e-07	0.023784	1.5695e-09	-0.023766	9.9622e-07	-9.9664e-07	0.034678	3.9487e-09	-0.034656	1.00446e-06	-1.0051e-06	0.04024	1.1537e-08	-0.040216	1.01116e-06	-1.01156e-06
0.23	7.0326e-07	-1.8972e-10	-7.0336e-07	9.59e-07	-9.5928e-07	3.5988e-05	2.94e-11	-3.5912e-05	9.7376e-07	-9.745e-07	0.0011862	2.6483e-10	-0.001185	9.7998e-07	-9.8074e-07	0.0094502	6.8928e-10	-0.0094504	9.8688e-07	-9.8782e-07	0.024062	1.5679e-09	-0.024036	9.9662e-07	-9.9708e-07	0.035278	3.8882e-09	-0.035256	1.00462e-06	-1.00526e-06	0.041048	1.1321e-08	-0.041024	1.0116e-06	-1.01248e-06
0.235	7.159e-07	-1.9431e-10	-7.157e-07	9.5876e-07	-9.5906e-07	3.6576e-05	2.739e-11	-3.6504e-05	9.7364e-07	-9.744e-07	0.0012022	2.6244e-10	-0.0012012	9.7986e-07	-9.8076e-07	0.009532	6.7934e-10	-0.0095348	9.8738e-07	-9.8796e-07	0.024328	1.54e-09	-0.024302	9.9682e-07	-9.9746e-07	0.03586	3.8242e-09	-0.035838	1.00472e-06	-1.00554e-06	0.041836	1.11062e-08	-0.041808	1.01214e-06	-1.01266e-06
0.24	7.3032e-07	-1.952e-10	-7.3004e-07	9.5902e-07	-9.5944e-07	3.7232e-05	2.96e-11	-3.7218e-05	9.737e-07	-9.7464e-07	0.0012174	2.6315e-10	-0.0012168	9.7992e-07	-9.8088e-07	0.0096146	6.8018e-10	-0.009614	9.8746e-07	-9.8806e-07	0.024584	1.5376e-09	-0.024568	9.969e-07	-9.9748e-07	0.036436	3.7776e-09	-0.036414	1.00506e-06	-1.00584e-06	0.042628	1.091e-08	-0.042602	1.01198e-06	-1.01314e-06
0.245	7.4384e-07	-1.9714e-10	-7.4202e-07	9.5884e-07	-9.5948e-07	3.785e-05	2.629e-11	-3.784e-05	9.736e-07	-9.7436e-07	0.0012338	2.6054e-10	-0.0012332	9.8016e-07	-9.8094e-07	0.0096914	6.7536e-10	-0.0096932	9.8736e-07	-9.8864e-07	0.024832	1.5327e-09	-0.024814	9.968e-07	-9.978e-07	0.036994	3.7262e-09	-0.036978	1.0055e-06	-1.0062e-06	0.043404	1.07144e-08	-0.04338	1.01262e-06	-1.01362e-06
0.25	7.5618e-07	-1.9838e-10	-7.5722e-07	9.595e-07	-9.599e-07	3.8506e-05	2.845e-11	-3.8494e-05	9.7366e-07	-9.7472e-07	0.00125	2.6189e-10	-0.0012486	9.7994e-07	-9.8088e-07	0.0097704	6.8322e-10	-0.0097732	9.8768e-07	-9.8872e-07	0.025076	1.5295e-09	-0.025056	9.9732e-07	-9.981e-07	0.037554	3.6757e-09	-0.03753	1.00568e-06	-1.0065e-06	0.044182	1.05312e-08	-0.044164	1.01326e-06	-1.01404e-06
0.255	7.7214e-07	-1.9664e-10	-7.713e-07	9.5956e-07	-9.6034e-07	3.9192e-05	2.881e-11	-3.9114e-05	9.7384e-07	-9.7494e-07	0.001266	2.6353e-10	-0.0012654	9.7996e-07	-9.8122e-07	0.0098522	6.6989e-10	-0.00985	9.8744e-07	-9.8894e-07	0.025308	1.5096e-09	-0.025286	9.9752e-07	-9.9886e-07	0.03809	3.6333e-09	-0.038068	1.00622e-06	-1.00712e-06	0.044944	1.03358e-08	-0.044922	1.01328e-06	-1.01442e-06
0.26	7.8886e-07	-1.9899e-10	-7.8538e-07	9.5962e-07	-9.602e-07	3.984e-05	2.42e-11	-3.9784e-05	9.7372e-07	-9.7468e-07	0.0012822	2.5961e-10	-0.0012822	9.8038e-07	-9.8176e-07	0.0099254	6.7385e-10	-0.0099272	9.8762e-07	-9.89e-07	0.025534	1.4999e-09	-0.025512	9.979e-07	-9.991e-07	0.038626	3.5832e-09	-0.038606	1.00704e-06	-1.00806e-06	0.045716	1.0146e-08	-0.04569	1.01406e-06	-1.01506e-06
0.265	8.007e-07	-2.0318e-10	-8.01e-07	9.5956e-07	-9.6064e-07	4.0536e-05	2.64e-11	-4.046e-05	9.7368e-07	-9.7482e-07	0.0012978	2.5971e-10	-0.0012974	9.8032e-07	-9.8156e-07	0.0099998	6.6955e-10	-0.0100008	9.8764e-07	-9.8874e-07	0.025758	1.4886e-09	-0.025734	9.9794e-07	-9.9934e-07	0.039146	3.5369e-09	-0.039124	1.00686e-06	-1.00782e-06	0.046462	9.9764e-09	-0.046442	1.01468e-06	-1.01586e-06
0.27	8.1916e-07	-2.0562e-10	-8.1396e-07	9.5958e-07	-9.6078e-07	4.1218e-05	2.724e-11	-4.1156e-05	9.7372e-07	-9.7494e-07	0.0013148	2.6185e-10	-0.0013134	9.803e-07	-9.8146e-07	0.01008	6.6611e-10	-0.0100792	9.8798e-07	-9.8918e-07	0.025972	1.4816e-09	-0.025948	9.9844e-07	-9.9936e-07	0.039656	3.4942e-09	-0.039636	1.0072e-06	-1.00866e-06	0.04722	9.8144e-09	-0.047198	1.01512e-06	-1.01612e-06
0.275	8.3216e-07	-2.0541e-10	-8.2916e-07	9.5978e-07	-9.6102e-07	4.1876e-05	2.337e-11	-4.1878e-05	9.7404e-07	-9.7526e-07	0.001332	2.6274e-10	-0.0013304	9.8022e-07	-9.8158e-07	0.01015	6.7806e-10	-0.0101526	9.8808e-07	-9.8942e-07	0.026174	1.4739e-09	-0.026154	9.9864e-07	-9.9992e-07	0.04016	3.4546e-09	-0.040134	1.00734e-06	-1.00902e-06	0.047956	9.6616e-09	-0.04793	1.01536e-06	-1.0167e-06
0.28	8.453e-07	-2.0401e-10	-8.4596e-07	9.6004e-07	-9.6106e-07	4.2558e-05	2.557e-11	-4.2528e-05	9.738e-07	-9.7524e-07	0.0013472	2.6149e-10	-0.0013462	9.8034e-07	-9.8184e-07	0.0102228	6.7729e-10	-0.0102236	9.8824e-07	-9.8934e-07	0.026376	1.4591e-09	-0.02635	9.987e-07	-1.00014e-06	0.040648	3.4161e-09	-0.04062	1.00822e-06	-1.00934e-06	0.048682	9.4544e-09	-0.04866	1.01642e-06	-1.01784e-06
0.285	8.6566e-07	-2.0759e-10	-8.607e-07	9.6034e-07	-9.613e-07	4.3278e-05	2.504e-11	-4.3344e-05	9.74e-07	-9.7546e-07	0.0013636	2.5976e-10	-0.0013622	9.8044e-07	-9.8196e-07	0.0103014	6.6894e-10	-0.0102986	9.8808e-07	-9.8992e-07	0.026572	1.4608e-09	-0.026544	9.9908e-07	-1.00038e-06	0.04113	3.3747e-09	-0.041108	1.00848e-06	-1.01008e-06	0.049418	9.2965e-09	-0.0494	1.01648e-06	-1.01796e-06
