gm,Vd=0V	gm,Vd=0.15V	gm,Vd=0.3V	gm,Vd=0.45V	gm,Vd=0.6V	gm,Vd=0.75V	gm,Vd=0.9V
8.01799999999999e-08	2.69726e-06	5.72799999999999e-06	1.1518e-05	2.0154e-05	3.594e-05	6.06799999999999e-05
5.593e-08	2.99406e-06	6.66600000000001e-06	1.314e-05	2.3574e-05	4.028e-05	6.985e-05
3.57e-08	3.576e-06	7.554e-06	1.457e-05	2.7106e-05	4.465e-05	7.68000000000001e-05
3.491e-08	4.19399999999999e-06	8.73199999999999e-06	1.6448e-05	3.007e-05	5.10999999999999e-05	8.32299999999999e-05
1.473e-08	4.772e-06	9.938e-06	1.89e-05	3.326e-05	5.799e-05	9.639e-05
8.08e-09	5.222e-06	1.125e-05	2.1306e-05	3.744e-05	6.479e-05	0.00011014
2.792e-08	5.878e-06	1.3076e-05	2.3932e-05	4.279e-05	7.272e-05	0.00012179
5.296e-08	6.938e-06	1.5158e-05	2.755e-05	4.818e-05	8.192e-05	0.00013467
8.406e-08	7.81800000000001e-06	1.7098e-05	3.1846e-05	5.424e-05	9.345e-05	0.0001528
1.0366e-07	8.972e-06	1.9964e-05	3.579e-05	6.235e-05	0.00010484	0.00017512
1.3403e-07	1.0312e-05	2.1534e-05	4.069e-05	7.027e-05	0.00011892	0.00019516
3.5476e-07	1.205e-05	2.4292e-05	4.605e-05	7.986e-05	0.00013379	0.00021759
2.002e-07	1.3584e-05	2.824e-05	5.074e-05	9.32e-05	0.00014747	0.00024177
4.892e-08	1.5302e-05	3.1902e-05	5.752e-05	0.00010318	0.00016967	0.00027278
3.3481e-07	1.7804e-05	3.638e-05	6.597e-05	0.00011413	0.00019766	0.0003122
2.8781e-07	1.9858e-05	4.159e-05	7.905e-05	0.00013082	0.00021651	0.0003542
2.5818e-07	2.211e-05	4.896e-05	9.453e-05	0.00014551	0.00023586	0.0003956
4.7845e-07	2.5766e-05	5.48e-05	9.792e-05	0.00017661	0.00027415	0.0004648
4.847e-07	3.045e-05	6.06e-05	0.00011108	0.00019052	0.0003128	0.0004846
4.041e-07	3.4046e-05	7.068e-05	0.00012787	0.00020839	0.0003494	0.0005262
5.9662e-07	3.884e-05	8.095e-05	0.0001434	0.00025285	0.0003896	0.0006098
8.3928e-07	4.464e-05	9.32000000000001e-05	0.00016127	0.00026748	0.0004354	0.0006782
6.604e-07	5.034e-05	0.00010717	0.00018169	0.0003008	0.0004946	0.0007776
5.238e-07	5.751e-05	0.00011729	0.0002117	0.0003494	0.0005622	0.0008668
6.9472e-07	6.613e-05	0.00013327	0.00023997	0.0003968	0.000621	0.0010068
1.43652e-06	7.566e-05	0.00015304	0.0002719	0.0004412	0.000701	0.0010904
1.21908e-06	8.548e-05	0.00017577	0.00030664	0.0004796	0.0007896	0.001177
7.8258e-07	9.877e-05	0.00020018	0.0003572	0.0005626	0.000889800000000001	0.0013666
