Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0.145	-0.036616	-8.3391e-10	0.03662	4.6052e-07	-4.3672e-07	-0.023174	-4.351e-10	0.023172	4.6028e-07	-4.3528e-07	-0.010486	-2.1713e-10	0.01049	4.6006e-07	-4.3406e-07	-0.0019652	-8.383e-11	0.001965	4.5964e-07	-4.3298e-07	-6.4402e-05	2.409e-11	6.4368e-05	4.5944e-07	-4.3262e-07	-8.6716e-07	1.253e-10	8.4156e-07	4.597e-07	-4.327e-07	-3.69616e-08	2.3629e-10	9.7327e-09	4.5954e-07	-4.3258e-07
0.15	-0.036578	-8.3569e-10	0.036574	4.6004e-07	-4.3674e-07	-0.023138	-4.3659e-10	0.02314	4.598e-07	-4.3534e-07	-0.010464	-2.1876e-10	0.010466	4.5958e-07	-4.3402e-07	-0.001957	-8.419e-11	0.0019576	4.5922e-07	-4.3288e-07	-6.4062e-05	2.332e-11	6.402e-05	4.5894e-07	-4.3264e-07	-8.6122e-07	1.2256e-10	8.3386e-07	4.591e-07	-4.3266e-07	-3.6346e-08	2.3409e-10	9.674e-09	4.5908e-07	-4.3258e-07
0.155	-0.036536	-8.4156e-10	0.036536	4.5972e-07	-4.3674e-07	-0.023108	-4.3423e-10	0.02311	4.5936e-07	-4.3538e-07	-0.010448	-2.1616e-10	0.010446	4.5904e-07	-4.3402e-07	-0.001949	-8.705e-11	0.0019494	4.5858e-07	-4.33e-07	-6.3624e-05	2.053e-11	6.363e-05	4.5842e-07	-4.3266e-07	-8.5692e-07	1.1814e-10	8.2954e-07	4.5844e-07	-4.326e-07	-3.5764e-08	2.2974e-10	9.6057e-09	4.5858e-07	-4.3258e-07
0.16	-0.036494	-8.388e-10	0.036494	4.5924e-07	-4.3668e-07	-0.023078	-4.3227e-10	0.02308	4.5892e-07	-4.3532e-07	-0.010424	-2.1746e-10	0.010422	4.584e-07	-4.339e-07	-0.0019418	-8.671e-11	0.001942	4.5832e-07	-4.3312e-07	-6.3246e-05	2.125e-11	6.3198e-05	4.5788e-07	-4.326e-07	-8.4944e-07	1.1614e-10	8.2434e-07	4.5796e-07	-4.3254e-07	-3.51988e-08	2.2383e-10	9.5333e-09	4.5808e-07	-4.3258e-07
0.165	-0.03645	-8.3891e-10	0.036452	4.5844e-07	-4.3658e-07	-0.023044	-4.3814e-10	0.023044	4.5834e-07	-4.3528e-07	-0.0104	-2.1928e-10	0.010402	4.579e-07	-4.3388e-07	-0.0019336	-8.809e-11	0.0019348	4.5776e-07	-4.3312e-07	-6.2808e-05	2.072e-11	6.2834e-05	4.5758e-07	-4.3268e-07	-8.4254e-07	1.1501e-10	8.1736e-07	4.575e-07	-4.326e-07	-3.46262e-08	2.2168e-10	9.4718e-09	4.5772e-07	-4.3274e-07
0.17	-0.03641	-8.4236e-10	0.036412	4.5828e-07	-4.3652e-07	-0.02301	-4.3762e-10	0.023008	4.5784e-07	-4.3538e-07	-0.010374	-2.2258e-10	0.010378	4.5748e-07	-4.339e-07	-0.001926	-8.946e-11	0.0019282	4.5714e-07	-4.33e-07	-6.2466e-05	1.434e-11	6.2402e-05	4.5686e-07	-4.3258e-07	-8.375e-07	1.1422e-10	8.1294e-07	4.5692e-07	-4.3258e-07	-3.40652e-08	2.1658e-10	9.3956e-09	4.5722e-07	-4.3276e-07
0.175	-0.036368	-8.4092e-10	0.036368	4.5768e-07	-4.3646e-07	-0.022974	-4.3543e-10	0.022976	4.5746e-07	-4.3528e-07	-0.010354	-2.2028e-10	0.010354	4.5684e-07	-4.3384e-07	-0.0019192	-8.896e-11	0.0019202	4.5668e-07	-4.3292e-07	-6.2114e-05	1.528e-11	6.2068e-05	4.5674e-07	-4.3284e-07	-8.3228e-07	1.0888e-10	8.0726e-07	4.565e-07	-4.3258e-07	-3.35046e-08	2.135e-10	9.3288e-09	4.5666e-07	-4.3272e-07
0.18	-0.036326	-8.3978e-10	0.036328	4.5714e-07	-4.3646e-07	-0.02294	-4.367e-10	0.022942	4.5706e-07	-4.3538e-07	-0.01033	-2.1826e-10	0.010332	4.5656e-07	-4.3382e-07	-0.001911	-8.975e-11	0.0019118	4.5616e-07	-4.33e-07	-6.1714e-05	1.268e-11	6.165e-05	4.5608e-07	-4.3266e-07	-8.2504e-07	1.0581e-10	8.0208e-07	4.5602e-07	-4.326e-07	-3.29686e-08	2.0792e-10	9.2649e-09	4.563e-07	-4.3272e-07
0.185	-0.036286	-8.4349e-10	0.036288	4.568e-07	-4.3644e-07	-0.022908	-4.4031e-10	0.022906	4.5676e-07	-4.355e-07	-0.010312	-2.2144e-10	0.010306	4.5602e-07	-4.3388e-07	-0.0019046	-9.179e-11	0.0019046	4.5602e-07	-4.331e-07	-6.1288e-05	1.127e-11	6.1332e-05	4.5562e-07	-4.3258e-07	-8.1866e-07	1.0648e-10	7.9712e-07	4.556e-07	-4.3256e-07	-3.24424e-08	2.0516e-10	9.1932e-09	4.5554e-07	-4.3252e-07
0.19	-0.036242	-8.4391e-10	0.036238	4.563e-07	-4.3638e-07	-0.022874	-4.3866e-10	0.022868	4.5632e-07	-4.3544e-07	-0.010286	-2.217e-10	0.010282	4.5564e-07	-4.3384e-07	-0.0018968	-9.198e-11	0.001897	4.5526e-07	-4.3308e-07	-6.0948e-05	1.255e-11	6.0902e-05	4.5512e-07	-4.3264e-07	-8.1398e-07	1.0175e-10	7.9026e-07	4.5516e-07	-4.3246e-07	-3.1913e-08	2.0343e-10	9.1262e-09	4.5512e-07	-4.3248e-07
