Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.326451	0.3633	0.3323
20	0.334338	0.3622	0.3308
30	0.340921	0.3693	0.328
40	0.347312	0.3686	0.3309
50	0.353255	0.3714	0.3315
60	0.358773	0.3661	0.3281
70	0.363942	0.3686	0.3287
80	0.368604	0.363	0.3294
90	0.372891	0.3697	0.3298
100	0.376823	0.3679	0.3283
150	0.390967	0.3736	0.3307
300	0.400133	0.3777	0.3281
450	0.396454	0.3624	0.3294
600	0.390033	0.3678	0.3288
750	0.384071	0.3647	0.3296
900	0.376763	0.3533	0.3289
