Vgs	Gm_Vds=0.15V	Gm_Vds=0.3V	Gm_Vds=0.45V	Gm_Vds=0.6V	Gm_Vds=0.75V	Gm_Vds=0.9V
0.815	0.0213000000000001	0.0755600000000005	0.168020000000001	0.220840000000001	0.233520000000001	0.238140000000001
0.82	0.0205800000000001	0.0734800000000005	0.165040000000001	0.220100000000001	0.233580000000001	0.238100000000001
0.825	0.0199600000000001	0.0713400000000003	0.16214	0.21934	0.233620000000001	0.23256
0.83	0.01952	0.0693799999999999	0.1594	0.21866	0.23354	0.20962
0.835	0.0189599999999999	0.0674199999999999	0.15662	0.21798	0.23208	0.1683
0.84	0.0184399999999999	0.0652999999999999	0.15372	0.21706	0.21746	0.12068
0.845	0.0180199999999999	0.0633799999999998	0.15076	0.216	0.18084	0.0731599999999997
0.85	0.0174799999999999	0.0616399999999998	0.14772	0.21494	0.13406	0.0310199999999998
0.855	0.01694	0.0598799999999999	0.14444	0.20922	0.0873799999999996	0.00633999999999995
0.86	0.0165800000000001	0.0581599999999997	0.14104	0.18832	0.0421999999999997	2.00000000001588e-05
0.865	0.01622	0.0564999999999997	0.13788	0.15118	0.0101399999999999	2.77555756156289e-16
0.87	0.01576	0.05488	0.13474	0.10846	-5.99999999999212e-05	4.00000000001787e-05
0.875	0.01532	0.0532800000000001	0.1315	0.0659599999999996	-3.99999999997624e-05	6.000000000006e-05
0.88	0.0149399999999999	0.05164	0.12852	0.0282399999999996	1.38777878078145e-16	0
0.885	0.0144799999999999	0.05014	0.12566	0.00585999999999989	2.000000000002e-05	-4.000000000004e-05
0.89	0.01398	0.04898	0.12294	-6.7762635780344e-21	8.00000000000799e-05	-5.99999999999212e-05
0.895	0.0136333333333334	0.0476666666666662	0.120366666666666	-6.66666666662707e-05	0.000199999999999737	-0.000199999999999506
0.9	0.0132	0.0469999999999998	0.118199999999999	-0.000199999999998812	0.0002000000000002	-0.000199999999998812
