Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0.05	3.57996e-08	-1.83e-12	-3.60032e-08	4.9446e-07	-4.5144e-07	3.4317e-06	1.932e-11	-3.451e-06	4.94e-07	-4.9378e-07	0.0002217	1.1978e-10	-0.00022246	4.8924e-07	-4.8944e-07	0.0028068	6.3238e-10	-0.00281	4.494e-07	-4.9088e-07	0.0063818	2.4951e-09	-0.0063838	4.5206e-07	-4.9216e-07	0.008397	8.7407e-09	-0.0083962	4.9042e-07	-4.8974e-07	0.009439	3.30866e-08	-0.0094394	4.9084e-07	-4.4954e-07
0.055	3.77822e-08	-1.57e-12	-3.80324e-08	4.8904e-07	-4.888e-07	3.6254e-06	1.695e-11	-3.64e-06	4.9094e-07	-4.8422e-07	0.0002354	1.1535e-10	-0.0002361	4.897e-07	-4.892e-07	0.0030268	6.2376e-10	-0.003031	4.9114e-07	-4.488e-07	0.006973	2.444e-09	-0.0069738	4.8034e-07	-4.836e-07	0.0092134	8.5902e-09	-0.0092128	4.902e-07	-4.8996e-07	0.0103702	3.23252e-08	-0.010369	4.5902e-07	-4.9244e-07
0.06	3.9734e-08	-4.33e-12	-3.99864e-08	4.8952e-07	-4.8988e-07	3.825e-06	1.424e-11	-3.8175e-06	4.9096e-07	-4.9106e-07	0.00024824	1.1205e-10	-0.00024926	4.8948e-07	-4.8938e-07	0.0032412	6.0995e-10	-0.0032468	4.8062e-07	-4.9118e-07	0.0075604	2.3911e-09	-0.007564	4.7552e-07	-4.7598e-07	0.0100336	8.4259e-09	-0.0100378	4.9042e-07	-4.905e-07	0.011313	3.15338e-08	-0.0113142	4.8974e-07	-4.9004e-07
0.065	4.17672e-08	-2.32e-12	-4.18188e-08	4.9092e-07	-4.9134e-07	3.9863e-06	1.723e-11	-4.0081e-06	4.8896e-07	-4.8928e-07	0.00026028	1.1449e-10	-0.00026122	4.7924e-07	-4.8954e-07	0.0034416	5.9684e-10	-0.003448	4.8936e-07	-4.8922e-07	0.0081294	2.3472e-09	-0.0081348	4.8976e-07	-4.8978e-07	0.0108422	8.2035e-09	-0.0108398	4.9e-07	-4.9456e-07	0.01225	3.07912e-08	-0.012248	4.906e-07	-4.9064e-07
0.07	4.35192e-08	-5.46e-12	-4.36936e-08	4.911e-07	-4.8864e-07	4.1542e-06	1.773e-11	-4.1815e-06	4.932e-07	-4.8576e-07	0.00027184	1.1054e-10	-0.00027278	4.894e-07	-4.8936e-07	0.003638	5.8924e-10	-0.003642	4.8938e-07	-4.907e-07	0.008698	2.3023e-09	-0.0087008	4.8978e-07	-4.8976e-07	0.011664	8.0247e-09	-0.011662	4.9018e-07	-4.9068e-07	0.013192	3.0031e-08	-0.013186	4.9554e-07	-4.8226e-07
0.075	4.5409e-08	-3.36e-12	-4.5575e-08	4.8964e-07	-4.8934e-07	4.3013e-06	1.39e-11	-4.3498e-06	4.5114e-07	-4.9418e-07	0.00028278	1.089e-10	-0.00028374	4.896e-07	-4.889e-07	0.0038196	5.7581e-10	-0.003825	4.8934e-07	-4.8922e-07	0.009245	2.2545e-09	-0.0092512	4.94e-07	-4.9448e-07	0.012454	7.8576e-09	-0.012452	4.905e-07	-4.9004e-07	0.014112	2.9352e-08	-0.014106	4.9068e-07	-4.907e-07
0.08	4.7234e-08	-7.39e-12	-4.7422e-08	4.8944e-07	-4.8958e-07	4.4782e-06	1.448e-11	-4.5035e-06	4.4822e-07	-4.8926e-07	0.00029318	1.1049e-10	-0.00029428	4.8916e-07	-4.8942e-07	0.003995	5.6497e-10	-0.0039998	4.659e-07	-4.8906e-07	0.009787	2.2154e-09	-0.0097898	4.7626e-07	-4.8996e-07	0.013244	7.7133e-09	-0.013242	4.9504e-07	-4.9044e-07	0.015026	2.86924e-08	-0.015024	4.9022e-07	-4.8972e-07
0.085	4.89686e-08	-6.14e-12	-4.92454e-08	4.7164e-07	-4.892e-07	4.6408e-06	1.741e-11	-4.6808e-06	4.8898e-07	-4.8946e-07	0.00030348	1.0691e-10	-0.0003046	4.6542e-07	-4.9396e-07	0.0041632	5.6007e-10	-0.0041718	4.8952e-07	-4.892e-07	0.010323	2.172e-09	-0.0103264	4.6466e-07	-4.9426e-07	0.014036	7.5628e-09	-0.014032	4.6238e-07	-4.9394e-07	0.015956	2.79276e-08	-0.015948	4.9532e-07	-4.524e-07
0.09	5.05786e-08	-9.86e-12	-5.08434e-08	4.9452e-07	-4.8878e-07	4.805e-06	1.465e-11	-4.8313e-06	4.4866e-07	-4.8114e-07	0.00031332	1.0573e-10	-0.00031438	4.8874e-07	-4.892e-07	0.004325	5.4702e-10	-0.004329	4.8942e-07	-4.8788e-07	0.0108402	2.127e-09	-0.0108456	4.4878e-07	-4.8968e-07	0.01481	7.3946e-09	-0.014808	4.8414e-07	-4.9038e-07	0.016864	2.73258e-08	-0.01686	4.9212e-07	-4.9194e-07
0.095	5.22218e-08	-6.33e-12	-5.25286e-08	4.8864e-07	-4.8874e-07	4.9379e-06	1.355e-11	-4.9904e-06	4.9378e-07	-4.9394e-07	0.00032298	1.071e-10	-0.00032398	4.8966e-07	-4.9402e-07	0.0044776	5.3788e-10	-0.0044844	4.8654e-07	-4.9388e-07	0.0113552	2.0912e-09	-0.0113602	4.913e-07	-4.912e-07	0.015586	7.2411e-09	-0.015586	4.8448e-07	-4.9032e-07	0.017784	2.67358e-08	-0.01778	4.9202e-07	-4.9228e-07
0.1	5.4007e-08	-9.88e-12	-5.43106e-08	4.8892e-07	-4.8882e-07	5.0876e-06	1.59e-11	-5.121e-06	4.8902e-07	-4.8936e-07	0.0003322	1.0304e-10	-0.00033306	4.8194e-07	-4.8932e-07	0.0046228	5.3511e-10	-0.0046286	4.9372e-07	-4.8942e-07	0.011872	2.052e-09	-0.011866	4.946e-07	-4.5792e-07	0.016346	7.0945e-09	-0.016346	4.9002e-07	-4.8998e-07	0.018686	2.61128e-08	-0.018682	4.6532e-07	-4.922e-07
0.105	5.57214e-08	-7.56e-12	-5.61128e-08	4.8888e-07	-4.889e-07	5.2435e-06	1.507e-11	-5.2552e-06	4.8904e-07	-4.8904e-07	0.00034072	1.038e-10	-0.00034148	4.5604e-07	-4.8926e-07	0.0047656	5.2238e-10	-0.0047724	4.9108e-07	-4.7964e-07	0.01236	2.0148e-09	-0.012358	4.8824e-07	-4.8806e-07	0.017112	6.9638e-09	-0.017106	4.9112e-07	-4.9176e-07	0.0196	2.55444e-08	-0.01959	4.495e-07	-4.9074e-07
