Vds	Gds_Vgs=0.15V	Gds_Vgs=0.30V	Gds_Vgs=0.45V	Gds_Vgs=0.60V	Gds_Vgs=0.75V	Gds_Vgs=0.90V
0	1.57021e-08	2.05745e-08	2.1242e-08	2.1486e-08	2.4604e-08	2.1332e-08
0.005	1.43652e-08	1.86937e-08	1.9504e-08	1.9883e-08	2.2397e-08	1.9477e-08
0.01	1.2677e-08	1.62407e-08	1.7197e-08	1.7563e-08	1.9456e-08	1.7063e-08
0.015	1.09537e-08	1.36823e-08	1.48904e-08	1.5128e-08	1.6416e-08	1.466e-08
0.02	9.3523e-09	1.13363e-08	1.30455e-08	1.3084e-08	1.3837e-08	1.2529e-08
0.025	8.5299e-09	1.00371e-08	1.20391e-08	1.1797e-08	1.2453e-08	1.1293e-08
0.03	8.2721e-09	9.5649e-09	1.13031e-08	1.12177e-08	1.1757e-08	1.0844e-08
0.035	7.7999e-09	9.0385e-09	1.05643e-08	1.11244e-08	1.11e-08	1.048e-08
0.04	7.3134e-09	8.4931e-09	9.9045e-09	1.08629e-08	1.0538e-08	9.89e-09
0.045	7.175e-09	8.2851e-09	9.2284e-09	1.03118e-08	1.03019e-08	9.569e-09
0.05	7.0737e-09	8.0679e-09	8.9317e-09	9.9713e-09	1.01546e-08	9.509e-09
0.055	6.7675e-09	7.6456e-09	9.0815e-09	9.569e-09	9.8899e-09	9.089e-09
0.06	6.5035e-09	7.4446e-09	8.7974e-09	8.7784e-09	9.6318e-09	8.6886e-09
0.065	6.3268e-09	7.4056e-09	8.0904e-09	8.2711e-09	9.2897e-09	8.6297e-09
0.07	5.9585e-09	7.2743e-09	7.7212e-09	8.2704e-09	8.7505e-09	8.3534e-09
0.075	5.5545e-09	7.1089e-09	7.3861e-09	8.0902e-09	8.3265e-09	7.9769e-09
0.08	5.4494e-09	6.8959e-09	6.7959e-09	7.7329e-09	8.0882e-09	7.941e-09
0.085	5.4755e-09	6.6543e-09	6.6611e-09	7.7211e-09	7.8271e-09	7.8881e-09
