Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.295347	0.3467	0.3682
20	0.304141	0.3486	0.3706
30	0.311735	0.3525	0.3718
40	0.319009	0.3565	0.371
50	0.326161	0.3592	0.373
60	0.332851	0.3636	0.3752
70	0.33903	0.3659	0.3746
80	0.344876	0.3698	0.3755
90	0.350177	0.3729	0.376
100	0.355164	0.3774	0.3759
150	0.393495	0.4064	0.3853
300	0.411651	0.4275	0.3757
450	0.410499	0.4258	0.3703
600	0.407512	0.4207	0.3663
750	0.404265	0.415	0.3632
900	0.40101	0.4114	0.3598
