Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.338216	0.3765	0.4589
20	0.346486	0.3843	0.4602
30	0.354169	0.3791	0.3698
40	0.361613	0.3825	0.3728
50	0.368298	0.3737	0.3797
60	0.374549	0.377	0.3898
70	0.380402	0.3802	0.3775
80	0.385955	0.3834	0.3613
90	0.390986	0.3822	0.3797
100	0.395815	0.3809	0.3823
150	0.414723	0.3832	0.3728
300	0.432311	0.3966	0.3719
450	0.432429	0.3937	0.3713
600	0.431445	0.3969	0.3744
750	0.430019	0.3955	0.3799
900	0.428336	0.3967	0.3796
