|Vds|	Gm_|Vgs|=0.15V	Gm_|Vgs|=0.3V	Gm_|Vgs|=0.45V	Gm_|Vgs|=0.6V	Gm_|Vgs|=0.75V	Gm_|Vgs|=0.9V
0.63	3.2918e-06	3.2654e-06	3.3212e-06	3.2742e-06	3.196e-06	3.3198e-06
0.625	3.1052e-06	3.0954e-06	3.1336e-06	3.1216e-06	3.081e-06	3.1716e-06
0.62	2.9446e-06	2.9916e-06	2.964e-06	2.9636e-06	2.979e-06	3.0488e-06
0.615	2.8006e-06	2.84e-06	2.812e-06	2.793e-06	2.8678e-06	2.927e-06
0.61	2.6672e-06	2.662e-06	2.6956e-06	2.6464e-06	2.738e-06	2.7552e-06
0.605	2.526e-06	2.5556e-06	2.5748e-06	2.5262e-06	2.5894e-06	2.6174e-06
0.6	2.3932e-06	2.4348e-06	2.4182e-06	2.4084e-06	2.4592e-06	2.5068e-06
0.595	2.2932e-06	2.2864e-06	2.2926e-06	2.304e-06	2.339e-06	2.3454e-06
0.59	2.1866e-06	2.1916e-06	2.1964e-06	2.2044e-06	2.2078e-06	2.2186e-06
0.585	2.0562e-06	2.101e-06	2.0688e-06	2.0876e-06	2.108e-06	2.147e-06
0.58	1.9568e-06	1.9778e-06	1.965e-06	1.9846e-06	2.0162e-06	2.0396e-06
0.575	1.8818e-06	1.8768e-06	1.8962e-06	1.9012e-06	1.892e-06	1.9358e-06
0.57	1.785e-06	1.8026e-06	1.7976e-06	1.817e-06	1.7922e-06	1.8602e-06
0.565	1.695e-06	1.7174e-06	1.6968e-06	1.7308e-06	1.7262e-06	1.7618e-06
0.56	1.6286e-06	1.6208e-06	1.611e-06	1.6472e-06	1.6398e-06	1.6652e-06
0.555	1.5556e-06	1.5344e-06	1.5232e-06	1.5698e-06	1.557e-06	1.5882e-06
0.55	1.4812e-06	1.4704e-06	1.4552e-06	1.4898e-06	1.4958e-06	1.5126e-06
0.545	1.4032e-06	1.397e-06	1.39e-06	1.4076e-06	1.4144e-06	1.4502e-06
0.54	1.313e-06	1.32e-06	1.3106e-06	1.3464e-06	1.3244e-06	1.3886e-06
0.535	1.2554e-06	1.2874e-06	1.2648e-06	1.3102e-06	1.2728e-06	1.3174e-06
0.53	1.233e-06	1.2656e-06	1.2422e-06	1.2654e-06	1.2426e-06	1.2748e-06
0.525	1.1958e-06	1.206e-06	1.1958e-06	1.2014e-06	1.1972e-06	1.251e-06
0.52	1.168658e-06	1.156928e-06	1.157712e-06	1.157548e-06	1.167712e-06	1.208748e-06
0.515	1.1534e-06	1.13362e-06	1.135906e-06	1.126198e-06	1.150362e-06	1.16534e-06
0.51	1.08308e-06	1.071954e-06	1.07253e-06	1.054488e-06	1.092172e-06	1.11839e-06
0.505	9.86826e-07	9.90916e-07	9.8263e-07	9.74672e-07	1.011776e-06	1.043354e-06
0.5	9.21414000000001e-07	9.39024000000001e-07	9.22088000000001e-07	9.32236000000001e-07	9.51976000000001e-07	9.57062000000001e-07
0.495	8.58700000000001e-07	8.82974000000001e-07	8.71550000000001e-07	8.81052000000001e-07	8.89928000000001e-07	8.85110000000001e-07
0.49	7.89928000000001e-07	8.07642000000001e-07	8.07520000000001e-07	8.09174000000001e-07	8.16282000000001e-07	8.21728000000001e-07
0.485	7.50172000000001e-07	7.54284000000001e-07	7.59688000000001e-07	7.61548000000001e-07	7.68394000000001e-07	7.71872000000001e-07
0.48	7.27864e-07	7.22036e-07	7.2748e-07	7.30212e-07	7.37030000000001e-07	7.37398e-07
0.475	6.96469999999999e-07	6.91177999999999e-07	6.90418e-07	6.94441999999999e-07	7.03498e-07	7.07432e-07
0.47	6.60146e-07	6.62479999999999e-07	6.53132e-07	6.61761999999999e-07	6.7235e-07	6.80281999999999e-07
0.465	6.28425999999999e-07	6.34315999999999e-07	6.23239999999999e-07	6.31413999999999e-07	6.407e-07	6.48653999999999e-07
0.46	6.01602e-07	6.0406e-07	5.96597999999999e-07	6.02561999999999e-07	6.06087999999999e-07	6.17358e-07
0.455	5.74156e-07	5.72128e-07	5.69241999999999e-07	5.77994e-07	5.73649999999999e-07	5.88695999999999e-07
0.45	5.4759e-07	5.43108e-07	5.44329999999999e-07	5.53454e-07	5.46213999999999e-07	5.58517999999999e-07
0.445	5.21936e-07	5.16764e-07	5.1994e-07	5.27432e-07	5.21184e-07	5.30508e-07
0.44	4.93174000000001e-07	4.91118000000001e-07	4.94704000000001e-07	4.99668000000001e-07	4.98708000000001e-07	5.07184000000001e-07
0.435	4.65314000000001e-07	4.68436000000001e-07	4.71698000000001e-07	4.73802000000001e-07	4.77244000000001e-07	4.85982000000001e-07
0.43	4.42360000000001e-07	4.48008000000001e-07	4.51224000000001e-07	4.52286000000001e-07	4.55170000000001e-07	4.66526000000001e-07
