Dispositivi	SDLM grado 2	SDLM grado 4	SDLM grado 6	SDLM grado 8	TCM grado 2	TCM grado 4	TCM grado 6	TCM grado 8
P1-100-30	0.332	0.3223	0.3235	0.3272	0.4269	0.4294	0.4294	0.4308
P1-100-60	0.4231	0.4161	0.4116	0.4117	0.4676	0.4695	0.4693	0.4689
P1-200-180	0.4604	0.4535	0.4493	0.4487	0.4956	0.4956	0.4953	0.4955
P1-200-30	0.3032	0.2988	0.2965	0.2967	0.3978	0.3997	0.3993	0.3998
P1-200-60	0.4131	0.4044	0.4049	0.405	0.4522	0.4541	0.4535	0.4535
P1-600-180	0.4547	0.4467	0.4414	0.4413	0.4785	0.4808	0.4806	0.48
P1-600-30	0.296	0.2914	0.2897	0.2981	0.383	0.3874	0.3859	0.3862
P1-600-60	0.3983	0.3933	0.3918	0.3896	0.4311	0.4343	0.4347	0.4356
