Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.01V	Ig,Vd=0.01V	Is,Vd=0.01V	Iavdd,Vd=0.01V	Ignd,Vd=0.01V	Id,Vd=0.02V	Ig,Vd=0.02V	Is,Vd=0.02V	Iavdd,Vd=0.02V	Ignd,Vd=0.02V	Id,Vd=0.03V	Ig,Vd=0.03V	Is,Vd=0.03V	Iavdd,Vd=0.03V	Ignd,Vd=0.03V	Id,Vd=0.04V	Ig,Vd=0.04V	Is,Vd=0.04V	Iavdd,Vd=0.04V	Ignd,Vd=0.04V	Id,Vd=0.05V	Ig,Vd=0.05V	Is,Vd=0.05V	Iavdd,Vd=0.05V	Ignd,Vd=0.05V	Id,Vd=0.06V	Ig,Vd=0.06V	Is,Vd=0.06V	Iavdd,Vd=0.06V	Ignd,Vd=0.06V	Id,Vd=0.07V	Ig,Vd=0.07V	Is,Vd=0.07V	Iavdd,Vd=0.07V	Ignd,Vd=0.07V	Id,Vd=0.08V	Ig,Vd=0.08V	Is,Vd=0.08V	Iavdd,Vd=0.08V	Ignd,Vd=0.08V	Id,Vd=0.09V	Ig,Vd=0.09V	Is,Vd=0.09V	Iavdd,Vd=0.09V	Ignd,Vd=0.09V	Id,Vd=0.1V	Ig,Vd=0.1V	Is,Vd=0.1V	Iavdd,Vd=0.1V	Ignd,Vd=0.1V
0.615	-1.4542e-05	1.2338e-10	1.4424e-05	3.571e-07	-2.5872e-07	-1.4566e-05	1.1003e-10	1.4472e-05	3.5356e-07	-2.5884e-07	-1.4542e-05	9.679e-11	1.446e-05	3.5008e-07	-2.59e-07	-1.4518e-05	8.067e-11	1.444e-05	3.4704e-07	-2.591e-07	-1.4608e-05	6.783e-11	1.4506e-05	3.4348e-07	-2.5914e-07	-1.455e-05	5.428e-11	1.4472e-05	3.402e-07	-2.592e-07	-1.4534e-05	4.019e-11	1.4448e-05	3.3708e-07	-2.5932e-07	-1.45e-05	3.21e-11	1.444e-05	3.3394e-07	-2.5932e-07	-1.4466e-05	1.968e-11	1.4372e-05	3.3096e-07	-2.5928e-07	-1.4454e-05	3.72e-12	1.4372e-05	3.278e-07	-2.5936e-07	-1.4402e-05	-3.87e-12	1.437e-05	3.2526e-07	-2.5932e-07
0.61	-1.7084e-05	1.0553e-10	1.695e-05	3.5716e-07	-2.587e-07	-1.7088e-05	8.968e-11	1.6992e-05	3.5406e-07	-2.5888e-07	-1.7078e-05	7.309e-11	1.6984e-05	3.5002e-07	-2.5896e-07	-1.7032e-05	6.2e-11	1.6936e-05	3.4722e-07	-2.5916e-07	-1.7114e-05	4.447e-11	1.7028e-05	3.4354e-07	-2.5924e-07	-1.7052e-05	3.439e-11	1.7012e-05	3.4022e-07	-2.592e-07	-1.7058e-05	2.34e-11	1.6992e-05	3.3712e-07	-2.5926e-07	-1.7016e-05	1.13e-11	1.6948e-05	3.34e-07	-2.5926e-07	-1.6934e-05	3.47e-12	1.688e-05	3.3092e-07	-2.5928e-07	-1.6956e-05	-9.37e-12	1.6882e-05	3.2816e-07	-2.5936e-07	-1.6916e-05	-2.31e-11	1.686e-05	3.2536e-07	-2.594e-07
0.605	-2.0018e-05	8.11e-11	1.9896e-05	3.5724e-07	-2.587e-07	-2e-05	6.84e-11	1.9896e-05	3.5408e-07	-2.5888e-07	-2.0006e-05	5.613e-11	1.9876e-05	3.5014e-07	-2.5902e-07	-1.9924e-05	4.385e-11	1.9878e-05	3.4714e-07	-2.5908e-07	-2.0038e-05	2.851e-11	1.9948e-05	3.4366e-07	-2.5918e-07	-2.0006e-05	1.759e-11	1.9908e-05	3.4038e-07	-2.5926e-07	-1.9956e-05	5.59e-12	1.99e-05	3.3706e-07	-2.592e-07	-1.9924e-05	-5.4e-12	1.9844e-05	3.3362e-07	-2.5926e-07	-1.9822e-05	-2.004e-11	1.975e-05	3.3092e-07	-2.593e-07	-1.983e-05	-3.096e-11	1.975e-05	3.281e-07	-2.5936e-07	-1.9786e-05	-4.026e-11	1.9714e-05	3.2528e-07	-2.5936e-07
0.6	-2.3468e-05	6.06e-11	2.3384e-05	3.5732e-07	-2.5888e-07	-2.3454e-05	5.019e-11	2.335e-05	3.5412e-07	-2.5886e-07	-2.3428e-05	3.477e-11	2.336e-05	3.5006e-07	-2.5904e-07	-2.343e-05	1.969e-11	2.3336e-05	3.4724e-07	-2.5912e-07	-2.3498e-05	9.06e-12	2.3408e-05	3.4358e-07	-2.5914e-07	-2.3408e-05	-2.05e-12	2.3368e-05	3.403e-07	-2.5924e-07	-2.339e-05	-1.437e-11	2.331e-05	3.3708e-07	-2.5924e-07	-2.337e-05	-2.707e-11	2.3292e-05	3.3358e-07	-2.5932e-07	-2.3276e-05	-3.695e-11	2.3184e-05	3.3116e-07	-2.5922e-07	-2.3236e-05	-4.69e-11	2.3192e-05	3.2816e-07	-2.5932e-07	-2.32e-05	-5.98e-11	2.3156e-05	3.2536e-07	-2.5946e-07
0.595	-2.7476e-05	4.295e-11	2.7384e-05	3.5708e-07	-2.5866e-07	-2.7442e-05	2.732e-11	2.735e-05	3.5418e-07	-2.5878e-07	-2.7404e-05	1.387e-11	2.733e-05	3.5024e-07	-2.592e-07	-2.7348e-05	1.12e-12	2.7298e-05	3.4716e-07	-2.5912e-07	-2.7456e-05	-9.35e-12	2.7396e-05	3.4372e-07	-2.5918e-07	-2.7412e-05	-2.152e-11	2.7362e-05	3.4032e-07	-2.5914e-07	-2.7346e-05	-3.127e-11	2.7298e-05	3.3716e-07	-2.5934e-07	-2.7354e-05	-4.768e-11	2.7262e-05	3.3398e-07	-2.5934e-07	-2.7218e-05	-5.599e-11	2.7122e-05	3.3096e-07	-2.593e-07	-2.7188e-05	-6.263e-11	2.7132e-05	3.281e-07	-2.593e-07	-2.7152e-05	-7.458e-11	2.7086e-05	3.253e-07	-2.5932e-07
0.59	-3.2178e-05	1.955e-11	3.2136e-05	3.57e-07	-2.5866e-07	-3.2156e-05	9.35e-12	3.2068e-05	3.54e-07	-2.5882e-07	-3.214e-05	-2.77e-12	3.2054e-05	3.495e-07	-2.5902e-07	-3.2064e-05	-1.856e-11	3.202e-05	3.472e-07	-2.5912e-07	-3.224e-05	-2.856e-11	3.2136e-05	3.4354e-07	-2.5908e-07	-3.214e-05	-4.146e-11	3.2052e-05	3.398e-07	-2.5926e-07	-3.2088e-05	-5.396e-11	3.202e-05	3.3718e-07	-2.594e-07	-3.2034e-05	-6.396e-11	3.1986e-05	3.3408e-07	-2.5932e-07	-3.1912e-05	-7.839e-11	3.1844e-05	3.3096e-07	-2.593e-07	-3.1888e-05	-8.757e-11	3.1836e-05	3.2818e-07	-2.593e-07	-3.1816e-05	-9.638e-11	3.1756e-05	3.2536e-07	-2.5936e-07
0.585	-3.7658e-05	2.05e-12	3.7582e-05	3.5698e-07	-2.5864e-07	-3.7604e-05	-1.21e-11	3.7514e-05	3.54e-07	-2.5882e-07	-3.7564e-05	-2.535e-11	3.7494e-05	3.4966e-07	-2.5902e-07	-3.7542e-05	-3.732e-11	3.7446e-05	3.471e-07	-2.5908e-07	-3.7628e-05	-5.154e-11	3.7534e-05	3.4366e-07	-2.5916e-07	-3.7556e-05	-6.319e-11	3.7452e-05	3.4026e-07	-2.592e-07	-3.7496e-05	-7.421e-11	3.7464e-05	3.37e-07	-2.5926e-07	-3.7416e-05	-8.52e-11	3.7366e-05	3.34e-07	-2.593e-07	-3.7264e-05	-9.288e-11	3.724e-05	3.3092e-07	-2.593e-07	-3.727e-05	-1.0519e-10	3.7208e-05	3.2806e-07	-2.593e-07	-3.7308e-05	-1.1524e-10	3.7138e-05	3.2526e-07	-2.5926e-07
0.58	-4.408e-05	-2.039e-11	4.4006e-05	3.5678e-07	-2.587e-07	-4.407e-05	-3.509e-11	4.3944e-05	3.5398e-07	-2.5906e-07	-4.4e-05	-4.551e-11	4.3888e-05	3.4992e-07	-2.59e-07	-4.3954e-05	-5.624e-11	4.384e-05	3.4708e-07	-2.5912e-07	-4.403e-05	-6.899e-11	4.3906e-05	3.4348e-07	-2.592e-07	-4.3958e-05	-8.239e-11	4.39e-05	3.402e-07	-2.5914e-07	-4.3902e-05	-9.334e-11	4.3814e-05	3.3708e-07	-2.5918e-07	-4.3822e-05	-1.0423e-10	4.3744e-05	3.339e-07	-2.5936e-07	-4.366e-05	-1.1378e-10	4.3612e-05	3.3096e-07	-2.593e-07	-4.3694e-05	-1.2484e-10	4.3602e-05	3.2796e-07	-2.5932e-07	-4.3584e-05	-1.3252e-10	4.3504e-05	3.2528e-07	-2.5924e-07
0.575	-5.1578e-05	-4.268e-11	5.1476e-05	3.568e-07	-2.587e-07	-5.145e-05	-5.102e-11	5.1348e-05	3.543e-07	-2.5902e-07	-5.1378e-05	-6.486e-11	5.1282e-05	3.4984e-07	-2.59e-07	-5.1352e-05	-8.081e-11	5.1276e-05	3.471e-07	-2.5906e-07	-5.1372e-05	-9.161e-11	5.1348e-05	3.4352e-07	-2.592e-07	-5.135e-05	-1.0257e-10	5.125e-05	3.4032e-07	-2.592e-07	-5.1246e-05	-1.1597e-10	5.12e-05	3.37e-07	-2.5928e-07	-5.1188e-05	-1.2229e-10	5.1112e-05	3.34e-07	-2.5932e-07	-5.0972e-05	-1.3364e-10	5.094e-05	3.3096e-07	-2.5926e-07	-5.0972e-05	-1.4655e-10	5.0918e-05	3.2806e-07	-2.593e-07	-5.084e-05	-1.5841e-10	5.078e-05	3.2528e-07	-2.5932e-07
0.57	-6.028e-05	-6.218e-11	6.0192e-05	3.5696e-07	-2.5866e-07	-6.0198e-05	-7.517e-11	6.0104e-05	3.5396e-07	-2.5886e-07	-6.0092e-05	-9.02e-11	6.005e-05	3.4992e-07	-2.5896e-07	-6.012e-05	-9.948e-11	6.004e-05	3.4696e-07	-2.5912e-07	-6.0096e-05	-1.1475e-10	5.9996e-05	3.4352e-07	-2.5918e-07	-6.0042e-05	-1.2396e-10	5.9982e-05	3.3982e-07	-2.5942e-07	-5.9936e-05	-1.3194e-10	5.9852e-05	3.37e-07	-2.5932e-07	-5.9896e-05	-1.4689e-10	5.9794e-05	3.34e-07	-2.5924e-07	-5.9658e-05	-1.5393e-10	5.9588e-05	3.3092e-07	-2.593e-07	-5.9658e-05	-1.6457e-10	5.9662e-05	3.2808e-07	-2.5932e-07	-5.9544e-05	-1.7343e-10	5.9476e-05	3.2526e-07	-2.5936e-07
