Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.346478	0.3806	0.4062
20	0.354375	0.3853	0.4054
30	0.362001	0.3894	0.4074
40	0.368803	0.3925	0.409
50	0.375133	0.3968	0.4104
60	0.38119	0.4007	0.412
70	0.386671	0.4046	0.4129
80	0.391705	0.4076	0.4136
90	0.396455	0.4123	0.4138
100	0.400671	0.4143	0.4133
150	0.416912	0.4305	0.4101
300	0.430948	0.458	0.3956
450	0.428752	0.4564	0.3887
600	0.425507	0.4502	0.3831
750	0.422318	0.447	0.3782
900	0.419023	0.4397	0.3723
