Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.15V	Ig,Vd=0.15V	Is,Vd=0.15V	Iavdd,Vd=0.15V	Ignd,Vd=0.15V	Id,Vd=0.3V	Ig,Vd=0.3V	Is,Vd=0.3V	Iavdd,Vd=0.3V	Ignd,Vd=0.3V	Id,Vd=0.45V	Ig,Vd=0.45V	Is,Vd=0.45V	Iavdd,Vd=0.45V	Ignd,Vd=0.45V	Id,Vd=0.6V	Ig,Vd=0.6V	Is,Vd=0.6V	Iavdd,Vd=0.6V	Ignd,Vd=0.6V	Id,Vd=0.75V	Ig,Vd=0.75V	Is,Vd=0.75V	Iavdd,Vd=0.75V	Ignd,Vd=0.75V	Id,Vd=0.9V	Ig,Vd=0.9V	Is,Vd=0.9V	Iavdd,Vd=0.9V	Ignd,Vd=0.9V
0.265	-5.4098e-06	-1.74e-12	5.3185e-06	3.5432e-07	-2.5718e-07	-1.05458e-06	-1.41e-12	1.00058e-06	3.1008e-07	-2.5712e-07	-2.3418e-07	-1.09e-12	2.0698e-07	2.8406e-07	-2.5734e-07	-5.54692e-08	-5.7e-13	4.29122e-08	2.6962e-07	-2.57e-07	-1.40376e-08	-2.7e-12	8.5931e-09	2.6272e-07	-2.5728e-07	-3.4678e-09	-1e-14	1.6602e-09	2.5896e-07	-2.5704e-07	-1.844e-11	-3.1e-13	2.567e-11	2.5702e-07	-2.5698e-07
0.26	-5.4322e-06	-1.75e-12	5.3161e-06	3.5444e-07	-2.571e-07	-1.05454e-06	1.25e-12	1.00178e-06	3.1004e-07	-2.5704e-07	-2.338e-07	5.3e-13	2.069e-07	2.8396e-07	-2.5712e-07	-5.55796e-08	-7.3e-13	4.28436e-08	2.6986e-07	-2.57e-07	-1.40452e-08	-2.66e-12	8.5863e-09	2.626e-07	-2.5704e-07	-3.5395e-09	-1.69e-12	1.6673e-09	2.5896e-07	-2.5706e-07	-1.157e-11	4.6e-13	1.164e-11	2.5708e-07	-2.57e-07
0.255	-5.3903e-06	4.7e-13	5.3127e-06	3.5448e-07	-2.5714e-07	-1.05762e-06	5e-14	1.00258e-06	3.1008e-07	-2.5708e-07	-2.3362e-07	-1.84e-12	2.072e-07	2.84e-07	-2.5706e-07	-5.56706e-08	-1.32e-12	4.29062e-08	2.699e-07	-2.571e-07	-1.40532e-08	-9.7e-13	8.5982e-09	2.625e-07	-2.5698e-07	-3.5411e-09	-2.7e-12	1.6823e-09	2.5902e-07	-2.5706e-07	-1.86e-11	7.3e-13	2.24e-12	2.5706e-07	-2.5702e-07
0.25	-5.4245e-06	-7.4e-13	5.3353e-06	3.5448e-07	-2.5714e-07	-1.05476e-06	-2.2e-13	1.00276e-06	3.101e-07	-2.5724e-07	-2.3448e-07	-9.9e-13	2.0696e-07	2.8402e-07	-2.5708e-07	-5.58796e-08	-5.9e-13	4.30016e-08	2.699e-07	-2.5702e-07	-1.40584e-08	-1.94e-12	8.6148e-09	2.6258e-07	-2.5708e-07	-3.5347e-09	-8.3e-13	1.6828e-09	2.5894e-07	-2.5698e-07	-1.811e-11	-3.26e-12	1.753e-11	2.57e-07	-2.5702e-07
0.245	-5.4117e-06	-2.4e-13	5.3076e-06	3.5446e-07	-2.5712e-07	-1.0577e-06	-7e-13	1.00416e-06	3.1004e-07	-2.5706e-07	-2.3416e-07	1.59e-12	2.0608e-07	2.8394e-07	-2.571e-07	-5.5945e-08	-8e-14	4.30276e-08	2.7014e-07	-2.5718e-07	-1.40674e-08	-6.3e-13	8.62e-09	2.6256e-07	-2.5706e-07	-3.5406e-09	1.59e-12	1.6651e-09	2.5888e-07	-2.5702e-07	-1.312e-11	-1.88e-12	2.008e-11	2.5696e-07	-2.5704e-07
0.24	-5.4082e-06	7.4e-13	5.3152e-06	3.5432e-07	-2.5708e-07	-1.0561e-06	-1e-12	1.00432e-06	3.1014e-07	-2.5712e-07	-2.3408e-07	-7.3e-13	2.0682e-07	2.8396e-07	-2.5708e-07	-5.59554e-08	-2.08e-12	4.3057e-08	2.699e-07	-2.5712e-07	-1.40684e-08	5.2e-13	8.6157e-09	2.6254e-07	-2.57e-07	-3.5428e-09	-7.9e-13	1.6708e-09	2.5894e-07	-2.57e-07	-2.045e-11	1.77e-12	6.71e-12	2.57e-07	-2.5696e-07
0.235	-5.4034e-06	-1.09e-12	5.2881e-06	3.5448e-07	-2.5712e-07	-1.05474e-06	7.3e-13	1.00574e-06	3.1012e-07	-2.571e-07	-2.3434e-07	-5e-14	2.0798e-07	2.84e-07	-2.5712e-07	-5.59592e-08	-1.13e-12	4.30584e-08	2.6996e-07	-2.5704e-07	-1.40772e-08	3.08e-12	8.6138e-09	2.625e-07	-2.5706e-07	-3.5411e-09	-3.7e-13	1.6809e-09	2.5896e-07	-2.57e-07	-1.628e-11	-1e-13	1.048e-11	2.5696e-07	-2.5706e-07
0.23	-5.4331e-06	5.4e-13	5.3156e-06	3.5444e-07	-2.5718e-07	-1.0544e-06	-8.3e-13	1.00296e-06	3.1008e-07	-2.5714e-07	-2.3478e-07	-1.45e-12	2.0746e-07	2.8398e-07	-2.5706e-07	-5.61038e-08	-7.4e-13	4.30702e-08	2.699e-07	-2.5704e-07	-1.40782e-08	-1e-12	8.6294e-09	2.6244e-07	-2.5704e-07	-3.537e-09	4.6e-13	1.6779e-09	2.5896e-07	-2.57e-07	-1.988e-11	-6.7e-13	2.331e-11	2.57e-07	-2.5698e-07
0.225	-5.4152e-06	6.6e-13	5.3178e-06	3.5448e-07	-2.572e-07	-1.0555e-06	-1.36e-12	1.00026e-06	3.1026e-07	-2.571e-07	-2.3446e-07	-8.8e-13	2.068e-07	2.8396e-07	-2.5712e-07	-5.58224e-08	-1.77e-12	4.29496e-08	2.6984e-07	-2.5706e-07	-1.40754e-08	-1.32e-12	8.6333e-09	2.6246e-07	-2.5698e-07	-3.5546e-09	1.92e-12	1.6683e-09	2.5886e-07	-2.57e-07	-1.44e-11	1.41e-12	1.306e-11	2.5694e-07	-2.5704e-07
0.22	-5.4248e-06	-1.92e-12	5.3006e-06	3.5462e-07	-2.5712e-07	-1.05986e-06	1.17e-12	1.0031e-06	3.1016e-07	-2.5716e-07	-2.3428e-07	1.6e-13	2.0806e-07	2.839e-07	-2.5706e-07	-5.59494e-08	1.4e-13	4.29682e-08	2.6982e-07	-2.5704e-07	-1.40942e-08	-1.18e-12	8.6434e-09	2.6246e-07	-2.5704e-07	-3.5486e-09	-2.18e-12	1.6806e-09	2.5894e-07	-2.57e-07	-2.148e-11	1.02e-12	7.97e-12	2.5698e-07	-2.5696e-07
