Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	-1.199754	0.3071	0.3167
20	-1.131599	0.303	0.3174
30	-1.060619	0.3099	0.3142
40	-0.994478	0.3055	0.3166
50	-0.905269	0.3045	0.313
60	-0.865044	0.3036	0.3149
70	-0.805336	0.3065	0.3155
80	-0.744031	0.3091	0.3159
90	-0.684686	0.3079	0.3158
100	-0.62866	0.3067	0.3155
150	-0.36981	0.3104	0.314
300	0.129227	0.3151	0.314
450	0.329126	0.3262	0.3168
600	0.333566	0.3245	0.3154
750	0.301734	0.3283	0.3147
900	0.266549	0.3239	0.3128
