Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	-0.05567	0.3471	0.3186
20	-0.033772	0.3418	0.3179
30	-0.012567	0.3493	0.3205
40	0.00815	0.3437	0.3181
50	0.028715	0.3425	0.3191
60	0.047971	0.3453	0.3201
70	0.067443	0.3521	0.3196
80	0.085948	0.3505	0.32
90	0.103727	0.3447	0.3198
100	0.121131	0.3515	0.3177
150	0.201323	0.3442	0.3213
300	0.344308	0.3465	0.3178
450	0.399898	0.3665	0.3149
600	0.410781	0.3301	0.3194
750	0.407615	0.3498	0.3191
900	0.400883	0.322	0.3192
