Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	0.311344	0.4119	0.3776
20	0.321378	0.4144	0.3865
30	0.329944	0.418	0.3862
40	0.338846	0.4164	0.3841
50	0.34766	0.4197	0.3864
60	0.355896	0.4185	0.3835
70	0.363937	0.4262	0.3852
80	0.371625	0.4248	0.3864
90	0.379183	0.4151	0.3865
100	0.386434	0.4048	0.3871
150	0.419729	0.4287	0.3866
300	0.483714	0.4285	0.3849
450	0.508008	0.4263	0.3853
600	0.511311	0.4307	0.3835
750	0.510038	0.4234	0.3868
900	0.507899	0.4261	0.3851
