Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	-0.651413	0.3061	0.2478
20	-0.609727	0.3097	0.246
30	-0.564799	0.3127	0.2497
40	-0.524888	0.3078	0.2483
50	-0.484554	0.3146	0.2514
60	-0.445735	0.3092	0.2609
70	-0.399814	0.3159	0.2612
80	-0.371341	0.3102	0.2608
90	-0.335839	0.3081	0.26
100	-0.299847	0.3191	0.2586
150	-0.1378	0.3107	0.2616
300	0.176594	0.3148	0.2587
450	0.307656	0.3243	0.259
600	0.342512	0.3372	0.2587
750	0.341414	0.3198	0.2606
900	0.330499	0.3247	0.2614
