Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.179389	0.3201	-0.1775
20	0.192528	0.3265	0.3491
30	0.206481	0.3299	0.3501
40	0.220326	0.3335	0.3519
50	0.232533	0.3369	0.354
60	0.244677	0.3393	0.3537
70	0.25579	0.3434	0.3503
80	0.266231	0.3457	0.3507
90	0.277415	0.3484	0.3501
100	0.286127	0.3506	0.3462
150	0.319333	0.3579	0.334
300	0.355834	0.3501	0.3077
450	0.351961	0.336	0.2956
600	0.341474	0.3279	0.2902
750	0.330441	0.3177	0.2719
900	0.316991	0.2885	0.2622
