Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0.41	-0.099992	-1.2554e-09	0.100002	3.1776e-07	-3.1228e-07	-0.094752	-7.8821e-10	0.094766	3.1986e-07	-3.1428e-07	-0.05631	-4.4098e-10	0.05632	3.1938e-07	-3.125e-07	-0.021864	-2.2191e-10	0.021866	3.1786e-07	-3.0982e-07	-0.003086	-5.887e-11	0.003086	3.1686e-07	-3.0808e-07	-0.00011856	1.2973e-10	0.00011874	3.1658e-07	-3.0754e-07	-3.1795e-06	3.977e-10	3.1704e-06	3.1656e-07	-3.0748e-07
0.415	-0.099994	-1.2784e-09	0.100002	3.1752e-07	-3.1234e-07	-0.094388	-7.9949e-10	0.094406	3.196e-07	-3.1414e-07	-0.056092	-4.4165e-10	0.056102	3.1904e-07	-3.1246e-07	-0.02173	-2.2515e-10	0.021734	3.177e-07	-3.098e-07	-0.0030488	-5.809e-11	0.0030508	3.1658e-07	-3.0802e-07	-0.00011662	1.2185e-10	0.0001169	3.1632e-07	-3.0754e-07	-3.1138e-06	3.8472e-10	3.1257e-06	3.1634e-07	-3.0748e-07
0.42	-0.099994	-1.2976e-09	0.1	3.1734e-07	-3.1224e-07	-0.094026	-8.0982e-10	0.094044	3.1938e-07	-3.1404e-07	-0.055876	-4.3688e-10	0.055888	3.189e-07	-3.1242e-07	-0.021594	-2.2171e-10	0.021606	3.1744e-07	-3.0972e-07	-0.003013	-6.298e-11	0.0030124	3.163e-07	-3.0802e-07	-0.00011472	1.1786e-10	0.00011482	3.1608e-07	-3.0752e-07	-3.0528e-06	3.7509e-10	3.0353e-06	3.1608e-07	-3.0748e-07
0.425	-0.09999	-1.3196e-09	0.100002	3.172e-07	-3.1216e-07	-0.09365	-8.1631e-10	0.09366	3.1918e-07	-3.1398e-07	-0.055656	-4.3549e-10	0.055664	3.187e-07	-3.1234e-07	-0.021458	-2.2488e-10	0.021468	3.1726e-07	-3.0972e-07	-0.0029758	-6.105e-11	0.0029768	3.1616e-07	-3.0802e-07	-0.0001128	1.1496e-10	0.00011284	3.1588e-07	-3.0756e-07	-2.9907e-06	3.6685e-10	2.9878e-06	3.1562e-07	-3.0722e-07
0.43	-0.099994	-1.3482e-09	0.100002	3.17e-07	-3.1218e-07	-0.093276	-8.1665e-10	0.093282	3.1902e-07	-3.1392e-07	-0.055438	-4.4656e-10	0.055438	3.1844e-07	-3.124e-07	-0.02133	-2.3284e-10	0.021336	3.1702e-07	-3.0972e-07	-0.0029396	-6.348e-11	0.0029412	3.1598e-07	-3.0798e-07	-0.00011092	1.0752e-10	0.00011104	3.1566e-07	-3.076e-07	-2.9344e-06	3.5717e-10	2.9304e-06	3.1548e-07	-3.0736e-07
0.435	-0.099992	-1.373e-09	0.100002	3.1682e-07	-3.1226e-07	-0.092886	-8.2238e-10	0.092896	3.1872e-07	-3.139e-07	-0.055218	-4.5397e-10	0.055224	3.1824e-07	-3.1224e-07	-0.0212	-2.2967e-10	0.0212	3.1676e-07	-3.097e-07	-0.0029036	-6.477e-11	0.0029056	3.1602e-07	-3.0816e-07	-0.00010894	1.0443e-10	0.00010916	3.1556e-07	-3.0752e-07	-2.8837e-06	3.4625e-10	2.8763e-06	3.1532e-07	-3.0722e-07
0.44	-0.09999	-1.3989e-09	0.1	3.1686e-07	-3.121e-07	-0.09249	-8.3009e-10	0.0925	3.1854e-07	-3.1376e-07	-0.054992	-4.4743e-10	0.055002	3.1804e-07	-3.122e-07	-0.021058	-2.3183e-10	0.021068	3.1666e-07	-3.0966e-07	-0.0028682	-6.562e-11	0.0028702	3.1554e-07	-3.0796e-07	-0.00010772	1.0147e-10	0.00010762	3.1524e-07	-3.0758e-07	-2.8195e-06	3.3749e-10	2.8136e-06	3.1502e-07	-3.073e-07
0.445	-0.09999	-1.4256e-09	0.100002	3.1658e-07	-3.1206e-07	-0.092094	-8.3712e-10	0.092092	3.183e-07	-3.1374e-07	-0.05477	-4.5129e-10	0.054784	3.178e-07	-3.1216e-07	-0.020928	-2.3662e-10	0.020928	3.1638e-07	-3.0962e-07	-0.0028334	-7.014e-11	0.002834	3.1536e-07	-3.0798e-07	-0.00010532	9.378e-11	0.00010546	3.1514e-07	-3.076e-07	-2.7683e-06	3.2938e-10	2.7705e-06	3.1484e-07	-3.0724e-07
0.45	-0.099992	-1.4497e-09	0.100002	3.1636e-07	-3.121e-07	-0.091676	-8.4162e-10	0.091684	3.1818e-07	-3.1364e-07	-0.054544	-4.568e-10	0.05455	3.1762e-07	-3.1212e-07	-0.020796	-2.3025e-10	0.0208	3.1622e-07	-3.096e-07	-0.002799	-7.251e-11	0.0027988	3.152e-07	-3.0796e-07	-0.00010368	8.893e-11	0.0001038	3.1492e-07	-3.0754e-07	-2.7137e-06	3.1888e-10	2.7121e-06	3.1464e-07	-3.0724e-07
0.455	-0.099992	-1.4781e-09	0.1	3.1626e-07	-3.1202e-07	-0.091252	-8.4996e-10	0.091262	3.1802e-07	-3.136e-07	-0.054324	-4.5188e-10	0.054324	3.174e-07	-3.1208e-07	-0.020664	-2.2949e-10	0.02067	3.1608e-07	-3.0966e-07	-0.0027638	-7.033e-11	0.0027628	3.1496e-07	-3.0794e-07	-0.0001019	8.732e-11	0.000102	3.1466e-07	-3.076e-07	-2.6675e-06	3.1117e-10	2.6553e-06	3.1454e-07	-3.0722e-07
0.46	-0.09999	-1.5104e-09	0.100002	3.1604e-07	-3.12e-07	-0.090832	-8.5322e-10	0.090834	3.1776e-07	-3.1354e-07	-0.0541	-4.5824e-10	0.054092	3.1726e-07	-3.12e-07	-0.020526	-2.3488e-10	0.020534	3.1584e-07	-3.0966e-07	-0.0027294	-7.213e-11	0.0027296	3.1478e-07	-3.0794e-07	-0.000100418	8.19e-11	0.00010034	3.1454e-07	-3.0758e-07	-2.6221e-06	3.0306e-10	2.6182e-06	3.1426e-07	-3.0716e-07
0.465	-0.09999	-1.5393e-09	0.100002	3.159e-07	-3.12e-07	-0.090376	-8.6147e-10	0.090392	3.1762e-07	-3.1338e-07	-0.05386	-4.6264e-10	0.053872	3.1706e-07	-3.12e-07	-0.020394	-2.3322e-10	0.020398	3.1568e-07	-3.0958e-07	-0.0026958	-7.586e-11	0.0026958	3.1464e-07	-3.0794e-07	-9.855e-05	7.578e-11	9.862e-05	3.1464e-07	-3.0782e-07	-2.5742e-06	2.9422e-10	2.5644e-06	3.1414e-07	-3.0724e-07
0.47	-0.099994	-1.5706e-09	0.100002	3.1576e-07	-3.1204e-07	-0.089932	-8.6368e-10	0.089942	3.174e-07	-3.133e-07	-0.053642	-4.5646e-10	0.05364	3.1686e-07	-3.1188e-07	-0.020264	-2.32e-10	0.02027	3.1548e-07	-3.096e-07	-0.0026622	-7.212e-11	0.002663	3.1444e-07	-3.0794e-07	-9.6922e-05	7.112e-11	9.695e-05	3.1422e-07	-3.0754e-07	-2.5219e-06	2.8539e-10	2.5147e-06	3.1418e-07	-3.0742e-07
0.475	-0.099994	-1.6054e-09	0.100002	3.1564e-07	-3.1192e-07	-0.089468	-8.7141e-10	0.08948	3.172e-07	-3.1326e-07	-0.0534	-4.5571e-10	0.05341	3.1674e-07	-3.1188e-07	-0.020126	-2.3594e-10	0.020134	3.153e-07	-3.095e-07	-0.002627	-7.939e-11	0.002629	3.1426e-07	-3.0802e-07	-9.5186e-05	6.762e-11	9.5266e-05	3.1398e-07	-3.0758e-07	-2.4759e-06	2.7761e-10	2.4693e-06	3.14e-07	-3.0754e-07
0.48	-0.099994	-1.6341e-09	0.1	3.1544e-07	-3.1188e-07	-0.089004	-8.7855e-10	0.08901	3.1706e-07	-3.1332e-07	-0.053174	-4.738e-10	0.053174	3.1652e-07	-3.1178e-07	-0.019992	-2.3698e-10	0.020002	3.1514e-07	-3.0946e-07	-0.0025946	-7.86e-11	0.0025956	3.1406e-07	-3.079e-07	-9.3642e-05	6.48e-11	9.3634e-05	3.1382e-07	-3.0756e-07	-2.4291e-06	2.7159e-10	2.4208e-06	3.1378e-07	-3.0746e-07
0.485	-0.099992	-1.6717e-09	0.100004	3.1532e-07	-3.1184e-07	-0.088518	-8.8344e-10	0.088522	3.1688e-07	-3.1302e-07	-0.052942	-4.7297e-10	0.052942	3.1638e-07	-3.1172e-07	-0.019862	-2.3652e-10	0.01986	3.1496e-07	-3.0948e-07	-0.0025606	-7.786e-11	0.0025616	3.139e-07	-3.0796e-07	-9.203e-05	5.756e-11	9.2116e-05	3.1366e-07	-3.0754e-07	-2.3757e-06	2.5994e-10	2.3683e-06	3.1364e-07	-3.0752e-07
0.49	-0.099992	-1.7058e-09	0.100002	3.1526e-07	-3.118e-07	-0.088016	-8.9784e-10	0.088028	3.1668e-07	-3.1296e-07	-0.052702	-4.7351e-10	0.05271	3.1614e-07	-3.1162e-07	-0.019728	-2.358e-10	0.019732	3.1478e-07	-3.0944e-07	-0.002529	-8.03e-11	0.0025294	3.1378e-07	-3.0794e-07	-9.0532e-05	5.887e-11	9.047e-05	3.1354e-07	-3.0752e-07	-2.3297e-06	2.5473e-10	2.3284e-06	3.1348e-07	-3.0746e-07
0.495	-0.099994	-1.741e-09	0.100002	3.151e-07	-3.1178e-07	-0.087508	-9.0949e-10	0.087516	3.1644e-07	-3.1288e-07	-0.052458	-4.6795e-10	0.052464	3.1606e-07	-3.1164e-07	-0.019596	-2.4094e-10	0.019594	3.1464e-07	-3.0944e-07	-0.002497	-8.194e-11	0.0024964	3.1364e-07	-3.079e-07	-8.898e-05	5.287e-11	8.8932e-05	3.134e-07	-3.0762e-07	-2.2934e-06	2.4905e-10	2.2869e-06	3.134e-07	-3.0744e-07
0.5	-0.099992	-1.7794e-09	0.1	3.1496e-07	-3.1166e-07	-0.08699	-9.1762e-10	0.087006	3.1634e-07	-3.1284e-07	-0.05222	-4.7072e-10	0.052228	3.1584e-07	-3.116e-07	-0.01946	-2.3809e-10	0.019466	3.145e-07	-3.0934e-07	-0.0024652	-8.116e-11	0.0024644	3.1348e-07	-3.0794e-07	-8.7432e-05	4.909e-11	8.7382e-05	3.1324e-07	-3.077e-07	-2.2491e-06	2.3704e-10	2.2448e-06	3.1314e-07	-3.0774e-07
0.505	-0.099992	-1.8201e-09	0.1	3.1482e-07	-3.117e-07	-0.086454	-9.2289e-10	0.086458	3.163e-07	-3.1274e-07	-0.051974	-4.8248e-10	0.051978	3.1566e-07	-3.1154e-07	-0.019324	-2.398e-10	0.019328	3.1424e-07	-3.0932e-07	-0.0024318	-8.458e-11	0.0024322	3.1332e-07	-3.0786e-07	-8.6274e-05	4.917e-11	8.5906e-05	3.131e-07	-3.0754e-07	-2.2051e-06	2.3331e-10	2.1971e-06	3.13e-07	-3.0746e-07
0.51	-0.099992	-1.8583e-09	0.100002	3.1474e-07	-3.117e-07	-0.085906	-9.2991e-10	0.085916	3.1596e-07	-3.1264e-07	-0.051736	-4.7655e-10	0.051738	3.155e-07	-3.1154e-07	-0.019184	-2.4508e-10	0.019202	3.1416e-07	-3.0932e-07	-0.0023984	-8.641e-11	0.0023998	3.1316e-07	-3.0802e-07	-8.4484e-05	4.341e-11	8.4422e-05	3.1294e-07	-3.0752e-07	-2.1606e-06	2.2678e-10	2.1591e-06	3.128e-07	-3.0742e-07
