Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0.13	-1.5988e-06	-7.19e-12	1.5542e-06	4.882e-07	-4.574e-07	-1.6047e-06	-1.23e-12	1.5531e-06	4.8788e-07	-4.5702e-07	-1.5955e-06	4.07e-12	1.5398e-06	4.8794e-07	-4.5722e-07	-1.6033e-06	1.127e-11	1.5474e-06	4.8778e-07	-4.5702e-07	-1.6013e-06	1.771e-11	1.5557e-06	4.8778e-07	-4.5702e-07	-1.6026e-06	6.06e-12	1.5495e-06	4.8772e-07	-4.5702e-07	-1.5887e-06	5.06e-12	1.5349e-06	4.8846e-07	-4.5712e-07
0.135	-1.5327e-06	-2.388e-11	1.4866e-06	4.8752e-07	-4.5722e-07	-1.5142e-06	-1.76e-11	1.4751e-06	4.873e-07	-4.5722e-07	-1.5323e-06	-2.17e-12	1.4814e-06	4.873e-07	-4.5722e-07	-1.5244e-06	2.65e-12	1.4719e-06	4.8718e-07	-4.5692e-07	-1.5394e-06	-3.403e-11	1.4904e-06	4.872e-07	-4.5696e-07	-1.5292e-06	3.38e-12	1.469e-06	4.8722e-07	-4.5698e-07	-1.5165e-06	-9.37e-12	1.4622e-06	4.8778e-07	-4.5714e-07
0.14	-1.4696e-06	1.137e-11	1.4163e-06	4.868e-07	-4.5726e-07	-1.4596e-06	8.36e-12	1.4128e-06	4.8672e-07	-4.5716e-07	-1.457e-06	2.37e-12	1.4062e-06	4.8678e-07	-4.5722e-07	-1.4509e-06	-3.17e-12	1.4053e-06	4.867e-07	-4.571e-07	-1.4563e-06	-6.07e-12	1.4138e-06	4.865e-07	-4.5698e-07	-1.4596e-06	-1.54e-12	1.4058e-06	4.8656e-07	-4.5708e-07	-1.4422e-06	-2.65e-12	1.3894e-06	4.8718e-07	-4.5718e-07
0.145	-1.3971e-06	1.813e-11	1.3507e-06	4.8622e-07	-4.574e-07	-1.3948e-06	1.837e-11	1.3446e-06	4.8602e-07	-4.571e-07	-1.3833e-06	8.77e-12	1.3403e-06	4.8618e-07	-4.572e-07	-1.3952e-06	1.05e-12	1.3386e-06	4.8606e-07	-4.5714e-07	-1.3997e-06	3.827e-11	1.345e-06	4.859e-07	-4.57e-07	-1.3756e-06	7e-13	1.3334e-06	4.8608e-07	-4.5716e-07	-1.3865e-06	7.29e-12	1.3374e-06	4.8666e-07	-4.5718e-07
0.15	-1.3351e-06	-1.989e-11	1.2861e-06	4.8558e-07	-4.572e-07	-1.3228e-06	-1.496e-11	1.2744e-06	4.855e-07	-4.5712e-07	-1.3226e-06	-4.82e-12	1.2745e-06	4.855e-07	-4.572e-07	-1.3231e-06	9.06e-12	1.284e-06	4.8556e-07	-4.5718e-07	-1.3304e-06	-1.219e-11	1.2785e-06	4.8534e-07	-4.5698e-07	-1.3201e-06	-4.62e-12	1.272e-06	4.8546e-07	-4.5708e-07	-1.3125e-06	1.97e-12	1.2703e-06	4.8606e-07	-4.5718e-07
0.155	-1.2701e-06	-8.61e-12	1.2268e-06	4.8514e-07	-4.5734e-07	-1.2614e-06	-1.196e-11	1.2138e-06	4.8488e-07	-4.5716e-07	-1.2627e-06	-3.04e-12	1.2213e-06	4.8492e-07	-4.5716e-07	-1.269e-06	-4.76e-12	1.2231e-06	4.849e-07	-4.5722e-07	-1.2678e-06	-3.615e-11	1.2262e-06	4.848e-07	-4.5698e-07	-1.2565e-06	-1.63e-12	1.2097e-06	4.8492e-07	-4.571e-07	-1.2648e-06	1.42e-12	1.2167e-06	4.8544e-07	-4.5716e-07
0.16	-1.2156e-06	1.935e-11	1.169e-06	4.8464e-07	-4.5738e-07	-1.2087e-06	1.789e-11	1.1653e-06	4.843e-07	-4.5708e-07	-1.2037e-06	1.063e-11	1.1564e-06	4.8434e-07	-4.5716e-07	-1.2083e-06	-1.45e-12	1.1682e-06	4.8446e-07	-4.5714e-07	-1.2127e-06	2.135e-11	1.1594e-06	4.8478e-07	-4.5696e-07	-1.2067e-06	5.35e-12	1.1566e-06	4.8408e-07	-4.5702e-07	-1.2026e-06	-1.32e-12	1.1529e-06	4.849e-07	-4.5716e-07
0.165	-1.1599e-06	-5.74e-12	1.111e-06	4.8418e-07	-4.5736e-07	-1.1566e-06	5.71e-12	1.1092e-06	4.8376e-07	-4.572e-07	-1.1502e-06	7.3e-13	1.1078e-06	4.8384e-07	-4.572e-07	-1.1561e-06	1e-12	1.1068e-06	4.8388e-07	-4.5716e-07	-1.1479e-06	2.43e-11	1.1086e-06	4.8368e-07	-4.5698e-07	-1.1467e-06	-3e-14	1.1035e-06	4.8358e-07	-4.5702e-07	-1.1427e-06	-8.02e-12	1.0989e-06	4.843e-07	-4.5712e-07
0.17	-1.1046e-06	-1.701e-11	1.0666e-06	4.8348e-07	-4.5732e-07	-1.0967e-06	-2.134e-11	1.053e-06	4.8332e-07	-4.5716e-07	-1.0959e-06	-1.392e-11	1.0527e-06	4.8336e-07	-4.5722e-07	-1.1e-06	-2.99e-12	1.0589e-06	4.8326e-07	-4.572e-07	-1.1007e-06	-3.042e-11	1.0575e-06	4.8318e-07	-4.5708e-07	-1.0885e-06	-8e-13	1.0462e-06	4.8312e-07	-4.5698e-07	-1.0943e-06	4.68e-12	1.0497e-06	4.8386e-07	-4.5708e-07
0.175	-1.0536e-06	1.044e-11	1.0147e-06	4.8294e-07	-4.5738e-07	-1.0549e-06	3e-12	1.0093e-06	4.8268e-07	-4.571e-07	-1.0425e-06	-5.3e-13	1.00856e-06	4.8262e-07	-4.5702e-07	-1.0445e-06	-5.22e-12	1.0088e-06	4.8266e-07	-4.5692e-07	-1.0437e-06	-1.034e-11	1.0087e-06	4.8252e-07	-4.5698e-07	-1.0408e-06	-8.46e-12	1.00832e-06	4.8248e-07	-4.5704e-07	-1.0422e-06	8.15e-12	1.00468e-06	4.8328e-07	-4.5708e-07
0.18	-1.0036e-06	6.59e-12	9.7108e-07	4.8252e-07	-4.5744e-07	-9.8364e-07	-2.23e-12	9.6434e-07	4.8218e-07	-4.571e-07	-9.986e-07	-4.69e-12	9.612e-07	4.8204e-07	-4.571e-07	-1.0008e-06	4.49e-12	9.689e-07	4.8206e-07	-4.5702e-07	-9.8398e-07	1.208e-11	9.6324e-07	4.8192e-07	-4.5686e-07	-9.7658e-07	9.98e-12	9.4962e-07	4.8196e-07	-4.5696e-07	-9.754e-07	-6.8e-12	9.5228e-07	4.8272e-07	-4.5712e-07
0.185	-9.463e-07	-3.05e-12	9.1898e-07	4.8192e-07	-4.5738e-07	-9.5924e-07	-1.035e-11	9.1546e-07	4.816e-07	-4.571e-07	-9.3186e-07	-1.458e-11	9.0796e-07	4.8152e-07	-4.571e-07	-9.3776e-07	-8.87e-12	9.1252e-07	4.8164e-07	-4.5716e-07	-9.6028e-07	-2.175e-11	9.1944e-07	4.8152e-07	-4.5698e-07	-9.507e-07	-6.74e-12	9.1372e-07	4.815e-07	-4.5708e-07	-9.5456e-07	4.7e-13	9.1252e-07	4.8208e-07	-4.5708e-07
0.19	-9.1846e-07	1.95e-11	8.793e-07	4.8132e-07	-4.5736e-07	-9.0998e-07	1.574e-11	8.7128e-07	4.8098e-07	-4.57e-07	-9.0902e-07	4.28e-12	8.6878e-07	4.8104e-07	-4.5698e-07	-9.125e-07	-1.19e-11	8.7542e-07	4.8104e-07	-4.5702e-07	-9.1488e-07	3.166e-11	8.745e-07	4.8102e-07	-4.5702e-07	-9.0562e-07	-5.33e-12	8.7416e-07	4.8114e-07	-4.5716e-07	-9.0914e-07	1.311e-11	8.69e-07	4.817e-07	-4.571e-07
