Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.15V	Ig,Vd=0.15V	Is,Vd=0.15V	Iavdd,Vd=0.15V	Ignd,Vd=0.15V	Id,Vd=0.3V	Ig,Vd=0.3V	Is,Vd=0.3V	Iavdd,Vd=0.3V	Ignd,Vd=0.3V	Id,Vd=0.45V	Ig,Vd=0.45V	Is,Vd=0.45V	Iavdd,Vd=0.45V	Ignd,Vd=0.45V	Id,Vd=0.6V	Ig,Vd=0.6V	Is,Vd=0.6V	Iavdd,Vd=0.6V	Ignd,Vd=0.6V	Id,Vd=0.75V	Ig,Vd=0.75V	Is,Vd=0.75V	Iavdd,Vd=0.75V	Ignd,Vd=0.75V	Id,Vd=0.9V	Ig,Vd=0.9V	Is,Vd=0.9V	Iavdd,Vd=0.9V	Ignd,Vd=0.9V
0.77	-2.9718e-06	1.3256e-09	2.8986e-06	3.823e-07	-3.121e-07	-2.4493e-06	7.8633e-10	2.4104e-06	3.5272e-07	-3.1236e-07	-1.9834e-06	3.9631e-10	1.9598e-06	3.3448e-07	-3.1276e-07	-1.6123e-06	1.6122e-10	1.5937e-06	3.2348e-07	-3.1298e-07	-1.2922e-06	4.636e-11	1.2877e-06	3.1762e-07	-3.1296e-07	-1.0126e-06	-7.94e-12	1.0103e-06	3.142e-07	-3.1282e-07	-5.81196e-08	-6.134e-11	5.87018e-08	3.1216e-07	-3.1272e-07
0.765	-3.445e-06	1.3005e-09	3.3762e-06	3.823e-07	-3.121e-07	-2.8408e-06	7.6949e-10	2.7962e-06	3.5264e-07	-3.1236e-07	-2.3037e-06	3.8075e-10	2.2841e-06	3.3442e-07	-3.127e-07	-1.8691e-06	1.4888e-10	1.8557e-06	3.2356e-07	-3.1294e-07	-1.5016e-06	4.082e-11	1.4994e-06	3.1756e-07	-3.1292e-07	-1.1762e-06	-1.112e-11	1.1747e-06	3.143e-07	-3.1288e-07	-6.64098e-08	-6.673e-11	6.69146e-08	3.1228e-07	-3.1278e-07
0.76	-3.991e-06	1.28e-09	3.9176e-06	3.8212e-07	-3.1212e-07	-3.2817e-06	7.5004e-10	3.2457e-06	3.5266e-07	-3.1236e-07	-2.6784e-06	3.6988e-10	2.6509e-06	3.3436e-07	-3.1276e-07	-2.1637e-06	1.4237e-10	2.1558e-06	3.2354e-07	-3.1292e-07	-1.7422e-06	3.509e-11	1.7425e-06	3.176e-07	-3.13e-07	-1.3659e-06	-1.994e-11	1.3614e-06	3.1426e-07	-3.1282e-07	-7.69692e-08	-7.242e-11	7.72962e-08	3.1226e-07	-3.1274e-07
0.755	-4.629e-06	1.2502e-09	4.5482e-06	3.8208e-07	-3.1212e-07	-3.8091e-06	7.3357e-10	3.7674e-06	3.5262e-07	-3.1234e-07	-3.0939e-06	3.5519e-10	3.0795e-06	3.344e-07	-3.1274e-07	-2.5172e-06	1.3473e-10	2.506e-06	3.2354e-07	-3.1288e-07	-2.0239e-06	2.967e-11	2.0251e-06	3.1762e-07	-3.1318e-07	-1.5862e-06	-1.884e-11	1.5833e-06	3.1424e-07	-3.1284e-07	-9.02812e-08	-7.757e-11	9.06758e-08	3.1224e-07	-3.1272e-07
0.75	-5.3598e-06	1.232e-09	5.2801e-06	3.8202e-07	-3.1206e-07	-4.412e-06	7.1601e-10	4.3775e-06	3.5242e-07	-3.1228e-07	-3.5888e-06	3.3968e-10	3.5704e-06	3.3422e-07	-3.1282e-07	-2.9159e-06	1.2393e-10	2.9089e-06	3.2348e-07	-3.1296e-07	-2.3497e-06	2.473e-11	2.3459e-06	3.1758e-07	-3.1294e-07	-1.8423e-06	-2.58e-11	1.8423e-06	3.1426e-07	-3.129e-07	-1.041454e-07	-8.235e-11	1.0402e-07	3.122e-07	-3.1276e-07
0.745	-6.2082e-06	1.2098e-09	6.131e-06	3.818e-07	-3.121e-07	-5.1255e-06	6.9587e-10	5.082e-06	3.5252e-07	-3.1236e-07	-4.1738e-06	3.2957e-10	4.1478e-06	3.3458e-07	-3.1282e-07	-3.3899e-06	1.1912e-10	3.3874e-06	3.234e-07	-3.129e-07	-2.7321e-06	2.153e-11	2.7275e-06	3.1756e-07	-3.1292e-07	-2.1412e-06	-2.892e-11	2.1423e-06	3.143e-07	-3.1288e-07	-1.2084e-07	-8.835e-11	1.211e-07	3.1226e-07	-3.1276e-07
0.74	-7.1866e-06	1.1806e-09	7.1169e-06	3.8186e-07	-3.1218e-07	-5.9409e-06	6.7942e-10	5.8932e-06	3.524e-07	-3.1234e-07	-4.8339e-06	3.1396e-10	4.8127e-06	3.3428e-07	-3.1278e-07	-3.945e-06	1.0828e-10	3.9199e-06	3.2342e-07	-3.1294e-07	-3.1753e-06	1.171e-11	3.1751e-06	3.1754e-07	-3.129e-07	-2.4785e-06	-3.463e-11	2.4864e-06	3.1434e-07	-3.1288e-07	-1.4254e-07	-9.376e-11	1.3714e-07	3.1226e-07	-3.1272e-07
0.735	-8.3255e-06	1.1606e-09	8.2643e-06	3.8212e-07	-3.123e-07	-6.891e-06	6.5905e-10	6.8454e-06	3.5252e-07	-3.124e-07	-5.6138e-06	3.004e-10	5.5943e-06	3.3432e-07	-3.1274e-07	-4.5633e-06	1.0013e-10	4.567e-06	3.2344e-07	-3.1288e-07	-3.6875e-06	6.99e-12	3.6817e-06	3.1756e-07	-3.1294e-07	-2.8836e-06	-4.167e-11	2.8888e-06	3.1424e-07	-3.1292e-07	-1.6212e-07	-1.0228e-10	1.6196e-07	3.1222e-07	-3.127e-07
0.73	-9.6312e-06	1.1355e-09	9.5513e-06	3.818e-07	-3.121e-07	-7.9732e-06	6.4304e-10	7.9243e-06	3.5254e-07	-3.124e-07	-6.4959e-06	2.8871e-10	6.4693e-06	3.3428e-07	-3.1276e-07	-5.303e-06	9.22e-11	5.2901e-06	3.234e-07	-3.129e-07	-4.2714e-06	1.96e-12	4.265e-06	3.1756e-07	-3.1296e-07	-3.3529e-06	-4.201e-11	3.3438e-06	3.1432e-07	-3.129e-07	-1.8856e-07	-1.0733e-10	1.8716e-07	3.1228e-07	-3.1272e-07
0.725	-1.1129e-05	1.1125e-09	1.10645e-05	3.8166e-07	-3.121e-07	-9.2477e-06	6.2444e-10	9.1885e-06	3.524e-07	-3.1238e-07	-7.5484e-06	2.741e-10	7.5157e-06	3.3434e-07	-3.1278e-07	-6.153e-06	8.347e-11	6.1365e-06	3.234e-07	-3.1288e-07	-4.9563e-06	-5.45e-12	4.9572e-06	3.1752e-07	-3.1292e-07	-3.8706e-06	-4.983e-11	3.8745e-06	3.1432e-07	-3.1288e-07	-2.1824e-07	-1.1535e-10	2.1528e-07	3.1218e-07	-3.1272e-07
