Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	0.257628	0.3997	0.3865
20	0.268685	0.3949	0.3699
30	0.279732	0.4065	0.3836
40	0.290316	0.3975	0.3864
50	0.300772	0.4049	0.3988
60	0.31062	0.404	0.3848
70	0.320326	0.4031	0.3861
80	0.32955	0.3973	0.3871
90	0.338674	0.4086	0.3878
100	0.348306	0.4035	0.383
150	0.388851	0.4007	0.384
300	0.469391	0.4073	0.3845
450	0.502374	0.4068	0.3862
600	0.508001	0.4152	0.3837
750	0.507097	0.4019	0.3869
900	0.504981	0.397	0.3855
