vg	id_vd = 0.8V	ig_vd = 0.8V	is_vd = 0.8V	iavdd_vd = 0.8V	ignd_vd = 0.8V	id_vd = 0.81V	ig_vd = 0.81V	is_vd = 0.81V	iavdd_vd = 0.81V	ignd_vd = 0.81V	id_vd = 0.82V	ig_vd = 0.82V	is_vd = 0.82V	iavdd_vd = 0.82V	ignd_vd = 0.82V	id_vd = 0.83V	ig_vd = 0.83V	is_vd = 0.83V	iavdd_vd = 0.83V	ignd_vd = 0.83V	id_vd = 0.84V	ig_vd = 0.84V	is_vd = 0.84V	iavdd_vd = 0.84V	ignd_vd = 0.84V	id_vd = 0.85V	ig_vd = 0.85V	is_vd = 0.85V	iavdd_vd = 0.85V	ignd_vd = 0.85V	id_vd = 0.86V	ig_vd = 0.86V	is_vd = 0.86V	iavdd_vd = 0.86V	ignd_vd = 0.86V	id_vd = 0.87V	ig_vd = 0.87V	is_vd = 0.87V	iavdd_vd = 0.87V	ignd_vd = 0.87V	id_vd = 0.88V	ig_vd = 0.88V	is_vd = 0.88V	iavdd_vd = 0.88V	ignd_vd = 0.88V	id_vd = 0.89V	ig_vd = 0.89V	is_vd = 0.89V	iavdd_vd = 0.89V	ignd_vd = 0.89V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
0.305	-0.06984	-2.9613e-10	0.069848	4.4958e-07	-3.9192e-07	-0.069474	-2.9436e-10	0.069476	4.4968e-07	-3.9378e-07	-0.06911	-2.9569e-10	0.06912	4.49e-07	-3.9468e-07	-0.068736	-3.1273e-10	0.068748	4.4816e-07	-3.958e-07	-0.068364	-3.1494e-10	0.068374	4.4724e-07	-3.9638e-07	-0.068002	-3.109e-10	0.06802	4.4564e-07	-3.9672e-07	-0.067626	-3.2633e-10	0.067638	4.4432e-07	-3.9698e-07	-0.067258	-3.2439e-10	0.067272	4.4266e-07	-3.9724e-07	-0.066882	-3.3229e-10	0.066896	4.411e-07	-3.973e-07	-0.066514	-3.3601e-10	0.066524	4.3946e-07	-3.9724e-07	-0.066136	-3.4061e-10	0.066146	4.382e-07	-3.9728e-07
0.3	-0.071278	-2.9313e-10	0.071282	4.4966e-07	-3.9226e-07	-0.070904	-3.0716e-10	0.07091	4.4982e-07	-3.942e-07	-0.070546	-3.0569e-10	0.070542	4.493e-07	-3.9508e-07	-0.070156	-3.1932e-10	0.070172	4.485e-07	-3.9612e-07	-0.069796	-3.1984e-10	0.069804	4.4736e-07	-3.9676e-07	-0.069422	-3.2868e-10	0.069434	4.458e-07	-3.9714e-07	-0.069044	-3.2822e-10	0.069054	4.4444e-07	-3.9746e-07	-0.068674	-3.3839e-10	0.068684	4.4284e-07	-3.977e-07	-0.068288	-3.4184e-10	0.068304	4.4128e-07	-3.9758e-07	-0.067926	-3.4556e-10	0.067936	4.3972e-07	-3.976e-07	-0.067544	-3.4754e-10	0.067556	4.3844e-07	-3.9758e-07
0.295	-0.07269	-3.1199e-10	0.072696	4.4996e-07	-3.9264e-07	-0.072324	-3.1122e-10	0.072336	4.5008e-07	-3.947e-07	-0.071952	-3.2741e-10	0.071964	4.4968e-07	-3.9576e-07	-0.071572	-3.2835e-10	0.071584	4.4854e-07	-3.9654e-07	-0.0712	-3.3549e-10	0.071202	4.4756e-07	-3.972e-07	-0.070826	-3.3085e-10	0.070828	4.46e-07	-3.9752e-07	-0.070444	-3.3316e-10	0.07046	4.4456e-07	-3.9782e-07	-0.070076	-3.5149e-10	0.070084	4.4308e-07	-3.98e-07	-0.06969	-3.5092e-10	0.069706	4.4158e-07	-3.9786e-07	-0.069322	-3.5677e-10	0.069328	4.3984e-07	-3.9796e-07	-0.068942	-3.5747e-10	0.06895	4.3844e-07	-3.9786e-07
0.29	-0.074142	-3.2514e-10	0.074152	4.502e-07	-3.931e-07	-0.073766	-3.3136e-10	0.073772	4.502e-07	-3.9498e-07	-0.073386	-3.3258e-10	0.073398	4.4962e-07	-3.9582e-07	-0.07301	-3.3224e-10	0.073022	4.488e-07	-3.9688e-07	-0.072636	-3.3836e-10	0.072636	4.4774e-07	-3.9746e-07	-0.072252	-3.4793e-10	0.072264	4.4616e-07	-3.9784e-07	-0.071868	-3.5011e-10	0.071882	4.4494e-07	-3.9808e-07	-0.071496	-3.5987e-10	0.071508	4.4338e-07	-3.9826e-07	-0.071114	-3.6928e-10	0.071128	4.4164e-07	-3.9824e-07	-0.070744	-3.4891e-10	0.070748	4.4006e-07	-3.9836e-07	-0.070366	-3.6564e-10	0.070368	4.3894e-07	-3.9826e-07
0.285	-0.075558	-3.2684e-10	0.07557	4.5038e-07	-3.935e-07	-0.075184	-3.2925e-10	0.075194	4.5038e-07	-3.954e-07	-0.07481	-3.4404e-10	0.074816	4.498e-07	-3.9618e-07	-0.074426	-3.4616e-10	0.07443	4.4894e-07	-3.9734e-07	-0.074048	-3.4436e-10	0.074052	4.4812e-07	-3.979e-07	-0.073666	-3.4927e-10	0.073672	4.4644e-07	-3.9818e-07	-0.073284	-3.6092e-10	0.0733	4.451e-07	-3.9858e-07	-0.07291	-3.9239e-10	0.072916	4.4368e-07	-3.9858e-07	-0.072524	-3.6724e-10	0.07253	4.4178e-07	-3.9866e-07	-0.072138	-3.6215e-10	0.072152	4.403e-07	-3.9872e-07	-0.071762	-3.6556e-10	0.071764	4.3886e-07	-3.9864e-07
0.28	-0.077006	-3.4312e-10	0.077016	4.505e-07	-3.9394e-07	-0.076636	-3.4363e-10	0.076642	4.5068e-07	-3.9586e-07	-0.076264	-3.5051e-10	0.076266	4.5002e-07	-3.9648e-07	-0.075872	-3.591e-10	0.07588	4.4914e-07	-3.9766e-07	-0.07549	-3.6352e-10	0.075496	4.483e-07	-3.9828e-07	-0.075106	-3.5889e-10	0.075112	4.467e-07	-3.9886e-07	-0.07472	-3.6396e-10	0.074732	4.4544e-07	-3.989e-07	-0.074338	-3.687e-10	0.074344	4.4384e-07	-3.9902e-07	-0.073954	-3.6947e-10	0.073956	4.4208e-07	-3.9896e-07	-0.073564	-3.8241e-10	0.073568	4.4052e-07	-3.9904e-07	-0.073172	-3.8542e-10	0.073188	4.3912e-07	-3.9896e-07
0.275	-0.078442	-3.4661e-10	0.07845	4.5074e-07	-3.9426e-07	-0.078064	-3.6009e-10	0.078076	4.5084e-07	-3.9616e-07	-0.07768	-3.5381e-10	0.077694	4.5018e-07	-3.973e-07	-0.077296	-3.6884e-10	0.077304	4.4944e-07	-3.981e-07	-0.076914	-3.6359e-10	0.076926	4.482e-07	-3.9874e-07	-0.076518	-3.6871e-10	0.07653	4.4686e-07	-3.9898e-07	-0.076142	-3.7909e-10	0.076144	4.4542e-07	-3.992e-07	-0.075752	-3.6854e-10	0.075762	4.4402e-07	-3.9948e-07	-0.07536	-3.8878e-10	0.07537	4.4228e-07	-3.9944e-07	-0.074974	-3.9193e-10	0.074992	4.4082e-07	-3.9942e-07	-0.074596	-3.9322e-10	0.074594	4.3934e-07	-3.993e-07
0.27	-0.079906	-3.637e-10	0.07991	4.5098e-07	-3.9474e-07	-0.079522	-3.6759e-10	0.079526	4.5092e-07	-3.9658e-07	-0.079134	-3.6414e-10	0.07914	4.5046e-07	-3.9736e-07	-0.078746	-3.6881e-10	0.07875	4.4968e-07	-3.9866e-07	-0.078364	-3.7258e-10	0.078364	4.4848e-07	-3.9898e-07	-0.077968	-3.7739e-10	0.077976	4.4684e-07	-3.9924e-07	-0.077582	-3.9232e-10	0.07759	4.4556e-07	-3.995e-07	-0.077198	-3.7948e-10	0.0772	4.4406e-07	-3.9976e-07	-0.076802	-3.9751e-10	0.07681	4.4258e-07	-3.9972e-07	-0.076414	-3.9747e-10	0.076416	4.4102e-07	-3.9972e-07	-0.076012	-4.0323e-10	0.076022	4.3956e-07	-3.9966e-07
0.265	-0.081342	-3.7208e-10	0.081358	4.5126e-07	-3.9518e-07	-0.08095	-3.7041e-10	0.080956	4.5146e-07	-3.97e-07	-0.080572	-3.8407e-10	0.08058	4.5054e-07	-3.9778e-07	-0.080174	-3.8586e-10	0.080188	4.4976e-07	-3.9894e-07	-0.079782	-3.9292e-10	0.079798	4.4868e-07	-3.994e-07	-0.079396	-3.8571e-10	0.079408	4.4716e-07	-3.9974e-07	-0.079004	-4.0212e-10	0.079018	4.4584e-07	-3.9988e-07	-0.078612	-4.162e-10	0.078624	4.4444e-07	-4.0014e-07	-0.07822	-4.0189e-10	0.078226	4.4272e-07	-4.0018e-07	-0.077822	-4.1113e-10	0.077842	4.4118e-07	-4.0022e-07	-0.077432	-4.1148e-10	0.077436	4.3974e-07	-3.9994e-07
0.26	-0.082802	-3.8677e-10	0.082812	4.5144e-07	-3.9558e-07	-0.082408	-3.8973e-10	0.08242	4.515e-07	-3.9742e-07	-0.08203	-3.8717e-10	0.08203	4.5074e-07	-3.982e-07	-0.08163	-3.9581e-10	0.081648	4.5006e-07	-3.9928e-07	-0.081246	-4.0053e-10	0.081244	4.4882e-07	-3.9978e-07	-0.08085	-4.0564e-10	0.080858	4.4734e-07	-4.0004e-07	-0.080452	-4.0204e-10	0.080456	4.4592e-07	-4.0024e-07	-0.08006	-4.2176e-10	0.080072	4.4458e-07	-4.0052e-07	-0.079658	-4.0874e-10	0.079672	4.4298e-07	-4.0044e-07	-0.07927	-4.2407e-10	0.079276	4.4132e-07	-4.0052e-07	-0.078866	-4.1224e-10	0.078876	4.399e-07	-4.0034e-07
