Dispositivi	SDLM grado 2	SDLM grado 4	SDLM grado 6	SDLM grado 8	TCM grado 2	TCM grado 4	TCM grado 6	TCM grado 8
N4-100-180	424.7	414.8	404.8	401.4	492.8	491.8	491.2	491.6
N4-100-30	292.3	287.0	287.7	291.0	377.6	379.0	378.7	378.2
N4-100-60	363.6	356.0	356.8	357.6	416.7	418.1	418.8	418.6
N4-200-180	431.2	424.0	417.9	423.6	483.8	484.7	483.8	483.2
N4-200-30	281.2	278.9	279.7	280.6	364.1	367.8	367.0	366.4
N4-200-60	363.8	358.6	355.3	354.6	411.6	414.0	413.7	413.6
N4-600-180	423.0	417.7	417.1	414.3	455.3	458.5	458.4	458.0
N4-600-60	342.7	335.6	334.4	333.6	379.2	384.1	381.0	381.8
