Dispositivi	SDLM grado 2	SDLM grado 4	SDLM grado 6	SDLM grado 8	TCM grado 2	TCM grado 4	TCM grado 6	TCM grado 8
N4-100-180	431.0	427.3	422.1	417.1	493.5	493.0	491.9	492.1
N4-100-30	293.4	291.8	289.8	288.1	379.2	381.8	380.6	379.7
N4-100-60	363.7	356.1	360.9	361.4	418.5	419.9	419.8	420.0
N4-200-180	432.5	422.3	418.8	429.8	484.1	484.7	484.6	484.1
N4-200-30	282.6	280.4	277.9	277.5	365.2	368.7	369.2	368.9
N4-200-60	364.3	360.5	357.4	353.9	413.6	415.4	415.5	415.8
N4-600-180	424.4	419.6	418.4	415.4	456.4	458.8	458.8	458.8
N4-600-60	341.9	335.1	336.1	335.4	379.4	385.7	379.5	380.8
