Coefficente_Inversione	Guadagno_Intrinseco
5.58611351351351e-05	-0.555730431838852
5.53553513513513e-05	-0.569927146781328
5.48258918918919e-05	-0.580056995571049
5.42698378378378e-05	-0.583510272711652
5.37676216216216e-05	-0.58563298815188
5.32983243243243e-05	-0.576342313548338
5.28006486486486e-05	-0.557330946799837
5.23185405405405e-05	-0.543291704008407
5.1936e-05	-0.530192552047698
5.14835675675676e-05	-0.514516150287951
5.10906486486486e-05	-0.504385877275361
5.07037297297297e-05	-0.497085156512958
5.02785405405405e-05	-0.486247664762112
4.9926e-05	-0.472218779691827
4.95606486486486e-05	-0.457901549896652
4.92366486486486e-05	-0.44581100913566
4.89199459459459e-05	-0.438198306705871
4.85871891891892e-05	-0.427843347639487
4.8228972972973e-05	-0.419885405890309
4.79596216216216e-05	-0.41379008810091
4.76695135135135e-05	-0.39949471952527
4.73807027027027e-05	-0.380303299831005
4.7094e-05	-0.368349004735083
4.68739459459459e-05	-0.357285286460293
4.66159459459459e-05	-0.343339672533584
4.63884324324324e-05	-0.333952633104942
4.61532972972973e-05	-0.331790170887632
4.5930972972973e-05	-0.329433611884864
4.56956756756757e-05	-0.321935368238951
4.54673513513513e-05	-0.314804772234273
4.52610810810811e-05	-0.311818476550453
4.50903243243243e-05	-0.304196220780149
4.48540540540541e-05	-0.290766388919987
4.46494054054054e-05	-0.280488197727328
4.44964864864865e-05	-0.268742120065949
4.43181081081081e-05	-0.25134087473792
4.41818918918919e-05	-0.242896058984732
4.40190810810811e-05	-0.24528062165463
4.38841621621622e-05	-0.242280460828735
4.36423783783784e-05	-0.23988988905866
4.35565945945946e-05	-0.231593344918476
4.33738378378378e-05	-0.215286379004452
4.32736216216216e-05	-0.201725482305003
4.31719459459459e-05	-0.197798453786038
4.30311891891892e-05	-0.192623540058017
4.28901081081081e-05	-0.184536354056902
4.27761081081081e-05	-0.177836436363016
4.26732972972973e-05	-0.168255734337556
4.26227027027027e-05	-0.153158705701079
4.24757837837838e-05	-0.142952012971331
4.24248648648649e-05	-0.136071659831642
4.23277297297297e-05	-0.120730786914542
4.22434054054054e-05	-0.0969801140072233
4.2227027027027e-05	-0.0767525135478931
4.21924864864865e-05	-0.0601540194357859
4.21824324324324e-05	-0.0427049531623094
4.21435135135135e-05	-0.0218144956028717
4.21094594594595e-05	0.00374219824394393
4.21512972972973e-05	0.0309859900950767
4.22091891891892e-05	0.0669059792831218
4.22706486486486e-05	0.112294849777809
4.23298378378378e-05	0.157567675690091
4.24676756756757e-05	0.206385648308817
4.26199459459459e-05	0.268136342173955
4.28297837837838e-05	0.341649025965325
4.30681621621622e-05	0.423504419067423
4.3368e-05	0.522885143503311
4.3728972972973e-05	0.65266979345179
4.4166972972973e-05	0.806540899813968
4.47731351351351e-05	0.986511287304156
4.54572972972973e-05	1.19113738677659
4.63016756756757e-05	1.42202825967076
4.72691351351351e-05	1.68149128592467
4.83979459459459e-05	1.9895880488909
4.97764864864865e-05	2.35795861393856
5.13398918918919e-05	2.80099692207121
5.32898918918919e-05	3.31339608782002
5.55340540540541e-05	3.91099796334014
5.82311351351351e-05	4.60171693568034
6.13448108108108e-05	5.40145171300337
6.50800540540541e-05	6.3254180811709
6.93807567567567e-05	7.43377596034253
7.45341081081081e-05	8.70532304158543
8.04835135135135e-05	10.1902407909424
8.76536756756757e-05	11.9516129032258
9.59189189189189e-05	14.0013421578378
0.000105745945945946	16.3442392735963
0.000117162162162162	19.1461328125
0.000130848648648649	22.1547307692308
0.00014687027027027	25.5565800502934
0.000165567567567568	30.0994962216625
0.000187459459459459	34.2046379170056
0.000213697297297297	39.1081616481774
0.000243616216216216	45.9489311163895
0.000279259459459459	50.9149253731343
0.000321583783783784	58.2941176470588
0.000370427027027027	66.6912491178546
0.000429324324324324	74.1594396264176
0.000497189189189189	80.9043343653251
0.000578124324324324	89.109756097561
0.000672064864864865	95.4370037056649
0.000783145945945946	106.215180360722
0.000912291891891892	116.356141989725
0.00106751351351351	124.792324093817
0.00124645945945946	127.973977695168
0.00145824324324324	138.611301369863
0.00170610810810811	140.039911634757
0.00200181081081081	151.150879566982
0.00234113513513514	151.307958477509
0.00274954054054054	154.247747747748
0.00321632432432432	161.351025869759
0.00377789189189189	170.353531300161
0.00442954054054054	163.78125
0.00519089189189189	161.583887043189
0.00609583783783784	167.02072159922
0.00713059459459459	172.997205503009
0.00837713513513513	179.500570776256
0.00983351351351351	164.442410714286
0.0115345945945946	183.93409090909
0.0135032432432432	178.733490566037
0.0158383783783784	185.416945606694
0.0185513513513514	177.621575342466
0.0217410810810811	189.093457943925
0.025452972972973	182.011538461538
0.0298297297297297	178.277419354839
0.0348875675675676	185.287356321839
0.0408664864864865	177.922712933755
0.0476821621621622	185.601694915256
0.0558178378378378	173.907849829352
0.0651081081081081	173.413170731708
0.0760264864864865	175.010178117049
0.0885697297297297	167.570827489482
0.103297297297297	162.47294117647
0.119951351351351	165.105699481865
0.139556756756757	165.998416289593
0.161594594594595	161.512643678162
0.187475675675676	163.246621621621
0.216518918918919	160.499999999999
0.25032972972973	155.613861386139
0.287967567567568	157.073788546256
0.331281081081081	151.139774859287
0.379345945945946	151.35225375626
0.434027027027027	152.321856287426
0.494335135135135	151.243027888446
0.562556756756757	147.006952491309
0.638108108108108	139.66087388282
0.722302702702703	136.54481546573
0.812821621621622	141.009892827699
0.914205405405405	134.791726618705
1.02389189189189	131.040384615385
1.1447027027027	129.291279069768
1.2732972972973	124.201546391752
1.41421621621622	123.180568720379
1.56454054054054	118.895744680851
1.7267027027027	119.342629482071
1.89859459459459	113.951957295373
2.0832972972973	114.518456375839
2.2787027027027	109.818181818183
2.48724324324324	107.74297752809
2.70616216216216	105.712793733682
2.93481081081081	103.434466019417
3.17805405405405	99.6013363028957
3.43005405405405	97.9612970711301
3.69681081081081	96.3041338582673
3.97037837837838	94.0876383763838
4.25902702702703	93.2478031634446
4.55432432432432	90.7981878088963
4.86632432432432	87.7926267281109
5.184	87.2433628318581
5.51805405405405	83.7143835616436
5.85518918918919	83.5132450331126
6.20902702702703	81.5156838143035
6.56740540540541	80.0568862275448
6.94362162162162	77.8792517006803
7.3212972972973	76.1805405405401
7.71583783783784	73.7344228804898
8.11037837837838	73.5776892430281
8.52210810810811	73.8768328445744
8.93675675675676	72.0279850746269
9.36648648648648	69.3459507042252
9.8027027027027	67.5378151260503
10.2389189189189	67.1643442622948
10.6945945945946	66.2023809523808
11.1518918918919	64.3181818181817
11.6221621621622	63.529411764706
12.0940540540541	62.7107142857141
12.5789189189189	61.4793103448275
13.0637837837838	61.1047297297295
13.5648648648649	58.75
14.0643243243243	58.4150943396228
14.5735135135135	57.7085889570552
15.0859459459459	56.9820359281435
15.6113513513514	56.3157894736844
16.1318918918919	55.6628571428572
16.6702702702703	54.9888268156429
17.2054054054054	53.4677419354838
17.747027027027	52.6020942408376
18.2983783783784	52.2835051546388
18.8481081081081	52.2551020408163
19.4124324324324	51.2153465346533
19.9702702702703	50.9195121951219
