Vsg	Vsd = 150	Vsd = 300	Vsd = 450	Vsd = 600	Vsd = 750	Vsd = 900
0.665	-0.041936	-0.0757399999999999	-0.0863199999999999	-0.0912399999999999	-0.0941999999999999	-0.0964599999999999
0.67	-0.04151	-0.0756999999999999	-0.0865799999999999	-0.09154	-0.0943599999999999	-0.0966399999999999
0.675	-0.041304	-0.0756399999999999	-0.0867999999999999	-0.0917599999999999	-0.0944599999999999	-0.0967199999999999
0.68	-0.04084	-0.07546	-0.0869999999999999	-0.0919199999999999	-0.0945399999999999	-0.0968399999999999
0.685	-0.0401400000000001	-0.0751400000000002	-0.0870200000000001	-0.0920800000000001	-0.0947400000000001	-0.0970000000000001
0.69	-0.0395000000000001	-0.0748600000000002	-0.0870400000000001	-0.0922000000000001	-0.0950200000000001	-0.0971000000000002
0.695	-0.03886	-0.0746800000000002	-0.0872000000000001	-0.0923200000000001	-0.0953400000000002	-0.0971600000000001
0.7	-0.0381600000000001	-0.0744600000000002	-0.0872800000000001	-0.0924600000000001	-0.0956400000000002	-0.0973200000000001
0.705	-0.0374200000000001	-0.0741200000000001	-0.0873200000000001	-0.0924800000000001	-0.0957000000000002	-0.0973800000000001
0.71	-0.0366999999999999	-0.0737799999999999	-0.0874599999999999	-0.0925199999999999	-0.0956199999999999	-0.0972999999999999
0.715	-0.03598	-0.0734999999999999	-0.0875599999999999	-0.0926999999999999	-0.0955799999999999	-0.09728
0.72	-0.0351800000000001	-0.0731600000000001	-0.0875600000000001	-0.0928200000000001	-0.0955200000000001	-0.0972600000000002
0.725	-0.0344000000000001	-0.0727200000000001	-0.0875400000000001	-0.0928400000000002	-0.0955000000000001	-0.0972200000000001
0.73	-0.0337800000000001	-0.0722800000000001	-0.0874800000000001	-0.0929400000000002	-0.0956600000000001	-0.0973000000000001
0.735	-0.0331600000000001	-0.0718200000000001	-0.0874400000000001	-0.0930200000000001	-0.0958200000000001	-0.0974400000000001
0.74	-0.0324400000000001	-0.0712800000000001	-0.0874000000000002	-0.0930000000000001	-0.0957800000000002	-0.0975200000000001
0.745	-0.03184	-0.07076	-0.08734	-0.09308	-0.09566	-0.0975199999999998
0.75	-0.03132	-0.07024	-0.0873199999999999	-0.09318	-0.0956599999999999	-0.0974799999999999
0.755	-0.0307	-0.06964	-0.0872799999999999	-0.0931999999999999	-0.09582	-0.09748
0.76	-0.03002	-0.069	-0.0871399999999999	-0.0931999999999999	-0.09598	-0.09738
0.765	-0.02936	-0.0682999999999999	-0.0869199999999999	-0.0931399999999999	-0.0960199999999999	-0.09724
0.77	-0.02872	-0.0675199999999999	-0.0867199999999999	-0.0930399999999999	-0.0959999999999998	-0.0972
0.775	-0.0280799999999999	-0.0667599999999999	-0.0865599999999999	-0.0930199999999998	-0.09592	-0.09706
0.78	-0.02744	-0.0660599999999999	-0.08638	-0.0929799999999998	-0.09564	-0.09694
0.785	-0.02688	-0.0653599999999999	-0.0861599999999999	-0.0928399999999998	-0.0952999999999999	-0.097
0.79	-0.0264	-0.0646199999999999	-0.0859399999999999	-0.0927399999999998	-0.09524	-0.0969
0.795	-0.02584	-0.0638199999999999	-0.0856999999999999	-0.0926599999999998	-0.09528	-0.09672
0.8	-0.0252	-0.06294	-0.0852799999999999	-0.0923399999999999	-0.0951199999999999	-0.09658
0.805	-0.0245599999999999	-0.06206	-0.0847999999999999	-0.09192	-0.0950599999999999	-0.0963799999999999
0.81	-0.02394	-0.06118	-0.0844599999999999	-0.0917600000000001	-0.0951	-0.0962199999999999
0.815	-0.02342	-0.06032	-0.08412	-0.0917000000000001	-0.0949999999999999	-0.0961999999999999
0.82	-0.0229800000000001	-0.0595200000000001	-0.0837400000000002	-0.0915400000000003	-0.0948	-0.0961600000000001
0.825	-0.0224800000000001	-0.0587000000000001	-0.0834600000000002	-0.0915400000000002	-0.0946800000000001	-0.0960200000000001
0.83	-0.0219800000000001	-0.0579600000000001	-0.0831800000000002	-0.0916400000000002	-0.0946200000000001	-0.0958400000000001
0.835	-0.02158	-0.0573200000000002	-0.0828200000000003	-0.0915200000000003	-0.0945000000000003	-0.0957000000000004
0.84	-0.0211400000000001	-0.0565000000000002	-0.0824800000000003	-0.0913000000000002	-0.0943200000000004	-0.0956000000000004
0.845	-0.02066	-0.05556	-0.08208	-0.0911000000000001	-0.0941400000000003	-0.0954000000000001
0.85	-0.02028	-0.05472	-0.08152	-0.0908400000000001	-0.0940600000000002	-0.0953400000000001
0.855	-0.01992	-0.0538	-0.0809600000000001	-0.0905400000000001	-0.0939000000000001	-0.0954200000000001
0.86	-0.01942	-0.0527999999999999	-0.08046	-0.0902799999999999	-0.09356	-0.0952599999999999
0.865	-0.0189	-0.0519	-0.0798999999999999	-0.09002	-0.09328	-0.09494
0.87	-0.0185	-0.0510399999999999	-0.0792999999999999	-0.08976	-0.09324	-0.09476
0.875	-0.01812	-0.0502199999999999	-0.07878	-0.0895199999999999	-0.09318	-0.09452
0.88	-0.01772	-0.04942	-0.0782799999999999	-0.0892799999999999	-0.09294	-0.09414
0.885	-0.0173	-0.04846	-0.0775799999999999	-0.0889399999999998	-0.0926999999999999	-0.0938399999999999
0.89	-0.01684	-0.0474999999999999	-0.0768399999999999	-0.0885399999999999	-0.0923999999999998	-0.0935999999999999
