vd	id_vg = 0.0V	ig_vg = 0.0V	is_vg = 0.0V	iavdd_vg = 0.0V	ignd_vg = 0.0V	id_vg = 0.15000000000000002V	ig_vg = 0.15000000000000002V	is_vg = 0.15000000000000002V	iavdd_vg = 0.15000000000000002V	ignd_vg = 0.15000000000000002V	id_vg = 0.30000000000000004V	ig_vg = 0.30000000000000004V	is_vg = 0.30000000000000004V	iavdd_vg = 0.30000000000000004V	ignd_vg = 0.30000000000000004V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6000000000000001V	ig_vg = 0.6000000000000001V	is_vg = 0.6000000000000001V	iavdd_vg = 0.6000000000000001V	ignd_vg = 0.6000000000000001V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0.68	-0.03082	-1.37068e-08	0.03085	3.1728e-07	-3.1578e-07	-0.023258	-6.0182e-09	0.023284	3.17e-07	-3.1542e-07	-0.010302	-2.7284e-09	0.010326	3.1658e-07	-3.1474e-07	-0.0012272	-1.2305e-09	0.0012274	3.1638e-07	-3.1422e-07	-1.7656000000000002e-05	-4.0309000000000005e-10	1.7604e-05	3.1626e-07	-3.141e-07	-1.3946e-07	-4.941000000000001e-11	1.3758e-07	3.163e-07	-3.1406e-07	-3.2875e-09	4.093e-11	1.0294e-09	3.1616e-07	-3.1394e-07
0.685	-0.030226	-1.3888999999999998e-08	0.030252	3.1716e-07	-3.157e-07	-0.022934	-6.0979e-09	0.022962	3.1702e-07	-3.1542e-07	-0.010258	-2.7425e-09	0.010286	3.1658e-07	-3.1472e-07	-0.0012246	-1.2351e-09	0.0012248	3.1628e-07	-3.1416e-07	-1.7602000000000002e-05	-4.0722e-10	1.756e-05	3.1618e-07	-3.1406e-07	-1.3896e-07	-4.035e-11	1.3698e-07	3.1614e-07	-3.14e-07	-3.2075e-09	3.9750000000000005e-11	1.0345e-09	3.1604e-07	-3.1396e-07
0.69	-0.02963	-1.4065999999999998e-08	0.02966	3.1702e-07	-3.1566e-07	-0.022608	-6.1683e-09	0.022632	3.1694e-07	-3.154e-07	-0.010212	-2.7586e-09	0.010236	3.1654e-07	-3.1476e-07	-0.001222	-1.2342e-09	0.0012228	3.1628e-07	-3.1422e-07	-1.7616000000000002e-05	-4.0808000000000005e-10	1.7602000000000002e-05	3.1606e-07	-3.1406e-07	-1.3918e-07	-4.741e-11	1.3636e-07	3.1612e-07	-3.1402e-07	-3.1025e-09	3.872e-11	1.0341e-09	3.1602e-07	-3.1388e-07
0.695	-0.029032	-1.4247e-08	0.029054	3.17e-07	-3.1566e-07	-0.022258	-6.2426e-09	0.022282	3.171e-07	-3.1566e-07	-0.010164	-2.7747e-09	0.010186	3.1642e-07	-3.1472e-07	-0.00122	-1.2394e-09	0.0012204	3.1612e-07	-3.142e-07	-1.7526e-05	-4.0694e-10	1.7594e-05	3.1592e-07	-3.1398e-07	-1.3888e-07	-5.5050000000000006e-11	1.3678e-07	3.16e-07	-3.1402e-07	-3.0153e-09	4.039e-11	1.0319e-09	3.1594e-07	-3.139e-07
0.7	-0.028424	-1.4431599999999998e-08	0.02845	3.1688e-07	-3.156e-07	-0.021902	-6.3292e-09	0.021926	3.167e-07	-3.1536e-07	-0.010112	-2.7871e-09	0.010136	3.1634e-07	-3.1474e-07	-0.0012174	-1.2439e-09	0.001218	3.1602e-07	-3.1418e-07	-1.758e-05	-4.127e-10	1.7512e-05	3.1588e-07	-3.1404e-07	-1.3894e-07	-4.487e-11	1.3654e-07	3.159e-07	-3.1402e-07	-2.9315e-09	3.719e-11	1.0244e-09	3.159e-07	-3.1398e-07
0.705	-0.027802	-1.4618e-08	0.027834	3.1682e-07	-3.155e-07	-0.021532	-6.4062e-09	0.02156	3.1666e-07	-3.1534e-07	-0.010054	-2.8075e-09	0.010076	3.1632e-07	-3.1478e-07	-0.001215	-1.2409e-09	0.0012156	3.1594e-07	-3.1418e-07	-1.7402e-05	-4.1138e-10	1.7488e-05	3.1582e-07	-3.1406e-07	-1.38e-07	-4.8270000000000005e-11	1.3606e-07	3.1576e-07	-3.1408e-07	-2.8727e-09	3.745e-11	1.0309e-09	3.158e-07	-3.139e-07
0.71	-0.02719	-1.48012e-08	0.027218	3.167e-07	-3.1554e-07	-0.02116	-6.4919e-09	0.021184	3.1642e-07	-3.1526e-07	-0.010019	-2.8251e-09	0.010014	3.1624e-07	-3.1472e-07	-0.0012122	-1.2491e-09	0.0012128	3.1588e-07	-3.1418e-07	-1.7474e-05	-4.1054e-10	1.7498e-05	3.1576e-07	-3.14e-07	-1.3768e-07	-5.4060000000000005e-11	1.362e-07	3.158e-07	-3.1402e-07	-2.8232e-09	3.5810000000000004e-11	1.0342e-09	3.1568e-07	-3.1396e-07
0.715	-0.026558	-1.4993799999999998e-08	0.026588	3.1664e-07	-3.1554e-07	-0.02077	-6.5712e-09	0.020794	3.1652e-07	-3.1524e-07	-0.0099512	-2.8393e-09	0.0099532	3.161e-07	-3.147e-07	-0.0012088	-1.2522e-09	0.0012104	3.1604e-07	-3.144e-07	-1.7472e-05	-4.1210000000000006e-10	1.7416e-05	3.1568e-07	-3.1398e-07	-1.3746e-07	-4.4670000000000006e-11	1.361e-07	3.1568e-07	-3.14e-07	-2.7359e-09	3.191e-11	1.0235e-09	3.1562e-07	-3.14e-07
0.72	-0.025932	-1.51864e-08	0.025958	3.165e-07	-3.1548e-07	-0.020372	-6.6585e-09	0.020394	3.1648e-07	-3.1518e-07	-0.0098778	-2.8687e-09	0.0098784	3.16e-07	-3.1464e-07	-0.001206	-1.252e-09	0.0012072	3.1572e-07	-3.1408e-07	-1.7454e-05	-4.1333e-10	1.7394e-05	3.1568e-07	-3.1408e-07	-1.37e-07	-5.004e-11	1.3542e-07	3.1562e-07	-3.1406e-07	-2.6518e-09	3.007e-11	1.0241e-09	3.1558e-07	-3.139e-07
0.725	-0.02529	-1.53852e-08	0.025316	3.1642e-07	-3.1536e-07	-0.019962	-6.7579e-09	0.01998	3.1632e-07	-3.1512e-07	-0.0097974	-2.8822e-09	0.0097994	3.16e-07	-3.1474e-07	-0.0012034	-1.2576e-09	0.0012036	3.1566e-07	-3.1408e-07	-1.741e-05	-4.1522e-10	1.7326e-05	3.1564e-07	-3.1412e-07	-1.3714e-07	-5.6900000000000005e-11	1.3572e-07	3.1558e-07	-3.1404e-07	-2.578e-09	2.8580000000000003e-11	1.028e-09	3.1552e-07	-3.1394e-07
0.73	-0.02465	-1.5604599999999998e-08	0.024672	3.164e-07	-3.1542e-07	-0.01954	-6.8419e-09	0.019568	3.1626e-07	-3.1516e-07	-0.0097116	-2.9116e-09	0.0097112	3.1588e-07	-3.1464e-07	-0.0012002	-1.263e-09	0.0012002	3.156e-07	-3.1424e-07	-1.7338e-05	-4.1703000000000006e-10	1.7318e-05	3.1552e-07	-3.14e-07	-1.3662e-07	-4.9000000000000005e-11	1.3532e-07	3.1546e-07	-3.14e-07	-2.5218e-09	2.7850000000000003e-11	1.0213e-09	3.1546e-07	-3.1402e-07
0.735	-0.023994	-1.58044e-08	0.024026	3.1638e-07	-3.1534e-07	-0.019104	-6.9453e-09	0.019132	3.1618e-07	-3.1512e-07	-0.0096176	-2.9334e-09	0.0096154	3.1588e-07	-3.1464e-07	-0.0011966	-1.2636e-09	0.0011972	3.1558e-07	-3.1408e-07	-1.734e-05	-4.1866e-10	1.7256000000000002e-05	3.1544e-07	-3.1394e-07	-1.3696e-07	-5.132e-11	1.3434e-07	3.1538e-07	-3.139e-07	-2.4719e-09	2.286e-11	1.0173e-09	3.1544e-07	-3.1394e-07
0.74	-0.023346	-1.60026e-08	0.023368	3.1628e-07	-3.1524e-07	-0.018666	-7.0321e-09	0.018696	3.1618e-07	-3.151e-07	-0.0095144	-2.9582e-09	0.0095166	3.1576e-07	-3.1458e-07	-0.0011936	-1.2705e-09	0.0011938	3.1552e-07	-3.1418e-07	-1.7302e-05	-4.1877e-10	1.7196e-05	3.1538e-07	-3.1406e-07	-1.356e-07	-5.429000000000001e-11	1.348e-07	3.1538e-07	-3.14e-07	-2.4142e-09	1.8950000000000003e-11	1.0270999999999999e-09	3.1536e-07	-3.14e-07
0.745	-0.022682	-1.6211399999999997e-08	0.022708	3.1622e-07	-3.153e-07	-0.018214	-7.1316e-09	0.01824	3.1614e-07	-3.151e-07	-0.0094014	-2.9866e-09	0.0094024	3.1568e-07	-3.1466e-07	-0.0011896	-1.2725e-09	0.0011898	3.1544e-07	-3.1416e-07	-1.7214e-05	-4.1957e-10	1.722e-05	3.1536e-07	-3.14e-07	-1.3618e-07	-4.879000000000001e-11	1.3416e-07	3.1534e-07	-3.1404e-07	-2.3558e-09	1.717e-11	1.025e-09	3.1526e-07	-3.14e-07
0.75	-0.022018	-1.64018e-08	0.022046	3.1616e-07	-3.1512e-07	-0.017756	-7.2344e-09	0.017782	3.1602e-07	-3.1506e-07	-0.009283	-3.0199e-09	0.009284	3.157e-07	-3.1458e-07	-0.0011852	-1.2766e-09	0.0011858	3.1538e-07	-3.142e-07	-1.7198e-05	-4.1982000000000006e-10	1.722e-05	3.154e-07	-3.1406e-07	-1.349e-07	-5.376e-11	1.343e-07	3.153e-07	-3.1402e-07	-2.2871e-09	2.4100000000000003e-11	1.0153e-09	3.152e-07	-3.1394e-07
0.755	-0.021356	-1.66156e-08	0.02138	3.1604e-07	-3.1514e-07	-0.017288	-7.3328e-09	0.017312	3.1592e-07	-3.1504e-07	-0.0091552	-3.0496e-09	0.0091538	3.1568e-07	-3.1458e-07	-0.0011806	-1.2818e-09	0.0011816	3.1532e-07	-3.1422e-07	-1.715e-05	-4.2198e-10	1.715e-05	3.1528e-07	-3.14e-07	-1.3508e-07	-5.82e-11	1.336e-07	3.152e-07	-3.1408e-07	-2.2179e-09	3.029e-11	1.0105e-09	3.1526e-07	-3.1394e-07
0.76	-0.020674	-1.68294e-08	0.0207	3.1592e-07	-3.1508e-07	-0.016804	-7.4377e-09	0.016826	3.1594e-07	-3.1504e-07	-0.0090138	-3.0809e-09	0.0090136	3.1556e-07	-3.146e-07	-0.0011764	-1.2865e-09	0.0011768	3.1528e-07	-3.1416e-07	-1.7122e-05	-4.2291e-10	1.7108e-05	3.152e-07	-3.14e-07	-1.3372e-07	-5.285e-11	1.3382e-07	3.1508e-07	-3.14e-07	-2.1632e-09	2.2720000000000003e-11	1.0155e-09	3.151e-07	-3.1396e-07
0.765	-0.019996	-1.7058399999999998e-08	0.020022	3.1596e-07	-3.151e-07	-0.016318	-7.54e-09	0.016346	3.1582e-07	-3.149e-07	-0.0088642	-3.1147e-09	0.008865	3.1556e-07	-3.1452e-07	-0.001171	-1.2938e-09	0.001172	3.152e-07	-3.1412e-07	-1.7058e-05	-4.2775000000000005e-10	1.7018000000000002e-05	3.152e-07	-3.14e-07	-1.335e-07	-5.379e-11	1.3358e-07	3.1518e-07	-3.1402e-07	-2.1218e-09	1.708e-11	1.0146e-09	3.1514e-07	-3.1392e-07
0.77	-0.019306	-1.7287599999999997e-08	0.019336	3.158e-07	-3.1506e-07	-0.015812	-7.6508e-09	0.015842	3.158e-07	-3.149e-07	-0.0087028	-3.155e-09	0.0087008	3.1544e-07	-3.1452e-07	-0.0011656	-1.299e-09	0.001166	3.1508e-07	-3.1406e-07	-1.7034e-05	-4.2949e-10	1.6962e-05	3.1514e-07	-3.1404e-07	-1.336e-07	-5.586e-11	1.321e-07	3.1504e-07	-3.14e-07	-2.0844e-09	1.3790000000000002e-11	1.0055e-09	3.151e-07	-3.1396e-07
0.775	-0.018622	-1.7508799999999997e-08	0.018644	3.1574e-07	-3.15e-07	-0.015306	-7.8168e-09	0.015334	3.1576e-07	-3.149e-07	-0.0085308	-3.1904e-09	0.0085318	3.1544e-07	-3.1452e-07	-0.0011592	-1.3057e-09	0.0011594	3.151e-07	-3.1442e-07	-1.698e-05	-4.2846e-10	1.692e-05	3.151e-07	-3.14e-07	-1.343e-07	-5.174000000000001e-11	1.3228e-07	3.1502e-07	-3.14e-07	-2.0293e-09	1.242e-11	1.013e-09	3.1498e-07	-3.1404e-07
0.78	-0.017928	-1.77386e-08	0.017948	3.1574e-07	-3.1502e-07	-0.01479	-7.9349e-09	0.014818	3.1558e-07	-3.1484e-07	-0.0083452	-3.2263e-09	0.0083468	3.1538e-07	-3.1458e-07	-0.0011526	-1.3106e-09	0.0011532	3.1536e-07	-3.1442e-07	-1.692e-05	-4.3127000000000005e-10	1.6842e-05	3.1502e-07	-3.1408e-07	-1.3362e-07	-5.5040000000000005e-11	1.3152e-07	3.1502e-07	-3.1408e-07	-1.9698e-09	1.841e-11	1.0046e-09	3.1502e-07	-3.139e-07
0.785	-0.017228	-1.79634e-08	0.017254	3.1564e-07	-3.1494e-07	-0.014268	-8.0498e-09	0.014292	3.1586e-07	-3.1508e-07	-0.0081514	-3.2678e-09	0.0081516	3.1536e-07	-3.145e-07	-0.0011446	-1.3189e-09	0.0011454	3.1498e-07	-3.144e-07	-1.6862000000000002e-05	-4.3535000000000005e-10	1.683e-05	3.1498e-07	-3.1406e-07	-1.33e-07	-5.927e-11	1.3152e-07	3.1486e-07	-3.14e-07	-1.9051e-09	1.7510000000000003e-11	1.0012e-09	3.1488e-07	-3.14e-07
0.79	-0.016526	-1.81994e-08	0.016548	3.1558e-07	-3.1498e-07	-0.013728	-8.1672e-09	0.013754	3.158e-07	-3.1478e-07	-0.007941	-3.3116e-09	0.0079422	3.152e-07	-3.1442e-07	-0.0011358	-1.326e-09	0.0011364	3.15e-07	-3.1418e-07	-1.6784e-05	-4.3399e-10	1.6756e-05	3.1488e-07	-3.14e-07	-1.3242e-07	-5.579e-11	1.315e-07	3.148e-07	-3.1398e-07	-1.8507e-09	1.458e-11	9.964e-10	3.1478e-07	-3.1392e-07
0.795	-0.015824	-1.84354e-08	0.015844	3.1554e-07	-3.1494e-07	-0.013188	-8.2894e-09	0.013212	3.1576e-07	-3.1506e-07	-0.0077226	-3.3574e-09	0.0077222	3.1516e-07	-3.1446e-07	-0.0011264	-1.3345e-09	0.0011266	3.1496e-07	-3.1412e-07	-1.6664000000000002e-05	-4.378e-10	1.6714e-05	3.1496e-07	-3.1404e-07	-1.3186e-07	-5.783e-11	1.309e-07	3.149e-07	-3.1398e-07	-1.8076e-09	8.72e-12	9.963e-10	3.1458e-07	-3.1388e-07
0.8	-0.0151	-1.86754e-08	0.015128	3.155e-07	-3.1482e-07	-0.012632	-8.4027e-09	0.012658	3.1538e-07	-3.1476e-07	-0.0074874	-3.4047e-09	0.007487	3.1514e-07	-3.1452e-07	-0.0011146	-1.3449e-09	0.001116	3.1488e-07	-3.1404e-07	-1.655e-05	-4.4147e-10	1.6608e-05	3.148e-07	-3.1398e-07	-1.312e-07	-5.968000000000001e-11	1.303e-07	3.148e-07	-3.1394e-07	-1.764e-09	1.2870000000000002e-11	9.898e-10	3.1478e-07	-3.1398e-07
0.805	-0.014392	-1.892e-08	0.014416	3.1538e-07	-3.1482e-07	-0.012076	-8.5246e-09	0.012102	3.153e-07	-3.1474e-07	-0.00724	-3.4498e-09	0.0072416	3.151e-07	-3.145e-07	-0.0011026	-1.3527e-09	0.0011032	3.1482e-07	-3.1414e-07	-1.6504e-05	-4.4367e-10	1.649e-05	3.147e-07	-3.14e-07	-1.3002e-07	-5.5670000000000007e-11	1.2942e-07	3.1476e-07	-3.1404e-07	-1.7219e-09	1.4510000000000002e-11	9.8647e-10	3.1468e-07	-3.1388e-07
0.81	-0.013662	-1.91592e-08	0.013692	3.154e-07	-3.148e-07	-0.0115	-8.6561e-09	0.01153	3.1526e-07	-3.1466e-07	-0.0069794	-3.5024e-09	0.006979	3.151e-07	-3.145e-07	-0.0010888	-1.3629e-09	0.0010886	3.1482e-07	-3.141e-07	-1.6338000000000002e-05	-4.488e-10	1.6402e-05	3.1472e-07	-3.1404e-07	-1.2792e-07	-5.966e-11	1.2804e-07	3.147e-07	-3.14e-07	-1.6906e-09	4.240000000000001e-12	9.766e-10	3.1456e-07	-3.1394e-07
0.815	-0.012948	-1.94106e-08	0.012968	3.153e-07	-3.1488e-07	-0.010932	-8.7816e-09	0.010954	3.1522e-07	-3.1472e-07	-0.0067082	-3.5511e-09	0.0067086	3.15e-07	-3.144e-07	-0.001072	-1.3751e-09	0.0010728	3.1486e-07	-3.1416e-07	-1.6218e-05	-4.5145e-10	1.626e-05	3.1468e-07	-3.1404e-07	-1.2656e-07	-6.078000000000001e-11	1.261e-07	3.1468e-07	-3.1394e-07	-1.6214e-09	1.035e-11	9.7006e-10	3.1464e-07	-3.14e-07
0.82	-0.012212	-1.96808e-08	0.012236	3.1526e-07	-3.1476e-07	-0.010342	-8.9196e-09	0.010366	3.1522e-07	-3.1466e-07	-0.006421	-3.6043e-09	0.006421	3.151e-07	-3.145e-07	-0.0010532	-1.3861e-09	0.0010538	3.1468e-07	-3.1414e-07	-1.6098e-05	-4.5286e-10	1.609e-05	3.1456e-07	-3.1404e-07	-1.248e-07	-6.464000000000001e-11	1.251e-07	3.1464e-07	-3.1406e-07	-1.5733e-09	9.180000000000002e-12	9.6711e-10	3.1458e-07	-3.1396e-07
0.825	-0.011486	-1.99404e-08	0.011514	3.153e-07	-3.1476e-07	-0.0097854	-9.0425e-09	0.0097842	3.1508e-07	-3.146e-07	-0.006122	-3.6607e-09	0.0061236	3.1496e-07	-3.1444e-07	-0.001032	-1.3989e-09	0.001032	3.1478e-07	-3.1414e-07	-1.5934e-05	-4.5837e-10	1.5862e-05	3.1464e-07	-3.14e-07	-1.2418e-07	-6.359000000000001e-11	1.2348e-07	3.1466e-07	-3.1408e-07	-1.5243e-09	7.26e-12	9.5781e-10	3.1446e-07	-3.1394e-07
0.83	-0.010748	-2.01944e-08	0.01077	3.1516e-07	-3.1476e-07	-0.0091816	-9.172e-09	0.0091802	3.1532e-07	-3.1492e-07	-0.0058056	-3.7178e-09	0.005809	3.1494e-07	-3.1442e-07	-0.0010066	-1.4136e-09	0.0010084	3.1474e-07	-3.1414e-07	-1.5698e-05	-4.6405e-10	1.5704e-05	3.1458e-07	-3.1408e-07	-1.226e-07	-4.673e-11	1.2202e-07	3.1452e-07	-3.139e-07	-1.5008e-09	9.17e-12	9.4387e-10	3.145e-07	-3.1396e-07
0.835	-0.010012	-2.04368e-08	0.010036	3.1512e-07	-3.1468e-07	-0.0085786	-9.2383e-09	0.0085802	3.1496e-07	-3.1466e-07	-0.0054842	-3.7769e-09	0.0054834	3.1486e-07	-3.1444e-07	-0.00097922	-1.4255e-09	0.00097958	3.146e-07	-3.141e-07	-1.5442000000000002e-05	-4.665200000000001e-10	1.5466e-05	3.145e-07	-3.1404e-07	-1.2092e-07	-8.792e-11	1.203e-07	3.1448e-07	-3.1398e-07	-1.4398e-09	6.880000000000001e-12	9.3638e-10	3.1444e-07	-3.1394e-07
