Dispositivi	SDLM grado 2	SDLM grado 4	SDLM grado 6	SDLM grado 8	TCM grado 2	TCM grado 4	TCM grado 6	TCM grado 8
N4-100-180	388.9	384.5	381.5	385.5	473.3	472.3	472.4	473.9
N4-100-30	275.1	267.6	259.5	267.2	367.6	370.0	370.6	369.7
N4-100-60	326.3	325.2	327.2	322.7	401.1	401.7	399.9	399.9
N4-200-180	392.0	382.6	378.9	385.0	463.2	463.2	463.5	463.9
N4-200-30	264.0	270.8	262.2	243.9	356.6	358.3	357.9	359.9
N4-200-60	331.8	326.5	325.4	324.6	396.4	398.5	398.3	398.7
N4-600-180	392.7	385.5	381.5	381.0	443.1	446.3	447.9	449.0
N4-600-60	317.9	300.2	276.0	301.4	366.0	367.2	364.4	363.2
