Vds	Vsg = 150	Vsg = 300	Vsg = 450	Vsg = 600	Vsg = 750	Vsg = 900
0.78	-0.0002417	-0.003486	-0.01056	-0.01518	-0.01802	-0.0212399999999999
0.775	-0.00023858	-0.003468	-0.01058	-0.0151199999999999	-0.0181	-0.02136
0.77	-0.00023564	-0.003442	-0.0106	-0.0151199999999999	-0.01826	-0.02154
0.765	-0.00023286	-0.003412	-0.01044	-0.01516	-0.01838	-0.0217
0.76	-0.00022978	-0.003396	-0.01036	-0.0152	-0.01838	-0.0217400000000001
0.755	-0.00022616	-0.00338	-0.0105	-0.0154	-0.0184799999999999	-0.0217200000000001
0.75	-0.00022262	-0.003336	-0.01052	-0.01552	-0.0186799999999999	-0.02188
0.745	-0.0002198	-0.00330399999999999	-0.01038	-0.01534	-0.0187	-0.02216
0.74	-0.00021692	-0.00329	-0.01038	-0.01526	-0.01868	-0.0222400000000001
0.735	-0.00021366	-0.003268	-0.0104	-0.01534	-0.0187800000000001	-0.02228
0.73	-0.00021092	-0.003244	-0.010116	-0.01524	-0.0187400000000001	-0.0225199999999999
0.725	-0.00020856	-0.00323	-0.00975199999999999	-0.01516	-0.01862	-0.0227
0.72	-0.00020602	-0.003214	-0.009668	-0.01532	-0.0187000000000001	-0.02272
0.715	-0.00020332	-0.00319	-0.00967199999999999	-0.01548	-0.0188	-0.02282
0.71	-0.00020084	-0.003174	-0.00965399999999999	-0.01556	-0.0188399999999999	-0.02304
0.705	-0.00019766	-0.00315400000000001	-0.00986400000000003	-0.01562	-0.01896	-0.02326
0.7	-0.00019378	-0.00313400000000001	-0.010204	-0.01564	-0.0190600000000001	-0.02344
0.695	-0.00019092	-0.00313400000000001	-0.010308	-0.01564	-0.01916	-0.02366
0.69	-0.00018884	-0.00312000000000001	-0.010266	-0.01562	-0.01932	-0.0239199999999999
0.685	-0.00018628	-0.003074	-0.010266	-0.01556	-0.0194	-0.0241
0.68	-0.00018356	-0.00304999999999999	-0.010266	-0.01554	-0.0194399999999999	-0.02426
0.675	-0.00018142	-0.00302599999999999	-0.010286	-0.01562	-0.0195199999999999	-0.0244400000000001
0.67	-0.00017918	-0.002974	-0.010316	-0.01568	-0.0194999999999998	-0.0246400000000001
0.665	-0.00017644	-0.002954	-0.010298	-0.01564	-0.0194599999999999	-0.0248600000000001
0.66	-0.0001743	-0.002954	-0.010276	-0.0156	-0.0196000000000001	-0.02504
0.655	-0.00017282	-0.002934	-0.010262	-0.01562	-0.0197200000000001	-0.02524
0.65	-0.00017044	-0.002918	-0.010202	-0.01564	-0.01972	-0.02558
0.645	-0.00016726	-0.002904	-0.010192	-0.01564	-0.01982	-0.026
0.64	-0.00016448	-0.002882	-0.01023	-0.01566	-0.01998	-0.02634
0.635	-0.00016176	-0.002866	-0.010212	-0.01576	-0.0200399999999999	-0.02656
