|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
0.735	0.0476399999999999	0.15306	0.21406	0.22752	0.2338	0.23756
0.74	0.0460399999999999	0.15	0.21398	0.22784	0.23422	0.23802
0.745	0.0443799999999999	0.14696	0.21378	0.22812	0.2345	0.23864
0.75	0.04286	0.14368	0.21338	0.22838	0.23466	0.23916
0.755	0.0414800000000001	0.14024	0.21304	0.22876	0.2349	0.23946
0.76	0.0401000000000001	0.137	0.21254	0.22914	0.2353	0.2399
0.765	0.0387600000000001	0.1336	0.21144	0.22914	0.23552	0.2402
0.77	0.0375600000000001	0.13004	0.21034	0.2291	0.23574	0.24026
0.775	0.0364	0.12676	0.20942	0.22932	0.2363	0.24042
0.78	0.0352799999999999	0.12354	0.20816	0.22938	0.2368	0.24072
0.785	0.03426	0.12012	0.20688	0.22936	0.23694	0.24098
0.79	0.0332	0.1169	0.20592	0.22968	0.23712	0.24124
0.795	0.0320799999999999	0.11394	0.20478	0.22994	0.2374	0.24158
0.8	0.0309599999999999	0.11082	0.20332	0.2299	0.2375	0.24186
0.805	0.0298400000000001	0.10758	0.20178	0.2299	0.2375	0.242
0.81	0.02884	0.10444	0.19998	0.22986	0.23762	0.24206
0.815	0.0280399999999999	0.1014	0.19792	0.22956	0.23794	0.2422
0.82	0.02726	0.09838	0.19576	0.22916	0.23812	0.24234
0.825	0.0265	0.0954200000000001	0.19356	0.22894	0.2381	0.2425
0.83	0.0258199999999999	0.0926000000000001	0.1912	0.22868	0.23818	0.24276
0.835	0.0250399999999999	0.0899400000000003	0.188780000000001	0.228400000000001	0.238280000000001	0.242920000000001
0.84	0.0241800000000001	0.0873000000000004	0.186380000000001	0.228340000000001	0.238240000000001	0.242880000000001
0.845	0.0234000000000001	0.0846200000000002	0.18374	0.22812	0.23826	0.24286
0.85	0.0227	0.08208	0.18074	0.2274	0.23816	0.24272
0.855	0.0221000000000001	0.0797200000000001	0.1778	0.22668	0.23786	0.24252
0.86	0.0215200000000001	0.0772599999999999	0.17484	0.22604	0.237719999999999	0.237119999999999
0.865	0.02094	0.0748199999999998	0.17172	0.22526	0.23778	0.21424
0.87	0.0204999999999999	0.0726399999999999	0.16876	0.22464	0.2377	0.17242
0.875	0.0199999999999999	0.0704799999999999	0.16584	0.224	0.22644	0.124
0.88	0.01926	0.0683199999999999	0.16264	0.22302	0.19242	0.07558
0.885	0.0185599999999999	0.0664399999999998	0.15926	0.22198	0.1457	0.0323600000000001
0.89	0.01802	0.0648599999999997	0.1562	0.22108	0.0979799999999999	0.00674000000000007
0.895	0.0171666666666667	0.0630333333333329	0.1527	0.219866666666667	0.0236	3.33333333333666e-05
0.9	0.0168000000000001	0.0621999999999997	0.150399999999999	0.2198	0.0002000000000002	0
