Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0.385	2.276e-05	0.001328	0.00776	0.0185400000000001	0.07254	0.1554
0.39	2.286e-05	0.001316	0.00768000000000001	0.01822	0.0695599999999998	0.15326
0.395	2.322e-05	0.001306	0.00772	0.01784	0.0667599999999998	0.1511
0.4	2.364e-05	0.001306	0.00769999999999999	0.0173399999999999	0.0640999999999997	0.14884
0.405	2.372e-05	0.00130000000000001	0.00761999999999998	0.0169199999999999	0.0616199999999998	0.14654
0.41	2.358e-05	0.00129200000000001	0.00761999999999998	0.0166399999999999	0.0593400000000002	0.14428
0.415	2.372e-05	0.001302	0.00763999999999998	0.0163800000000001	0.0571400000000003	0.14198
0.42	2.392e-05	0.001314	0.00755999999999998	0.0161600000000001	0.0549000000000003	0.13956
0.425	2.398e-05	0.001316	0.00748	0.0160200000000001	0.0526600000000002	0.13712
0.43	2.422e-05	0.001322	0.00752000000000002	0.0159400000000001	0.0505200000000001	0.13472
0.435	2.458e-05	0.00132	0.00754000000000002	0.0158	0.0484199999999998	0.13226
0.44	2.486e-05	0.001302	0.00752000000000002	0.0154999999999999	0.0463599999999996	0.1297
0.445	2.5e-05	0.001304	0.00754000000000001	0.0151599999999999	0.0444799999999998	0.1272
0.45	2.486e-05	0.001324	0.00755999999999997	0.0149199999999999	0.04274	0.12476
0.455	2.472e-05	0.001324	0.00749999999999997	0.0147399999999999	0.0410599999999999	0.12214
0.46	2.488e-05	0.001312	0.00738	0.0145	0.03952	0.1194
0.465	2.498e-05	0.001316	0.00726	0.0142799999999999	0.0381200000000003	0.11684
0.47	2.486e-05	0.001326	0.00719999999999999	0.0142199999999999	0.0367800000000001	0.11432
0.475	2.508e-05	0.001326	0.00720000000000001	0.01418	0.0354399999999998	0.11154
0.48	2.538e-05	0.001332	0.00718000000000002	0.014	0.03408	0.10878
0.485	2.532e-05	0.001346	0.00715999999999999	0.0138800000000001	0.0329	0.10622
0.49	2.546e-05	0.001344	0.00719999999999998	0.0138200000000001	0.0318599999999999	0.1036
0.495	2.576e-05	0.001326	0.00726	0.0136200000000001	0.0307800000000001	0.10084
0.5	2.558e-05	0.00132	0.00720000000000001	0.0134	0.0298400000000003	0.09818
0.505	2.54e-05	0.001324	0.00713999999999999	0.01326	0.0289800000000002	0.0956000000000001
0.51	2.564e-05	0.001324	0.00715999999999999	0.01322	0.0279400000000002	0.0929200000000002
0.515	2.56e-05	0.001332	0.00704000000000001	0.0132999999999999	0.02698	0.0902400000000001
0.52	2.52999999999999e-05	0.001336	0.00691999999999999	0.0133	0.0262799999999999	0.08754
0.525	2.55399999999999e-05	0.001334	0.00701999999999997	0.0132800000000001	0.0255599999999999	0.08474
0.53	2.6e-05	0.001348	0.00709999999999998	0.0133400000000001	0.0248999999999999	0.08204
0.535	2.596e-05	0.001364	0.00703999999999999	0.01322	0.02444	0.07956
0.54	2.588e-05	0.00136	0.00703999999999998	0.01294	0.0239000000000002	0.0770200000000001
0.545	2.63e-05	0.001364	0.00705999999999998	0.01272	0.0232400000000002	0.0745000000000001
0.55	2.65600000000001e-05	0.001366	0.00698000000000002	0.01252	0.0227000000000001	0.0721400000000002
0.555	2.65000000000001e-05	0.001334	0.00688000000000004	0.0123800000000001	0.02224	0.0697400000000005
0.56	2.67800000000001e-05	0.001326	0.00682000000000003	0.01232	0.0218599999999997	0.0673200000000004
