Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	-0.329596	0.3164	0.2767
20	-0.298283	0.3034	0.2765
30	-0.266449	0.3026	0.273
40	-0.236073	0.3095	0.2746
50	-0.207551	0.3001	0.2764
60	-0.179139	0.3072	0.2772
70	-0.151475	0.3096	0.273
80	-0.125026	0.3124	0.277
90	-0.098853	0.3146	0.276
100	-0.068254	0.3083	0.2752
150	0.042101	0.3129	0.2755
300	0.259715	0.3127	0.2753
450	0.342394	0.3034	0.2754
600	0.356647	0.329	0.2737
750	0.349907	0.3271	0.2732
900	0.336728	0.3131	0.2732
