Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	-0.18043	0.3411	0.3235
20	-0.156222	0.3482	0.326
30	-0.130491	0.3433	0.3232
40	-0.106612	0.3462	0.325
50	-0.082805	0.3454	0.3279
60	-0.0598	0.348	0.3281
70	-0.032693	0.3424	0.3243
80	-0.013778	0.3452	0.3235
90	0.005406	0.3433	0.3239
100	0.025878	0.3501	0.3229
150	0.122274	0.348	0.3261
300	0.312084	0.3431	0.3271
450	0.393572	0.3457	0.3257
600	0.412673	0.3592	0.3251
750	0.411433	0.3625	0.3257
900	0.404959	0.3598	0.3264
