Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	-0.047376	0.3765	0.3903
20	-0.020319	0.3843	0.3919
30	0.004084	0.3791	0.3878
40	0.028274	0.3825	0.3899
50	0.050803	0.3737	0.3916
60	0.076327	0.377	0.3885
70	0.098698	0.3802	0.3894
80	0.118167	0.3834	0.3906
90	0.137489	0.3822	0.3915
100	0.156668	0.3809	0.3916
150	0.24596	0.3832	0.3886
300	0.415123	0.3966	0.3887
450	0.477979	0.3937	0.3912
600	0.490441	0.3969	0.39
750	0.490228	0.3955	0.3924
900	0.488126	0.3967	0.3894
