Vds	Gds_Vgs=0.15V	Gds_Vgs=0.30V	Gds_Vgs=0.45V	Gds_Vgs=0.60V	Gds_Vgs=0.75V	Gds_Vgs=0.90V
0	5.9517e-09	-1.05657e-07	-1.3118e-07	-1.79026e-07	3.71808e-07	8.57984e-07
0.005	1.64808e-08	-1.04293e-07	-1.10463e-07	-1.3756e-07	3.0045e-07	7.818e-07
0.01	2.94962e-08	-9.978e-08	-8.1288e-08	-8.0765e-08	2.26656e-07	6.94264e-07
0.015	4.12282e-08	-9.1968e-08	-4.9843e-08	-2.0917e-08	1.85346e-07	6.3551e-07
0.02	3.50598e-08	-6.1555e-08	-2.2201e-08	2.8221e-08	1.56094e-07	5.8975e-07
0.025	7.7751e-09	-1.0819e-08	-4.368e-09	5.1271e-08	1.2975e-07	5.43844e-07
0.03	-9.387e-09	1.6721e-08	8.951e-09	6.0679e-08	1.22912e-07	5.14078e-07
0.035	-1.22643e-08	2.083e-08	2.192e-08	6.9637e-08	1.33556e-07	5.0515e-07
0.04	-1.43272e-08	2.3727e-08	3.3971e-08	7.597e-08	1.35278e-07	4.91836e-07
0.045	-1.59868e-08	1.7769e-08	4.5066e-08	7.8023e-08	1.1738e-07	4.57872e-07
0.05	-1.80601e-08	-2.4e-09	4.4478e-08	7.7162e-08	1.00868e-07	4.22222e-07
0.055	-2.05075e-08	-2.0587e-08	2.5598e-08	7.4261e-08	1.05278e-07	4.13436e-07
0.06	-2.26539e-08	-2.5327e-08	7.032e-09	6.8324e-08	1.15882e-07	4.17086e-07
0.065	-2.46827e-08	-2.4078e-08	1.337e-09	5.8698e-08	1.0856e-07	3.91202e-07
0.07	-2.65019e-08	-1.6008e-08	1.92e-10	4.642e-08	8.9336e-08	3.45132e-07
0.075	-2.66281e-08	5.359e-09	7.475e-09	3.3122e-08	8.3396e-08	3.26034e-07
0.08	-2.46928e-08	2.6182e-08	1.7909e-08	1.9125e-08	9.4708e-08	3.3237e-07
0.085	-2.17387e-08	2.9647e-08	1.1636e-08	4.467e-09	8.209e-08	3.24408e-07
0.09	-1.79709e-08	2.0898e-08	-1.755e-09	-8.834e-09	4.1288e-08	2.93452e-07
0.095	-1.3905e-08	1.504e-08	-1.202e-08	-1.78e-08	3.769e-08	2.69702e-07
0.1	-1.05207e-08	1.0932e-08	-2.3093e-08	-2.1872e-08	8.2377e-08	2.76114e-07
0.105	-7.5725e-09	3.19e-09	-2.1654e-08	-2.2302e-08	1.13053e-07	2.83252e-07
0.11	-4.468e-09	-6.53e-10	-4.036e-09	-1.9125e-08	1.14757e-07	2.55916e-07
0.115	-1.2318e-09	3.94e-10	8.061e-09	-1.1657e-08	1.20804e-07	2.21488e-07
0.12	2.4165e-09	3.88e-10	1.2353e-08	-5.07e-10	1.17858e-07	2.20898e-07
0.125	6.4399e-09	-6.1e-11	1.8172e-08	1.2161e-08	8.3694e-08	2.33798e-07
0.13	9.7952e-09	5.62e-10	2.1628e-08	2.4603e-08	3.7808e-08	2.19958e-07
0.135	1.25383e-08	1.046e-09	1.916e-08	3.6467e-08	1.0357e-08	1.87416e-07
0.14	1.539e-08	1.911e-09	1.4352e-08	4.7218e-08	2.096e-09	1.74852e-07
0.145	1.7911e-08	9.91e-10	1.1166e-08	5.5324e-08	-6.64e-10	1.86812e-07
