Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0.39	6.724e-05	0.003052	0.0134999999999999	0.0301999999999999	0.0961599999999999	0.17854
0.395	6.946e-05	0.003078	0.01338	0.02928	0.09352	0.1767
0.4	7.18200000000001e-05	0.003012	0.01304	0.0283	0.0907800000000002	0.17472
0.405	7.22800000000002e-05	0.002936	0.0128800000000001	0.0278599999999999	0.0881400000000003	0.17274
0.41	7.32800000000001e-05	0.00299	0.0128800000000001	0.0274	0.0855200000000003	0.1707
0.415	7.40800000000001e-05	0.00301	0.0132000000000001	0.02694	0.0828600000000001	0.16858
0.42	7.366e-05	0.002968	0.01362	0.027	0.08016	0.1665
0.425	7.12799999999999e-05	0.003056	0.0134399999999999	0.02698	0.0775599999999999	0.1644
0.43	6.99799999999998e-05	0.003154	0.0131599999999999	0.0264600000000001	0.0751399999999999	0.16224
0.435	7.30399999999998e-05	0.003116	0.01316	0.0261000000000001	0.0727199999999998	0.16002
0.44	7.48999999999999e-05	0.0031	0.01314	0.0258	0.07026	0.1577
0.445	7.22e-05	0.00315	0.01342	0.0251399999999999	0.0680400000000001	0.15538
0.45	7.186e-05	0.003134	0.0138800000000001	0.0245799999999999	0.06596	0.15306
0.455	7.43800000000001e-05	0.00305800000000001	0.0139600000000001	0.0243399999999999	0.06382	0.15072
0.46	7.27000000000002e-05	0.003002	0.01388	0.02416	0.0618200000000002	0.14166
0.465	7.10400000000002e-05	0.00298	0.0137	0.0239400000000001	0.0598400000000001	0.1189
0.47	7.46200000000001e-05	0.00300200000000001	0.01324	0.0236200000000001	0.0577000000000001	0.0890400000000001
0.475	7.83000000000001e-05	0.00308800000000001	0.013	0.0232200000000002	0.0556400000000001	0.0593000000000001
0.48	8e-05	0.003174	0.01308	0.0229200000000001	0.0537599999999999	0.03006
0.485	8.17199999999999e-05	0.00322799999999999	0.01312	0.0227	0.0519599999999997	0.00810000000000004
0.49	8.228e-05	0.00328	0.0131	0.02254	0.0502999999999998	0.000320000000000042
0.495	7.842e-05	0.00326399999999999	0.01302	0.0224999999999999	0.0487999999999999	0
0.5	7.656e-05	0.00315399999999999	0.0129	0.0222999999999999	0.04752	4.000000000004e-05
0.505	7.948e-05	0.00311799999999999	0.01294	0.0219199999999999	0.04638	8.00000000000799e-05
0.51	7.88599999999999e-05	0.003178	0.01292	0.0217399999999999	0.04526	4.000000000004e-05
0.515	7.85199999999999e-05	0.003224	0.0127	0.0215999999999999	0.04428	0
0.52	8.15799999999999e-05	0.00326399999999999	0.01272	0.02146	0.0431199999999999	2.000000000002e-05
0.525	7.93199999999998e-05	0.003264	0.0128	0.02146	0.04162	0
0.53	7.37599999999998e-05	0.003212	0.0126200000000001	0.02148	0.04018	-4.000000000004e-05
0.535	7.696e-05	0.003196	0.01262	0.02142	0.0389	-2.000000000002e-05
0.54	8.424e-05	0.003216	0.01278	0.0212000000000001	0.0378399999999999	0
0.545	8.76399999999999e-05	0.003234	0.01276	0.02086	0.0373599999999999	0
0.55	9.08000000000001e-05	0.00328000000000001	0.01282	0.0208600000000001	0.0371399999999999	2.00000000000202e-05
0.555	9.43000000000004e-05	0.00334600000000002	0.0128400000000001	0.0210200000000001	0.03646	4.00000000000402e-05
0.56	9.43000000000003e-05	0.00335200000000002	0.0127000000000001	0.02076	0.0356600000000001	2.00000000000202e-05
0.565	9.05000000000003e-05	0.00326800000000001	0.01266	0.0203799999999999	0.0351000000000003	-2.00000000000198e-05
0.57	8.82000000000003e-05	0.00321600000000001	0.01262	0.02028	0.0340600000000003	-8.00000000000797e-05
0.575	8.91200000000001e-05	0.00327000000000001	0.01244	0.0202399999999999	0.0328600000000003	-8.00000000000799e-05
0.58	9.24199999999999e-05	0.003292	0.01236	0.02016	0.0325600000000002	-2.000000000002e-05
0.585	9.82799999999999e-05	0.00328999999999999	0.0124799999999999	0.0203400000000001	0.0323000000000002	-2.000000000002e-05
0.59	0.00010306	0.003374	0.0126799999999999	0.0205000000000001	0.0315200000000001	-6.7762635780344e-21
0.595	0.0001053	0.00342	0.01276	0.0203400000000001	0.0311599999999999	8.00000000000799e-05
0.6	0.00010702	0.003392	0.01266	0.0201200000000001	0.0308999999999999	8.00000000000799e-05
0.605	0.00010698	0.0034	0.01266	0.01986	0.03032	0
0.61	0.00010438	0.00341	0.01268	0.0194999999999999	0.0300799999999999	0
0.615	0.00010164	0.003422	0.0125800000000001	0.0194199999999999	0.02996	4.000000000004e-05
0.62	0.00010078	0.00344999999999999	0.0123800000000001	0.0194599999999999	0.0297000000000001	0
0.625	0.00010062	0.00337199999999999	0.01222	0.01928	0.0293799999999999	-8.00000000000799e-05
0.63	9.97599999999999e-05	0.00330399999999999	0.01234	0.01914	0.0286999999999997	-8.00000000000799e-05
0.635	9.856e-05	0.00338799999999999	0.0123	0.0189400000000001	0.0277999999999997	-2.000000000002e-05
0.64	9.85599999999999e-05	0.00345	0.0121	0.01852	0.0270399999999998	-4.000000000004e-05
0.645	0.00010094	0.00342	0.01234	0.0184599999999999	0.0266199999999998	-6.000000000006e-05
0.65	0.0001047	0.003452	0.01246	0.0187599999999999	0.02666	2.000000000002e-05
0.655	0.00010646	0.00353400000000001	0.01208	0.01894	0.0268200000000002	6.000000000006e-05
0.66	0.00010542	0.00352400000000001	0.01212	0.01926	0.0268800000000001	0
0.665	0.00010516	0.003476	0.01232	0.01954	0.0268799999999999	-2.000000000002e-05
0.67	0.00010644	0.003494	0.0121999999999999	0.0194	0.0265199999999999	0
0.675	0.00010602	0.00356800000000001	0.01252	0.01916	0.0257599999999998	-2.000000000002e-05
0.68	0.00010498	0.00358800000000001	0.0128	0.0189399999999999	0.0251999999999999	-6.00000000000602e-05
0.685	0.00010752	0.00354800000000001	0.0125800000000001	0.0185399999999999	0.02498	-8.00000000000802e-05
0.69	0.00011176	0.00356200000000001	0.0125000000000001	0.0183400000000001	0.0248000000000001	-6.00000000000602e-05
0.695	0.00011306	0.00361600000000001	0.0124000000000001	0.0182600000000001	0.0248000000000002	-2.00000000000202e-05
0.7	0.0001132	0.003648	0.0121200000000001	0.0178	0.0248400000000003	2.00000000000198e-05
0.705	0.0001142	0.00365	0.0122	0.01762	0.0247400000000003	6.000000000006e-05
0.71	0.00011384	0.00364	0.01238	0.0180600000000001	0.0247200000000001	0.0001000000000001
0.715	0.00011512	0.003664	0.01238	0.01866	0.0247	0.0001000000000001
