Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0.455	1.181e-11	-1.2126e-09	-4.26e-12	4.8698e-07	-4.858e-07	-7.5283e-10	-3.9372e-10	-5.22e-12	4.9036e-07	-4.8944e-07	-1.0535e-09	-3.331e-11	5.07e-12	4.9202e-07	-4.9096e-07	-1.1513e-09	1.0206e-10	-7.8e-13	4.9324e-07	-4.9228e-07	-1.2646e-09	2.5535e-10	2e-13	4.944e-07	-4.9338e-07	-1.6439e-09	6.7188e-10	-1.39e-12	4.9512e-07	-4.9402e-07	-3.1195e-09	2.1873e-09	-1.5e-12	4.9528e-07	-4.9448e-07
0.46	8.54e-11	-1.2518e-09	-6.6e-13	4.872e-07	-4.8612e-07	-6.9667e-10	-4.0707e-10	2.64e-12	4.905e-07	-4.893e-07	-1.0028e-09	-3.763e-11	-7.85e-12	4.922e-07	-4.9102e-07	-1.1076e-09	1.0048e-10	-8.2e-13	4.9334e-07	-4.9244e-07	-1.2143e-09	2.5084e-10	5.5e-13	4.9418e-07	-4.9348e-07	-1.5785e-09	6.4753e-10	-2.13e-12	4.9482e-07	-4.9398e-07	-2.9997e-09	2.1051e-09	3.13e-12	4.9546e-07	-4.9446e-07
0.465	1.6699e-10	-1.2864e-09	-3.6e-13	4.871e-07	-4.8608e-07	-6.3232e-10	-4.2359e-10	-3.59e-12	4.9038e-07	-4.893e-07	-9.6299e-10	-4.467e-11	-5.83e-12	4.9224e-07	-4.9122e-07	-1.064e-09	9.808e-11	1.59e-12	4.935e-07	-4.9234e-07	-1.1729e-09	2.435e-10	1.42e-12	4.9436e-07	-4.935e-07	-1.5147e-09	6.2584e-10	-2.75e-12	4.9482e-07	-4.939e-07	-2.8792e-09	2.0268e-09	-1.89e-12	4.9544e-07	-4.945e-07
0.47	2.4158e-10	-1.3204e-09	-4.03e-12	4.8732e-07	-4.8626e-07	-5.7887e-10	-4.4118e-10	-2.34e-12	4.9068e-07	-4.8956e-07	-9.1216e-10	-5.23e-11	5.71e-12	4.9214e-07	-4.9128e-07	-1.0155e-09	9.793e-11	-4.87e-12	4.9358e-07	-4.9262e-07	-1.1152e-09	2.3671e-10	8.2e-13	4.9432e-07	-4.9348e-07	-1.4452e-09	6.0598e-10	7e-13	4.9496e-07	-4.9406e-07	-2.7582e-09	1.9512e-09	6.9e-13	4.9544e-07	-4.9468e-07
0.475	3.1692e-10	-1.3602e-09	2.75e-12	4.8728e-07	-4.8596e-07	-5.2052e-10	-4.5677e-10	3.39e-12	4.9026e-07	-4.8936e-07	-8.6298e-10	-5.756e-11	-6.22e-12	4.9196e-07	-4.911e-07	-9.7533e-10	9.486e-11	1.95e-12	4.9332e-07	-4.926e-07	-1.0704e-09	2.307e-10	2.62e-12	4.9412e-07	-4.936e-07	-1.3866e-09	5.8451e-10	-4.8e-12	4.9504e-07	-4.9414e-07	-2.6376e-09	1.8789e-09	-2.78e-12	4.9546e-07	-4.9444e-07
0.48	4.0058e-10	-1.3972e-09	-5.12e-12	4.8698e-07	-4.862e-07	-4.5704e-10	-4.7233e-10	-7.62e-12	4.9038e-07	-4.8936e-07	-8.1e-10	-6.328e-11	4.47e-12	4.92e-07	-4.9104e-07	-9.2587e-10	9.357e-11	1.85e-12	4.934e-07	-4.9234e-07	-1.0214e-09	2.2638e-10	4.8e-13	4.9446e-07	-4.9354e-07	-1.3232e-09	5.636e-10	1.8e-12	4.9474e-07	-4.9408e-07	-2.5244e-09	1.81e-09	-5.4e-13	4.9552e-07	-4.9454e-07
0.485	4.7969e-10	-1.4387e-09	5.65e-12	4.8702e-07	-4.861e-07	-3.9317e-10	-4.913e-10	7.85e-12	4.9038e-07	-4.895e-07	-7.6468e-10	-6.833e-11	-3.94e-12	4.9198e-07	-4.912e-07	-8.8233e-10	9.28e-11	-5.1e-13	4.9352e-07	-4.9264e-07	-9.7031e-10	2.2487e-10	-3.46e-12	4.9442e-07	-4.9344e-07	-1.2579e-09	5.4807e-10	-4.6e-12	4.9508e-07	-4.9404e-07	-2.4207e-09	1.7436e-09	-2.17e-12	4.9532e-07	-4.9456e-07
0.49	5.6604e-10	-1.4784e-09	-5.17e-12	4.871e-07	-4.8614e-07	-3.3111e-10	-5.0549e-10	-6.47e-12	4.9034e-07	-4.8944e-07	-7.1492e-10	-7.656e-11	-6.1e-13	4.9204e-07	-4.9114e-07	-8.4005e-10	8.772e-11	7.8e-13	4.932e-07	-4.9248e-07	-9.2615e-10	2.1889e-10	3.94e-12	4.9412e-07	-4.935e-07	-1.201e-09	5.2949e-10	2.5e-12	4.945e-07	-4.941e-07	-2.3098e-09	1.6786e-09	-5.1e-13	4.9546e-07	-4.9484e-07
0.495	6.5292e-10	-1.5207e-09	6.79e-12	4.8698e-07	-4.861e-07	-2.7525e-10	-5.2572e-10	1.07e-12	4.9044e-07	-4.8952e-07	-6.5744e-10	-8.181e-11	1.77e-12	4.9192e-07	-4.9114e-07	-7.9359e-10	8.829e-11	7e-14	4.9324e-07	-4.9262e-07	-8.8108e-10	2.142e-10	-1.72e-12	4.9426e-07	-4.9354e-07	-1.1366e-09	5.1363e-10	-3.1e-12	4.947e-07	-4.942e-07	-2.197e-09	1.6182e-09	-1.71e-12	4.9538e-07	-4.948e-07
0.5	7.3419e-10	-1.5654e-09	-3.59e-12	4.8708e-07	-4.8628e-07	-2.0988e-10	-5.4398e-10	-2.99e-12	4.9026e-07	-4.895e-07	-6.1345e-10	-8.587e-11	-5.95e-12	4.9186e-07	-4.9116e-07	-7.4886e-10	8.613e-11	-3.3e-13	4.9334e-07	-4.925e-07	-8.242e-10	2.1025e-10	4.3e-13	4.94e-07	-4.9334e-07	-1.078e-09	4.9954e-10	-2.37e-12	4.9466e-07	-4.9406e-07	-2.0922e-09	1.5532e-09	1.79e-12	4.952e-07	-4.9466e-07
0.505	8.2238e-10	-1.6066e-09	1.95e-12	4.871e-07	-4.8628e-07	-1.4885e-10	-5.6473e-10	-3e-13	4.9018e-07	-4.8966e-07	-5.572e-10	-9.64e-11	2.88e-12	4.9212e-07	-4.912e-07	-7.0315e-10	8.352e-11	-9.5e-13	4.9332e-07	-4.9256e-07	-7.8017e-10	2.0419e-10	3.4e-12	4.94e-07	-4.935e-07	-1.0157e-09	4.8227e-10	4.73e-12	4.9474e-07	-4.9408e-07	-1.9885e-09	1.4962e-09	-3.53e-12	4.9524e-07	-4.9472e-07
0.51	9.045e-10	-1.6531e-09	6.3e-13	4.8714e-07	-4.8656e-07	-8.429e-11	-5.8738e-10	2.5e-12	4.905e-07	-4.8952e-07	-5.1128e-10	-1.0174e-10	-6.39e-12	4.9198e-07	-4.9148e-07	-6.5374e-10	8.139e-11	-1.05e-12	4.9306e-07	-4.9276e-07	-7.3777e-10	2.0103e-10	-1.96e-12	4.943e-07	-4.9376e-07	-9.6137e-10	4.6619e-10	-3.23e-12	4.946e-07	-4.9412e-07	-1.8821e-09	1.4381e-09	5.93e-12	4.954e-07	-4.9478e-07
0.515	9.965e-10	-1.6959e-09	-4.57e-12	4.871e-07	-4.8654e-07	-2.083e-11	-6.0427e-10	-5.55e-12	4.9048e-07	-4.8964e-07	-4.5479e-10	-1.0959e-10	2.27e-12	4.9196e-07	-4.9134e-07	-6.0523e-10	8.15e-11	-2.39e-12	4.9324e-07	-4.9252e-07	-6.9039e-10	1.9483e-10	5.83e-12	4.9394e-07	-4.9348e-07	-9.0456e-10	4.5178e-10	-2.19e-12	4.9454e-07	-4.941e-07	-1.7933e-09	1.3845e-09	-3.87e-12	4.9526e-07	-4.9472e-07
0.52	1.0854e-09	-1.7436e-09	2.47e-12	4.8708e-07	-4.864e-07	4.418e-11	-6.2964e-10	6.2e-12	4.9026e-07	-4.8984e-07	-4.0437e-10	-1.1706e-10	-5.15e-12	4.9192e-07	-4.9162e-07	-5.7057e-10	8.018e-11	8.3e-13	4.9318e-07	-4.9256e-07	-6.4179e-10	1.9115e-10	-4.06e-12	4.942e-07	-4.936e-07	-8.4356e-10	4.3835e-10	2.72e-12	4.9454e-07	-4.942e-07	-1.6984e-09	1.3311e-09	4.37e-12	4.9506e-07	-4.9492e-07
