vd	id_vg = 0.0V	ig_vg = 0.0V	is_vg = 0.0V	iavdd_vg = 0.0V	ignd_vg = 0.0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0.615	4.676e-09	-9.7735e-10	-4.6e-12	3.2026e-07	-3.239e-07	4.1691e-09	-4.3448e-10	2.39e-12	3.1902e-07	-3.2276e-07	3.9754e-09	-1.6223e-10	-4.41e-12	3.1894e-07	-3.2246e-07	3.9203e-09	-3.645e-11	-2.3e-13	3.1888e-07	-3.2272e-07	3.8284e-09	-2.54e-12	1.73e-12	3.1896e-07	-3.2272e-07	3.7436e-09	2.308e-11	6.72e-12	3.2018e-07	-3.2386e-07	3.523e-09	1.6371e-10	-7.64e-12	3.2014e-07	-3.2384e-07
0.62	4.7891e-09	-1.00009e-09	8.64e-12	3.2022e-07	-3.2406e-07	4.2215e-09	-4.5001e-10	1e-12	3.1898e-07	-3.2268e-07	4.0491e-09	-1.703e-10	-9.83e-12	3.1892e-07	-3.2276e-07	3.943e-09	-4.625e-11	-2.064e-11	3.189e-07	-3.2276e-07	3.9275e-09	-5.71e-12	-8.59e-12	3.1892e-07	-3.2274e-07	3.8348e-09	2.442e-11	1.08e-12	3.2026e-07	-3.241e-07	3.6287e-09	1.5832e-10	1.99e-12	3.202e-07	-3.2392e-07
0.625	4.8764e-09	-1.02196e-09	-2.08e-12	3.2028e-07	-3.2412e-07	4.3439e-09	-4.6006e-10	-5.14e-12	3.1896e-07	-3.229e-07	4.1424e-09	-1.7951e-10	6.09e-12	3.1896e-07	-3.2288e-07	4.0541e-09	-5.151e-11	-3.397e-11	3.1824e-07	-3.2222e-07	3.9294e-09	2.53e-12	-1.1e-13	3.188e-07	-3.2284e-07	3.82e-09	2.033e-11	-1.92e-12	3.202e-07	-3.2408e-07	3.6509e-09	1.4198e-10	5.02e-12	3.201e-07	-3.2394e-07
0.63	4.9784e-09	-1.04625e-09	-6.24e-12	3.2022e-07	-3.2412e-07	4.3901e-09	-4.7514e-10	1.82e-12	3.1906e-07	-3.2296e-07	4.1382e-09	-1.8139e-10	3.51e-12	3.189e-07	-3.2296e-07	4.1812e-09	-4.34e-11	-1.028e-11	3.1892e-07	-3.2286e-07	4.0978e-09	-3.47e-12	1.166e-11	3.1892e-07	-3.2296e-07	3.9704e-09	1.859e-11	-2.3e-13	3.2024e-07	-3.2418e-07	3.8045e-09	1.3822e-10	-5.86e-12	3.2012e-07	-3.2398e-07
0.635	5.1416e-09	-1.07184e-09	6.37e-12	3.2026e-07	-3.243e-07	4.439e-09	-4.8504e-10	-4.98e-12	3.1836e-07	-3.2234e-07	4.3412e-09	-1.8706e-10	-5.73e-12	3.1842e-07	-3.23e-07	4.2581e-09	-6.09e-11	2.56e-11	3.189e-07	-3.231e-07	4.1217e-09	-4.14e-12	6.59e-12	3.1896e-07	-3.2302e-07	4.1235e-09	1.793e-11	1.03e-12	3.2028e-07	-3.243e-07	3.9128e-09	1.3006e-10	-1.87e-12	3.2008e-07	-3.2412e-07
0.64	5.2902e-09	-1.09277e-09	1.23e-12	3.2024e-07	-3.2462e-07	4.6638e-09	-5.0267e-10	-6.85e-12	3.1894e-07	-3.2304e-07	4.4253e-09	-1.9213e-10	1.205e-11	3.189e-07	-3.2308e-07	4.3426e-09	-4.677e-11	1.412e-11	3.1896e-07	-3.2316e-07	4.2165e-09	-2.46e-12	-1.53e-12	3.189e-07	-3.2314e-07	4.1063e-09	1.705e-11	2.69e-12	3.2016e-07	-3.243e-07	3.9838e-09	1.1718e-10	1.108e-11	3.2022e-07	-3.2434e-07
0.645	5.3439e-09	-1.12037e-09	-3.27e-12	3.2016e-07	-3.2448e-07	4.643e-09	-5.1314e-10	7.69e-12	3.1898e-07	-3.2316e-07	4.4794e-09	-2.0455e-10	5.79e-12	3.1906e-07	-3.2326e-07	4.4134e-09	-6.262e-11	8.25e-12	3.1896e-07	-3.2326e-07	4.3628e-09	-6.28e-12	-9.56e-12	3.1894e-07	-3.2328e-07	4.2647e-09	1.573e-11	-6.87e-12	3.2018e-07	-3.2446e-07	4.0017e-09	1.1389e-10	-2.5e-12	3.1888e-07	-3.2302e-07
0.65	5.4798e-09	-1.1419e-09	-1.12e-11	3.202e-07	-3.2454e-07	4.7471e-09	-5.2522e-10	1.24e-12	3.19e-07	-3.2322e-07	4.5598e-09	-2.0569e-10	-1.214e-11	3.1892e-07	-3.2314e-07	4.4939e-09	-6.937e-11	1.9e-13	3.1898e-07	-3.2352e-07	4.4005e-09	-5.42e-12	1.19e-12	3.1896e-07	-3.232e-07	4.3801e-09	1.28e-11	4.26e-12	3.2026e-07	-3.2462e-07	4.1525e-09	1.0848e-10	-5.45e-12	3.1886e-07	-3.2308e-07
0.655	5.4232e-09	-1.1694e-09	7.52e-12	3.2026e-07	-3.2474e-07	4.9294e-09	-5.4306e-10	-3.47e-12	3.1816e-07	-3.2252e-07	4.6339e-09	-2.1128e-10	-7.65e-12	3.1894e-07	-3.2332e-07	4.6239e-09	-5.671e-11	-2.29e-11	3.1884e-07	-3.2352e-07	4.4693e-09	-1.053e-11	-2.2e-12	3.1892e-07	-3.2334e-07	4.4449e-09	1.546e-11	3.84e-12	3.202e-07	-3.246e-07	4.2633e-09	9.638e-11	4.07e-12	3.1812e-07	-3.2252e-07
0.66	5.6756e-09	-1.2004e-09	4.69e-12	3.202e-07	-3.2474e-07	5.0474e-09	-5.5705e-10	2.78e-12	3.1896e-07	-3.2328e-07	4.7604e-09	-2.2481e-10	6.06e-12	3.1898e-07	-3.2334e-07	4.7696e-09	-6.803e-11	-3.96e-12	3.1898e-07	-3.2358e-07	4.4792e-09	-3.52e-12	-1.03e-11	3.1902e-07	-3.2362e-07	4.5294e-09	1.103e-11	-8.94e-12	3.204e-07	-3.2488e-07	4.3947e-09	9.204e-11	5.2e-13	3.1888e-07	-3.2332e-07
