Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0.305	1.48599999999999e-07	1.116e-05	0.000426000000000007	0.00431999999999998	0.0390200000000001	0.11058
0.31	1.44e-07	1.154e-05	0.000420000000000008	0.00415999999999999	0.0370799999999999	0.10814
0.315	1.48600000000001e-07	1.196e-05	0.000427999999999999	0.00390000000000001	0.0351399999999999	0.10578
0.32	1.424e-07	1.24e-05	0.000435999999999995	0.00366	0.0333199999999998	0.10338
0.325	1.36e-07	1.29400000000001e-05	0.000438	0.00347999999999999	0.0315999999999999	0.10094
0.33	1.42e-07	1.23200000000001e-05	0.000440000000000002	0.00328	0.02982	0.0986200000000001
0.335	1.434e-07	1.148e-05	0.000436	0.00308	0.0281200000000001	0.0963000000000002
0.34	1.46400000000001e-07	1.22199999999999e-05	0.000422000000000001	0.00302000000000001	0.0265400000000001	0.0938800000000001
0.345	1.61400000000001e-07	1.26999999999999e-05	0.000422000000000001	0.00300000000000004	0.0250000000000001	0.0915200000000001
0.35	1.58000000000002e-07	1.20399999999999e-05	0.000419999999999996	0.00284000000000003	0.0235200000000001	0.08916
0.355	1.41400000000001e-07	1.20199999999999e-05	0.000401999999999989	0.00266000000000001	0.02216	0.0866799999999999
0.36	1.42e-07	1.15999999999999e-05	0.000401999999999989	0.0026	0.0208799999999998	0.0841799999999999
0.365	1.42799999999999e-07	1.00400000000001e-05	0.000419999999999995	0.00255999999999999	0.0196399999999998	0.0817199999999999
0.37	1.35799999999999e-07	9.54000000000004e-06	0.000408000000000001	0.00251999999999999	0.0184599999999998	0.0792199999999999
0.375	1.51599999999999e-07	1.07200000000001e-05	0.000390000000000004	0.00251999999999999	0.0173599999999999	0.07676
0.38	1.70599999999999e-07	1.17800000000001e-05	0.000390000000000008	0.00249999999999998	0.01638	0.07442
0.385	1.61199999999999e-07	1.184e-05	0.000368000000000009	0.00243999999999999	0.0154000000000001	0.07208
0.39	1.488e-07	1.204e-05	0.000354000000000001	0.00234000000000001	0.01442	0.0696999999999998
0.395	1.416e-07	1.224e-05	0.000373999999999995	0.00224000000000002	0.01358	0.0674399999999999
0.4	1.246e-07	1.156e-05	0.000391999999999997	0.00218000000000001	0.01278	0.0651600000000001
0.405	1.184e-07	1.10000000000001e-05	0.000399999999999997	0.00214000000000001	0.01198	0.0628
0.41	1.332e-07	1.13400000000002e-05	0.000409999999999999	0.0021	0.0114	0.0605600000000001
