|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
0.455	0.0853359999999999	0.11336	0.133816	0.1523	0.16872	0.1837
0.46	0.0888099999999999	0.117436	0.138082	0.15648	0.17282	0.18752
0.465	0.0921699999999999	0.121194	0.142434	0.16052	0.17674	0.19114
0.47	0.0954919999999999	0.125078	0.146762	0.16452	0.18058	0.19474
0.475	0.0987639999999999	0.12909	0.15088	0.1686	0.18442	0.19824
0.48	0.101908	0.133	0.1548	0.17246	0.18796	0.20152
0.485	0.104962	0.13707	0.15854	0.17604	0.19134	0.20488
0.49	0.107776	0.141284	0.16226	0.17968	0.1948	0.2083
0.495	0.110186	0.14514	0.16604	0.18326	0.198	0.2113
0.5	0.112524	0.1487	0.16968	0.18656	0.20108	0.21414
0.505	0.114962	0.15218	0.17312	0.18992	0.20438	0.21714
0.51	0.117192	0.15552	0.17652	0.19342	0.20758	0.21992
0.515	0.119292	0.15878	0.17992	0.19666	0.21044	0.22246
0.52	0.121508	0.16188	0.18304	0.1996	0.21328	0.22508
0.525	0.1234	0.16484	0.18594	0.20258	0.21612	0.22776
0.53	0.12474	0.16782	0.18902	0.20552	0.21874	0.23032
0.535	0.1259	0.17068	0.1921	0.20814	0.22122	0.23276
0.54	0.12686	0.17332	0.19484	0.21056	0.22376	0.23514
0.545	0.12752	0.17592	0.19744	0.21308	0.22622	0.23744
0.55	0.12804	0.17852	0.20018	0.21566	0.22838	0.2395
0.555	0.12834	0.18096	0.20282	0.21806	0.23052	0.24142
0.56	0.1284	0.18314	0.20512	0.2204	0.2327	0.24334
0.565	0.12832	0.18506	0.20732	0.2227	0.23472	0.24506
0.57	0.12792	0.18692	0.20964	0.2248	0.23668	0.24674
0.575	0.12712	0.18868	0.21178	0.22676	0.23864	0.24846
0.58	0.12618	0.19026	0.21366	0.2287	0.24052	0.25006
0.585	0.12514	0.1918	0.21562	0.23064	0.2423	0.25176
0.59	0.12388	0.19326	0.21752	0.23254	0.24394	0.2535
0.595	0.12244	0.19462	0.2193	0.23438	0.24564	0.25498
0.6	0.12088	0.19582	0.22106	0.23614	0.24748	0.2565
0.605	0.11924	0.19674	0.22268	0.23776	0.249	0.2581
0.61	0.11736	0.19754	0.22422	0.23918	0.2503	0.25926
0.615	0.11526	0.19838	0.22574	0.24054	0.25182	0.26032
0.62	0.1132	0.19892	0.22696	0.2419	0.25312	0.26162
0.625	0.11104	0.19916	0.22798	0.24324	0.25408	0.26274
0.63	0.10852	0.19928	0.22894	0.24438	0.25502	0.26342
0.635	0.10592	0.19922	0.22986	0.24536	0.256	0.2643
0.64	0.1034	0.19896	0.23076	0.24642	0.25692	0.26546
0.645	0.10074	0.1986	0.2316	0.2475	0.25784	0.26628
0.65	0.0980999999999999	0.19826	0.23254	0.24844	0.25894	0.26696
0.655	0.0956799999999999	0.19788	0.23358	0.24946	0.26008	0.26792
0.66	0.0931599999999999	0.19712	0.23438	0.25062	0.26098	0.26884
0.665	0.0904999999999999	0.19606	0.23498	0.25156	0.26188	0.26952
0.67	0.08796	0.19508	0.23564	0.25232	0.26284	0.27034
0.675	0.08546	0.19382	0.23614	0.253	0.26354	0.2711
0.68	0.0828999999999999	0.1922	0.23634	0.2536	0.26422	0.27166
0.685	0.0804000000000001	0.19062	0.2364	0.25418	0.26488	0.27214
0.69	0.07798	0.18896	0.2366	0.25474	0.26534	0.27262
0.695	0.0754999999999999	0.18696	0.2368	0.25518	0.265780000000001	0.273120000000001
0.7	0.07304	0.18488	0.2368	0.25556	0.266200000000001	0.273600000000001
0.705	0.07072	0.18274	0.23684	0.256	0.266600000000001	0.27412
0.71	0.0685399999999999	0.18038	0.23686	0.2564	0.26722	0.27462
0.715	0.06634	0.17772	0.2364	0.2565	0.26756	0.27466
0.72	0.0641400000000002	0.1748	0.23576	0.25656	0.26764	0.274560000000001
0.725	0.0620200000000001	0.17182	0.235060000000001	0.25682	0.2679	0.27478
0.73	0.0599200000000001	0.16878	0.234280000000001	0.25704	0.26808	0.27496
0.735	0.0579000000000001	0.16564	0.23362	0.25698	0.26804	0.275040000000001
0.74	0.0560200000000001	0.16258	0.23306	0.25702	0.268160000000001	0.27546
0.745	0.05422	0.15962	0.23254	0.2573	0.26858	0.27594
0.75	0.05246	0.1564	0.23186	0.2574	0.26904	0.27612
0.755	0.0507399999999999	0.15296	0.23086	0.2573	0.26938	0.27628
0.76	0.0490199999999999	0.14958	0.22968	0.25716	0.26958	0.26414
0.765	0.0473399999999998	0.14616	0.22846	0.257	0.26976	0.226
0.77	0.0457599999999999	0.14264	0.22676	0.25672	0.26972	0.17248
0.775	0.04428	0.13924	0.2249	0.25648	0.26942	0.11726
0.78	0.0428400000000001	0.13596	0.22338	0.25618	0.26488	0.0619799999999999
0.785	0.04142	0.13262	0.22166	0.25582	0.24286	0.0189399999999999
0.79	0.04016	0.1292	0.21946	0.2555	0.19824	0.00182000000000001
0.795	0.0390399999999999	0.12574	0.21734	0.25498	0.14434	2.000000000002e-05
0.8	0.0377799999999999	0.1222	0.21524	0.25396	0.0905199999999997	-8.00000000000799e-05
