|Vgs|	Gm_|Vds|=0.01V	Gm_|Vds|=0.02V	Gm_|Vds|=0.03V	Gm_|Vds|=0.04V	Gm_|Vds|=0.05V	Gm_|Vds|=0.06V	Gm_|Vds|=0.07V	Gm_|Vds|=0.08V	Gm_|Vds|=0.09V	Gm_|Vds|=0.1V
-0.16	-7.75999999999999e-09	-1.3292e-08	-1.7614e-08	-2.08092e-08	-2.38178e-08	-2.64719e-08	-2.2437e-08	1.4576e-09	2.53379e-08	3.45003e-08
-0.155	-8.65599999999999e-09	-1.5132e-08	-2.0016e-08	-2.36604e-08	-2.71003e-08	-2.85141e-08	-1.29069e-08	1.49398e-08	3.50055e-08	3.93384e-08
-0.15	-9.82399999999999e-09	-1.705e-08	-2.2652e-08	-2.70087e-08	-3.0793e-08	-2.45662e-08	1.2134e-09	2.94729e-08	4.15119e-08	4.47306e-08
-0.145	-1.132e-08	-1.9293e-08	-2.56791e-08	-3.0875e-08	-3.24303e-08	-1.21575e-08	1.73994e-08	4.20266e-08	4.70945e-08	5.04759e-08
-0.14	-1.2889e-08	-2.1862e-08	-2.91129e-08	-3.49521e-08	-2.64796e-08	4.9096e-09	3.51687e-08	5.04549e-08	5.34728e-08	5.71598e-08
-0.135	-1.4612e-08	-2.4742e-08	-3.30116e-08	-3.66819e-08	-1.15567e-08	2.40151e-08	5.05107e-08	5.72189e-08	6.05956999999999e-08	6.48131999999999e-08
-0.13	-1.668e-08	-2.811e-08	-3.74277e-08	-2.99919e-08	8.31149999999999e-09	4.41372e-08	6.06072e-08	6.48187999999999e-08	6.85996999999999e-08	7.31820999999999e-08
-0.125	-1.8984e-08	-3.19942e-08	-4.13441e-08	-1.30742e-08	3.07961e-08	6.08987e-08	6.88509999999999e-08	7.36283999999999e-08	7.78245999999999e-08	8.28429999999999e-08
-0.12	-2.1415e-08	-3.63626e-08	-3.79123e-08	9.41369999999999e-09	5.35645e-08	7.21659999999999e-08	7.81121999999999e-08	8.36299999999999e-08	8.82959999999999e-08	9.41249999999999e-08
-0.115	-2.4129e-08	-4.13351e-08	-2.1563e-08	3.48129e-08	7.16120999999999e-08	8.18214999999999e-08	8.85809999999999e-08	9.48485999999999e-08	1.00239e-07	1.06654e-07
-0.11	-2.73010000000001e-08	-4.63896000000001e-08	2.60600000000017e-09	6.08451000000002e-08	8.41935000000002e-08	9.29542000000002e-08	1.006212e-07	1.07629e-07	1.14061e-07	1.20769e-07
-0.105	-3.10130000000001e-08	-4.39420000000001e-08	2.99528000000002e-08	8.15923000000001e-08	9.55668000000002e-08	1.055882e-07	1.14329e-07	1.22162e-07	1.29659e-07	1.37131e-07
-0.1	-3.52117e-08	-2.65563000000001e-08	5.98381000000001e-08	9.58479000000001e-08	1.084568e-07	1.19676e-07	1.29778e-07	1.38514e-07	1.47131e-07	1.5573e-07
-0.095	-3.99954e-08	1.34499999999878e-10	8.59004000000001e-08	1.087143e-07	1.232817e-07	1.3573e-07	1.47295e-07	1.5715e-07	1.67212e-07	1.76772e-07
-0.09	-4.55795e-08	3.03703999999998e-08	1.031379e-07	1.233282e-07	1.40156e-07	1.5422e-07	1.67147e-07	1.78444e-07	1.8996e-07	2.00711e-07
-0.085	-5.15460999999999e-08	6.40755999999999e-08	1.170506e-07	1.40061e-07	1.59162e-07	1.75121e-07	1.89647e-07	2.02525e-07	2.15245e-07	2.27888e-07
-0.08	-4.9348e-08	9.41589999999999e-08	1.328949e-07	1.59149e-07	1.80695e-07	1.98794e-07	2.15248e-07	2.30009e-07	2.44102e-07	2.58686e-07
-0.075	-3.03999e-08	1.137535e-07	1.51058e-07	1.8069e-07	2.05389e-07	2.25917e-07	2.44454e-07	2.61575e-07	2.77387e-07	2.93682e-07
-0.07	-9.55200000000002e-10	1.290971e-07	1.71558e-07	2.05092e-07	2.33445e-07	2.56781e-07	2.77918e-07	2.97379e-07	3.15151e-07	3.33587e-07
-0.0649999999999999	3.25008e-08	1.465887e-07	1.94816e-07	2.32924e-07	2.65001e-07	2.91578e-07	3.15923e-07	3.37599e-07	3.57827e-07	3.78864e-07
-0.0599999999999999	7.01500999999999e-08	1.66452e-07	2.21557e-07	2.64642e-07	3.00704e-07	3.3092e-07	3.58789e-07	3.83218e-07	4.06448e-07	4.30121e-07
-0.0549999999999999	1.04085e-07	1.89326e-07	2.51772e-07	3.00666e-07	3.41365e-07	3.75864e-07	4.07342e-07	4.3528e-07	4.61664e-07	4.88106e-07
