Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.15V	Ig,Vd=0.15V	Is,Vd=0.15V	Iavdd,Vd=0.15V	Ignd,Vd=0.15V	Id,Vd=0.3V	Ig,Vd=0.3V	Is,Vd=0.3V	Iavdd,Vd=0.3V	Ignd,Vd=0.3V	Id,Vd=0.45V	Ig,Vd=0.45V	Is,Vd=0.45V	Iavdd,Vd=0.45V	Ignd,Vd=0.45V	Id,Vd=0.6V	Ig,Vd=0.6V	Is,Vd=0.6V	Iavdd,Vd=0.6V	Ignd,Vd=0.6V	Id,Vd=0.75V	Ig,Vd=0.75V	Is,Vd=0.75V	Iavdd,Vd=0.75V	Ignd,Vd=0.75V	Id,Vd=0.9V	Ig,Vd=0.9V	Is,Vd=0.9V	Iavdd,Vd=0.9V	Ignd,Vd=0.9V
-0.22	3.071e-11	-4.54e-11	6.22e-12	3.123e-07	-3.123e-07	2.1673e-09	-9.722e-11	-2.0781e-09	3.1228e-07	-3.1214e-07	5.5673e-09	-2.2034e-10	-5.3426e-09	3.121e-07	-3.1212e-07	1.25256e-08	-4.4802e-10	-1.2133e-08	3.122e-07	-3.1224e-07	2.77064e-08	-8.4079e-10	-2.6771e-08	3.1252e-07	-3.126e-07	6.1442e-08	-1.4417e-09	-5.97768e-08	3.128e-07	-3.129e-07	1.3422e-07	-2.2978e-09	-1.3198e-07	3.1304e-07	-3.1322e-07
-0.215	3.423e-11	-3.652e-11	-8.4e-13	3.1232e-07	-3.123e-07	2.433e-09	-9.068e-11	-2.3394e-09	3.1204e-07	-3.1212e-07	6.2154e-09	-2.1258e-10	-5.9465e-09	3.1224e-07	-3.1214e-07	1.39498e-08	-4.3392e-10	-1.35694e-08	3.1216e-07	-3.1208e-07	3.07202e-08	-8.2061e-10	-2.99206e-08	3.1256e-07	-3.124e-07	6.71216e-08	-1.4194e-09	-6.59844e-08	3.1296e-07	-3.1268e-07	1.4852e-07	-2.2623e-09	-1.4512e-07	3.1322e-07	-3.1324e-07
-0.21	3.928e-11	-4.131e-11	-4.74e-12	3.1238e-07	-3.123e-07	2.7408e-09	-8.757e-11	-2.6514e-09	3.1204e-07	-3.1206e-07	6.9679e-09	-2.0263e-10	-6.7218e-09	3.1222e-07	-3.1206e-07	1.5526e-08	-4.2179e-10	-1.5139e-08	3.1234e-07	-3.1238e-07	3.39048e-08	-8.0193e-10	-3.33372e-08	3.1246e-07	-3.1258e-07	7.43836e-08	-1.3844e-09	-7.3189e-08	3.1292e-07	-3.128e-07	1.61e-07	-2.2167e-09	-1.5844e-07	3.132e-07	-3.1296e-07
-0.205	3.946e-11	-3.789e-11	-6.22e-12	3.1224e-07	-3.122e-07	3.0851e-09	-7.949e-11	-3.0068e-09	3.121e-07	-3.1208e-07	7.7981e-09	-1.9928e-10	-7.5956e-09	3.1226e-07	-3.1222e-07	1.7462e-08	-4.1062e-10	-1.6987e-08	3.122e-07	-3.122e-07	3.7961e-08	-7.8231e-10	-3.72072e-08	3.1242e-07	-3.1262e-07	8.20714e-08	-1.3633e-09	-8.08286e-08	3.1288e-07	-3.1286e-07	1.7764e-07	-2.1788e-09	-1.7448e-07	3.1306e-07	-3.1302e-07
-0.2	4.301e-11	-3.642e-11	-1.152e-11	3.124e-07	-3.1224e-07	3.4804e-09	-8.076e-11	-3.3977e-09	3.121e-07	-3.1208e-07	8.7688e-09	-1.9256e-10	-8.5519e-09	3.1228e-07	-3.1226e-07	1.93368e-08	-4.0076e-10	-1.89316e-08	3.122e-07	-3.1224e-07	4.2067e-08	-7.6713e-10	-4.13676e-08	3.126e-07	-3.1244e-07	9.02588e-08	-1.3322e-09	-8.9015e-08	3.1272e-07	-3.1268e-07	1.9532e-07	-2.1448e-09	-1.9234e-07	3.1316e-07	-3.13e-07
-0.195	4.717e-11	-3.185e-11	-2.194e-11	3.1252e-07	-3.1236e-07	3.9282e-09	-8.028e-11	-3.8562e-09	3.1206e-07	-3.1202e-07	9.8173e-09	-1.871e-10	-9.6543e-09	3.1232e-07	-3.1232e-07	2.17134e-08	-3.8949e-10	-2.1696e-08	3.122e-07	-3.1218e-07	4.67876e-08	-7.4866e-10	-4.58144e-08	3.1238e-07	-3.1256e-07	9.9818e-08	-1.3082e-09	-9.78192e-08	3.127e-07	-3.1268e-07	2.1458e-07	-2.1081e-09	-2.127e-07	3.1318e-07	-3.1296e-07
-0.19	5.602e-11	-3.256e-11	-2.485e-11	3.125e-07	-3.1224e-07	4.4492e-09	-7.423e-11	-4.3762e-09	3.1214e-07	-3.1202e-07	1.10978e-08	-1.7377e-10	-1.08976e-08	3.1224e-07	-3.1202e-07	2.42918e-08	-3.818e-10	-2.40308e-08	3.122e-07	-3.123e-07	5.24146e-08	-7.3246e-10	-5.11072e-08	3.1258e-07	-3.1248e-07	1.11353e-07	-1.2804e-09	-1.102786e-07	3.1286e-07	-3.127e-07	2.3788e-07	-2.0785e-09	-2.3322e-07	3.1304e-07	-3.1312e-07
-0.185	5.413e-11	-3.189e-11	-3.322e-11	3.1232e-07	-3.1224e-07	5.0278e-09	-7.139e-11	-4.9603e-09	3.1208e-07	-3.1198e-07	1.24106e-08	-1.7399e-10	-1.22848e-08	3.1216e-07	-3.122e-07	2.71684e-08	-3.6975e-10	-2.69276e-08	3.1224e-07	-3.1236e-07	5.77324e-08	-7.169e-10	-5.70228e-08	3.1238e-07	-3.1226e-07	1.2288e-07	-1.2588e-09	-1.2146e-07	3.1264e-07	-3.1266e-07	2.57e-07	-2.0398e-09	-2.555e-07	3.13e-07	-3.1302e-07
-0.18	6.054e-11	-2.302e-11	-4.671e-11	3.1234e-07	-3.1226e-07	5.719e-09	-6.791e-11	-5.6338e-09	3.121e-07	-3.1202e-07	1.39886e-08	-1.6141e-10	-1.38076e-08	3.1208e-07	-3.1208e-07	3.0374e-08	-3.6275e-10	-3.00226e-08	3.1214e-07	-3.1214e-07	6.46104e-08	-6.9918e-10	-6.3721e-08	3.1262e-07	-3.1238e-07	1.3598e-07	-1.2368e-09	-1.3508e-07	3.1268e-07	-3.1268e-07	2.8666e-07	-2.0018e-09	-2.8754e-07	3.1314e-07	-3.129e-07
-0.175	7.455e-11	-2.834e-11	-5.037e-11	3.1248e-07	-3.1242e-07	6.4554e-09	-6.812e-11	-6.3887e-09	3.1206e-07	-3.1198e-07	1.58172e-08	-1.5685e-10	-1.55728e-08	3.1224e-07	-3.1198e-07	3.42448e-08	-3.5257e-10	-3.37172e-08	3.1228e-07	-3.123e-07	7.19746e-08	-6.8124e-10	-7.14688e-08	3.1262e-07	-3.1256e-07	1.5098e-07	-1.2106e-09	-1.4966e-07	3.128e-07	-3.1272e-07	3.172e-07	-1.9674e-09	-3.1474e-07	3.1306e-07	-3.1296e-07
