vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
0.5	-0.00055718	-3.816e-11	0.00055684	9.7334e-07	-8.8536e-07	-0.00047904	-6.261e-11	0.00047916	9.4832e-07	-8.9288e-07	-0.00040902	-7.782e-11	0.00040928	9.3074e-07	-8.9674e-07	-0.00034452	-8.265e-11	0.00034488	9.1936e-07	-9.002e-07	-0.00028498	-8.964e-11	0.00028514	9.1e-07	-9.0184e-07	-0.00022538	-1.0293e-10	0.00022556	9.0466e-07	-9.0306e-07	-3.7377e-06	-1.2991e-10	3.7353e-06	9.0092e-07	-9.0442e-07
0.495	-0.00062246	-4.407e-11	0.0006225	9.74e-07	-8.857e-07	-0.00053652	-6.948e-11	0.000537	9.4798e-07	-8.9306e-07	-0.0004592	-8.834e-11	0.00045974	9.307e-07	-8.967e-07	-0.0003884	-9.499e-11	0.00038876	9.192e-07	-8.999e-07	-0.00032192	-9.637e-11	0.0003219	9.1002e-07	-9.0166e-07	-0.00025534	-1.1009e-10	0.0002552	9.046e-07	-9.0328e-07	-4e-06	-1.4061e-10	4.0881e-06	9.0138e-07	-9.0494e-07
0.49	-0.00069284	-5.603e-11	0.00069244	9.7366e-07	-8.854e-07	-0.00059916	-7.53e-11	0.00059928	9.4804e-07	-8.9292e-07	-0.00051406	-9.312e-11	0.00051438	9.3084e-07	-8.9674e-07	-0.00043554	-9.861e-11	0.000436	9.1936e-07	-9.0018e-07	-0.00036214	-1.044e-10	0.00036212	9.0996e-07	-9.0142e-07	-0.00028738	-1.1412e-10	0.00028742	9.0466e-07	-9.0314e-07	-4.4781e-06	-1.4594e-10	4.379e-06	9.0128e-07	-9.0448e-07
0.485	-0.00076968	-6.457e-11	0.00076984	9.7394e-07	-8.8568e-07	-0.00066788	-8.246e-11	0.00066836	9.4824e-07	-8.9302e-07	-0.00057492	-1.0021e-10	0.00057538	9.3068e-07	-8.9664e-07	-0.00048858	-1.0625e-10	0.000489	9.191e-07	-8.9986e-07	-0.00040706	-1.0889e-10	0.00040718	9.1016e-07	-9.0132e-07	-0.00032388	-1.1919e-10	0.00032414	9.0456e-07	-9.0324e-07	-4.8537e-06	-1.5687e-10	4.8726e-06	9.0122e-07	-9.0452e-07
0.48	-0.00085308	-7.491e-11	0.00085354	9.74e-07	-8.8548e-07	-0.00074218	-9.298e-11	0.00074198	9.4824e-07	-8.9308e-07	-0.00064004	-1.0495e-10	0.0006406	9.3088e-07	-8.9674e-07	-0.0005458	-1.1323e-10	0.00054584	9.194e-07	-8.9992e-07	-0.00045568	-1.1342e-10	0.0004561	9.1e-07	-9.0156e-07	-0.00036346	-1.2646e-10	0.00036352	9.046e-07	-9.033e-07	-5.3123e-06	-1.6551e-10	5.2284e-06	9.013e-07	-9.0468e-07
0.475	-0.00094446	-8.386e-11	0.00094444	9.7376e-07	-8.8582e-07	-0.00082354	-1.1574e-10	0.0008235	9.4858e-07	-8.9314e-07	-0.00071278	-1.0647e-10	0.0007123	9.306e-07	-8.9678e-07	-0.00060898	-1.1447e-10	0.00060944	9.189e-07	-8.9962e-07	-0.00051008	-1.2089e-10	0.00051014	9.104e-07	-9.0174e-07	-0.00040736	-1.3439e-10	0.00040752	9.0482e-07	-9.0336e-07	-5.7498e-06	-1.7115e-10	5.7869e-06	9.0094e-07	-9.0462e-07
0.47	-0.0010415	-8.799e-11	0.00104126	9.7418e-07	-8.8584e-07	-0.00091072	-1.1901e-10	0.00091028	9.4814e-07	-8.9306e-07	-0.00079014	-1.1429e-10	0.00079062	9.3072e-07	-8.9726e-07	-0.00067724	-1.2211e-10	0.0006773	9.1908e-07	-8.9986e-07	-0.00056878	-1.2609e-10	0.00056864	9.102e-07	-9.0202e-07	-0.00045522	-1.4281e-10	0.00045514	9.0472e-07	-9.0336e-07	-6.2184e-06	-1.8233e-10	6.2666e-06	9.0128e-07	-9.0482e-07
0.465	-0.00114738	-9.177e-11	0.00114828	9.744e-07	-8.8634e-07	-0.00100616	-1.1304e-10	0.00100608	9.4832e-07	-8.9334e-07	-0.00087542	-1.2351e-10	0.00087532	9.3084e-07	-8.9688e-07	-0.00075276	-1.3037e-10	0.00075254	9.1942e-07	-9.0008e-07	-0.00063328	-1.3466e-10	0.00063386	9.1028e-07	-9.019e-07	-0.0005083	-1.5291e-10	0.00050822	9.0472e-07	-9.0326e-07	-6.7389e-06	-1.8875e-10	6.7294e-06	9.0128e-07	-9.0488e-07
0.46	-0.0012594	-1.019e-10	0.0012598	9.7456e-07	-8.8622e-07	-0.00110684	-1.1847e-10	0.00110648	9.4862e-07	-8.9344e-07	-0.00096606	-1.3164e-10	0.0009656	9.3124e-07	-8.9694e-07	-0.00083254	-1.3748e-10	0.0008329	9.196e-07	-9.0042e-07	-0.00070288	-1.4453e-10	0.00070368	9.1014e-07	-9.019e-07	-0.00056504	-1.5783e-10	0.00056496	9.0476e-07	-9.0336e-07	-7.2746e-06	-1.9516e-10	7.1813e-06	9.0112e-07	-9.0448e-07
0.455	-0.0013806	-1.0933e-10	0.001381	9.746e-07	-8.8652e-07	-0.0012176	-1.2915e-10	0.0012176	9.4846e-07	-8.936e-07	-0.00106448	-1.4132e-10	0.00106464	9.3114e-07	-8.9748e-07	-0.00092048	-1.4727e-10	0.00092046	9.195e-07	-9.0024e-07	-0.00077932	-1.508e-10	0.00077996	9.1036e-07	-9.0204e-07	-0.00062774	-1.6328e-10	0.0006281	9.0456e-07	-9.0306e-07	-7.9469e-06	-2.0427e-10	7.9218e-06	9.0128e-07	-9.0468e-07
0.45	-0.0015078	-1.1618e-10	0.001508	9.7474e-07	-8.8712e-07	-0.001333	-1.3552e-10	0.0013338	9.4884e-07	-8.938e-07	-0.001169	-1.4497e-10	0.0011704	9.3102e-07	-8.9734e-07	-0.00101338	-1.535e-10	0.0010137	9.1954e-07	-9.0036e-07	-0.00086132	-1.5657e-10	0.00086166	9.1042e-07	-9.0194e-07	-0.0006947	-1.6907e-10	0.00069466	9.0442e-07	-9.0316e-07	-8.4288e-06	-2.0825e-10	8.5224e-06	9.0096e-07	-9.0424e-07
0.445	-0.0016448	-1.2214e-10	0.0016464	9.7492e-07	-8.8714e-07	-0.001459	-1.4199e-10	0.0014598	9.485e-07	-8.9336e-07	-0.0012832	-1.5101e-10	0.0012836	9.3126e-07	-8.9734e-07	-0.00111506	-1.5835e-10	0.001115	9.1966e-07	-9.005e-07	-0.00094994	-1.6128e-10	0.0009507	9.1036e-07	-9.0188e-07	-0.000768	-1.7344e-10	0.00076804	9.0456e-07	-9.0334e-07	-9.1088e-06	-2.1691e-10	9.1442e-06	9.0112e-07	-9.0472e-07
0.44	-0.00179	-1.3071e-10	0.0017904	9.7504e-07	-8.8698e-07	-0.0015914	-1.4891e-10	0.001592	9.4916e-07	-8.9408e-07	-0.0014026	-1.6284e-10	0.0014036	9.3136e-07	-8.975e-07	-0.0012226	-1.6046e-10	0.0012226	9.196e-07	-9.006e-07	-0.00104378	-1.6794e-10	0.0010439	9.1046e-07	-9.022e-07	-0.00084616	-1.8165e-10	0.00084652	9.0478e-07	-9.0372e-07	-9.6431e-06	-2.2467e-10	9.8435e-06	9.011e-07	-9.0446e-07
0.435	-0.0019448	-1.4258e-10	0.0019448	9.7514e-07	-8.8696e-07	-0.0017328	-1.5393e-10	0.001734	9.4944e-07	-8.9426e-07	-0.0015326	-1.6569e-10	0.001533	9.3138e-07	-8.978e-07	-0.0013382	-1.7336e-10	0.0013388	9.1954e-07	-9.0018e-07	-0.00114694	-1.7385e-10	0.00114682	9.1056e-07	-9.0224e-07	-0.00093122	-1.9261e-10	0.00093132	9.051e-07	-9.0348e-07	-1.04544e-05	-2.2962e-10	1.0447e-05	9.0134e-07	-9.0476e-07
0.43	-0.0021056	-1.4993e-10	0.0021054	9.7592e-07	-8.8762e-07	-0.0018812	-1.5433e-10	0.001882	9.494e-07	-8.9462e-07	-0.001667	-1.7047e-10	0.001668	9.3152e-07	-8.977e-07	-0.001461	-1.7734e-10	0.0014612	9.197e-07	-9.0068e-07	-0.001255	-1.8588e-10	0.0012548	9.1072e-07	-9.0232e-07	-0.00102	-1.994e-10	0.0010205	9.0484e-07	-9.0318e-07	-1.12062e-05	-2.4213e-10	1.11554e-05	9.0094e-07	-9.0434e-07
0.425	-0.0022776	-1.5596e-10	0.002278	9.7592e-07	-8.8782e-07	-0.0020408	-1.6327e-10	0.0020418	9.4978e-07	-8.9486e-07	-0.001812	-1.778e-10	0.0018132	9.3162e-07	-8.9792e-07	-0.0015916	-1.8239e-10	0.0015926	9.1998e-07	-9.0096e-07	-0.0013706	-1.8768e-10	0.0013712	9.1078e-07	-9.0204e-07	-0.00111668	-2.102e-10	0.00111668	9.0498e-07	-9.0374e-07	-1.14952e-05	-2.5306e-10	1.19e-05	9.013e-07	-9.0478e-07
0.42	-0.0024574	-1.6183e-10	0.0024568	9.763e-07	-8.8818e-07	-0.0022052	-1.7883e-10	0.002205	9.4982e-07	-8.9484e-07	-0.0019632	-1.8111e-10	0.0019646	9.3168e-07	-8.9782e-07	-0.001729	-1.8701e-10	0.0017298	9.1948e-07	-9.0068e-07	-0.0014924	-1.9558e-10	0.001493	9.1078e-07	-9.0246e-07	-0.0012176	-2.1218e-10	0.0012188	9.0468e-07	-9.036e-07	-1.2724e-05	-2.575e-10	1.268e-05	9.0134e-07	-9.0492e-07
0.415	-0.0026446	-1.6987e-10	0.0026444	9.7644e-07	-8.883e-07	-0.002381	-1.8334e-10	0.00238	9.5024e-07	-8.953e-07	-0.002126	-1.9061e-10	0.0021258	9.322e-07	-8.9812e-07	-0.001876	-1.9693e-10	0.0018774	9.1986e-07	-9.0068e-07	-0.0016226	-2.0286e-10	0.0016232	9.1104e-07	-9.0246e-07	-0.0013268	-2.2292e-10	0.0013274	9.0486e-07	-9.0348e-07	-1.357e-05	-2.7213e-10	1.3556e-05	9.0152e-07	-9.0472e-07
0.41	-0.0028406	-1.7711e-10	0.0028402	9.7678e-07	-8.8852e-07	-0.0025612	-1.9254e-10	0.0025626	9.5016e-07	-8.9522e-07	-0.0022938	-1.9968e-10	0.0022934	9.3204e-07	-8.986e-07	-0.00203	-2.0713e-10	0.0020298	9.2018e-07	-9.0076e-07	-0.0017594	-2.1444e-10	0.0017602	9.108e-07	-9.0238e-07	-0.0014396	-2.315e-10	0.0014406	9.0472e-07	-9.036e-07	-1.4428e-05	-2.8129e-10	1.4294e-05	9.0106e-07	-9.048e-07
0.405	-0.0030466	-1.8326e-10	0.0030468	9.7652e-07	-8.8862e-07	-0.002754	-2.0187e-10	0.0027544	9.5034e-07	-8.9534e-07	-0.00247	-2.0515e-10	0.0024716	9.3214e-07	-8.9858e-07	-0.0021922	-2.1364e-10	0.0021916	9.2016e-07	-9.0094e-07	-0.0019046	-2.2039e-10	0.0019054	9.11e-07	-9.025e-07	-0.001561	-2.3545e-10	0.0015614	9.0474e-07	-9.0364e-07	-1.5192e-05	-2.8685e-10	1.5142e-05	9.0148e-07	-9.0506e-07
0.4	-0.0032586	-1.9313e-10	0.0032592	9.773e-07	-8.8938e-07	-0.0029518	-2.0845e-10	0.002951	9.5062e-07	-8.957e-07	-0.0026538	-2.1491e-10	0.0026552	9.3254e-07	-8.9854e-07	-0.00236	-2.2141e-10	0.002361	9.2066e-07	-9.0116e-07	-0.002056	-2.2699e-10	0.0020572	9.1102e-07	-9.0252e-07	-0.0016868	-2.4074e-10	0.001688	9.0496e-07	-9.037e-07	-1.5932e-05	-2.9584e-10	1.591e-05	9.0158e-07	-9.0496e-07
0.395	-0.0034806	-2.0383e-10	0.0034828	9.7756e-07	-8.8998e-07	-0.0031602	-2.1718e-10	0.0031612	9.5082e-07	-8.9588e-07	-0.0028482	-2.241e-10	0.002849	9.3244e-07	-8.9852e-07	-0.0025386	-2.2848e-10	0.0025396	9.2034e-07	-9.0116e-07	-0.0022168	-2.3305e-10	0.0022176	9.1126e-07	-9.0262e-07	-0.0018214	-2.5005e-10	0.0018206	9.048e-07	-9.0324e-07	-1.6796e-05	-3.027e-10	1.6864e-05	9.0136e-07	-9.0482e-07
0.39	-0.0037114	-2.1155e-10	0.0037104	9.7808e-07	-8.9028e-07	-0.0033742	-2.2587e-10	0.0033746	9.5104e-07	-8.9638e-07	-0.0030478	-2.2776e-10	0.0030482	9.3286e-07	-8.9888e-07	-0.0027224	-2.3459e-10	0.0027232	9.2052e-07	-9.0146e-07	-0.002383	-2.3713e-10	0.0023838	9.1124e-07	-9.0276e-07	-0.0019574	-2.5578e-10	0.0019586	9.05e-07	-9.0358e-07	-1.7718e-05	-3.1217e-10	1.7836e-05	9.0164e-07	-9.0488e-07
0.385	-0.0039496	-2.1711e-10	0.0039504	9.7818e-07	-8.9032e-07	-0.0035996	-2.3046e-10	0.0035994	9.5154e-07	-8.9656e-07	-0.003258	-2.3266e-10	0.003258	9.329e-07	-8.9918e-07	-0.0029164	-2.3957e-10	0.0029174	9.2074e-07	-9.017e-07	-0.002559	-2.46e-10	0.0025594	9.1114e-07	-9.0274e-07	-0.002103	-2.6739e-10	0.0021044	9.051e-07	-9.039e-07	-1.8632e-05	-3.2782e-10	1.8498e-05	9.0126e-07	-9.0486e-07
0.38	-0.0041938	-2.2257e-10	0.0041944	9.7812e-07	-8.9042e-07	-0.0038278	-2.3787e-10	0.0038296	9.5168e-07	-8.9682e-07	-0.0034724	-2.3879e-10	0.0034742	9.3308e-07	-8.9938e-07	-0.0031154	-2.4477e-10	0.0031154	9.2072e-07	-9.0146e-07	-0.0027394	-2.5666e-10	0.0027382	9.1132e-07	-9.0274e-07	-0.0022526	-2.7826e-10	0.002254	9.0502e-07	-9.0362e-07	-1.954e-05	-3.3805e-10	1.9652e-05	9.0134e-07	-9.0462e-07
