Vd	Vth_RM	Vth_TCM	Vth_SDLM
20	0.46465	0.415	-0.15
30	0.466692	0.415	-0.125
40	0.470007	0.42	-0.065
50	0.470777	0.435	-0.15
60	0.47479	0.43	-0.13
70	0.477485	0.425	-0.12
80	0.478754	0.44	-0.105
90	0.480664	0.435	-0.085
100	0.482974	0.445	-0.07
150	0.504715	0.485	0.435
300	0.51517	0.54	0.42
450	0.50701	0.53	0.435
600	0.502749	0.515	0.43
750	0.502107	0.53	0.4
900	0.501704	0.52	0.4
