Vgs	Gm_Vds=0.01V	Gm_Vds=0.02V	Gm_Vds=0.03V	Gm_Vds=0.04V	Gm_Vds=0.05V	Gm_Vds=0.06V	Gm_Vds=0.07V	Gm_Vds=0.08V	Gm_Vds=0.09V	Gm_Vds=0.10V
0.305	0.00066318	0.00119262	0.00157984	0.0018597	0.00206264	0.0022165	0.00232428	0.0024043	0.00246304	0.00250628
0.31	0.0007545	0.00136032	0.00180574	0.00213096	0.00236724	0.00254736	0.0026762	0.00276726	0.00283296	0.0028821
0.315	0.00085782	0.00154768	0.00205576	0.0024386	0.00271198	0.00291612	0.003068	0.00317142	0.00325016	0.0033062
0.32	0.00097406	0.0017562	0.00233802	0.0027805	0.00309676	0.00332724	0.00350302	0.0036226	0.00371978	0.0037843
0.325	0.00109984	0.0019852	0.00265564	0.00315646	0.00352458	0.00378838	0.00399034	0.00413118	0.0042426	0.00431896
0.33	0.0012364	0.00223936	0.00300304	0.00357142	0.00399736	0.0043021	0.00452904	0.00469994	0.0048253	0.00491718
0.335	0.00138602	0.002522	0.00338302	0.00402756	0.00451584	0.00486924	0.00512372	0.00532942	0.0054776	0.0055886
0.34	0.00154482	0.00282568	0.0037995	0.00452888	0.00508404	0.0054924	0.0057912	0.0060288	0.0061998	0.0063322
0.345	0.00171196	0.0031478	0.00424756	0.005076	0.005708	0.0061764	0.006531	0.0068044	0.0069944	0.0071496
0.35	0.0018918	0.00349292	0.00472432	0.005667	0.0063884	0.006927	0.0073358	0.0076512	0.0078666	0.0080476
0.355	0.00208546	0.00385724	0.0052326	0.006309	0.0071246	0.0077456	0.0082152	0.0085704	0.0088218	0.0090298
0.36	0.002285	0.00423812	0.0057794	0.0069974	0.0079164	0.008629	0.0091734	0.0095664	0.0098666	0.0101018
0.365	0.00249298	0.004645	0.0063604	0.007719	0.0087618	0.0095756	0.0101946	0.010645	0.0109968	0.0112668
0.37	0.00271772	0.0050734	0.0069636	0.0084772	0.0096562	0.0105864	0.0112756	0.011805	0.0122104	0.0125202
0.375	0.00294496	0.005509	0.0075936	0.0092768	0.010599	0.0116502	0.0124306	0.0130388	0.0135062	0.013857
0.38	0.00316252	0.0059498	0.008251	0.0101098	0.0115886	0.0127564	0.0136526	0.0143442	0.0148708	0.015275
0.385	0.00338448	0.0064014	0.0089202	0.0109686	0.0126162	0.0139136	0.014924	0.0157148	0.0163096	0.0167742
0.39	0.0036114	0.0068588	0.0095944	0.011845	0.0136686	0.015116	0.016244	0.0171408	0.0178254	0.0183546
0.395	0.003825	0.0073152	0.0102792	0.0127338	0.0147422	0.0163488	0.0176168	0.0186174	0.019398	0.0200124
0.4	0.0040408	0.0077676	0.0109624	0.0136314	0.015838	0.0176042	0.0190204	0.020146	0.0210326	0.021737
0.405	0.0042602	0.008212	0.0116264	0.0145158	0.0169306	0.0188788	0.0204496	0.0217282	0.0227354	0.023517
0.41	0.0044602	0.0086482	0.0122796	0.015382	0.0180076	0.020169	0.0219204	0.0233512	0.0244716	0.02535
0.415	0.0046498	0.0090564	0.0129162	0.0162392	0.0190836	0.0214636	0.0234038	0.0249754	0.0262272	0.0272278
0.42	0.0048218	0.0094294	0.0135162	0.01708	0.020157	0.0227436	0.0248646	0.0265974	0.0280096	0.0291222
0.425	0.0049628	0.0097882	0.0140928	0.0178992	0.0211994	0.0239924	0.0263116	0.0282226	0.0297928	0.031008
0.43	0.0051088	0.0101232	0.014648	0.0186854	0.022194	0.0252104	0.027734	0.029806	0.031552	0.032896
0.435	0.0052552	0.0104136	0.015159	0.0194206	0.023144	0.02638	0.0291	0.031358	0.033284	0.034794
0.44	0.0053806	0.0106936	0.0156224	0.0200926	0.02404	0.027476	0.03042	0.032906	0.03499	0.036672
0.445	0.005504	0.0109704	0.0160354	0.0207056	0.024876	0.028514	0.0317	0.034406	0.03666	0.038522
0.45	0.0056072	0.0111974	0.0164036	0.021262	0.02565	0.029498	0.032908	0.035816	0.038266	0.040338
0.455	0.0056692	0.0113728	0.0167426	0.021746	0.02635	0.0304	0.034026	0.037156	0.039804	0.042078
0.46	0.0057198	0.0115214	0.017033	0.022176	0.026972	0.031218	0.035068	0.038428	0.041284	0.043728
0.465	0.0057632	0.011643	0.017274	0.02258	0.027528	0.031982	0.036046	0.0396	0.042674	0.0453
0.47	0.005777	0.0117296	0.01749	0.022918	0.028004	0.032666	0.036932	0.040678	0.04395	0.046778
0.475	0.0057812	0.011801	0.017646	0.023168	0.028396	0.033248	0.0377	0.041676	0.04514	0.04817
0.48	0.005776	0.0118586	0.017726	0.02337	0.028726	0.033768	0.038376	0.042576	0.046254	0.04949
0.485	0.0057412	0.0118756	0.017772	0.023512	0.029006	0.034214	0.038958	0.043346	0.047258	0.050706
0.49	0.005707	0.01184	0.017802	0.023586	0.029228	0.034556	0.039432	0.04401	0.04813	0.051806
0.495	0.0056942	0.011764	0.01779	0.023638	0.029354	0.034788	0.03983	0.044582	0.048894	0.052794
0.5	0.005652	0.011668	0.017722	0.023646	0.029386	0.034932	0.040154	0.04504	0.04956	0.05364
0.505	0.0056056	0.011566	0.017634	0.023572	0.029374	0.035014	0.040374	0.045412	0.050102	0.054348
0.51	0.0055928	0.01146	0.01751	0.023454	0.029312	0.035032	0.040516	0.045684	0.050516	0.054958
0.515	0.0055126	0.011356	0.017318	0.023306	0.029182	0.034984	0.040566	0.045834	0.05082	0.05543
0.52	0.0053694	0.011246	0.017124	0.023104	0.029028	0.034888	0.040478	0.045916	0.051024	0.055768
0.525	0.005272	0.011094	0.016944	0.022874	0.02885	0.034712	0.040356	0.045938	0.05113	0.05605
0.53	0.0052094	0.010938	0.016734	0.022658	0.02862	0.034442	0.040252	0.045842	0.051132	0.056238
0.535	0.0051244	0.01078	0.016508	0.022428	0.028342	0.034148	0.04003	0.045632	0.051028	0.056262
0.54	0.0050516	0.010584	0.016286	0.022126	0.028012	0.033822	0.039696	0.045336	0.050872	0.056184
0.545	0.0050128	0.010408	0.01605	0.021768	0.027616	0.03345	0.039364	0.044988	0.050658	0.056046
0.55	0.0049516	0.010258	0.015784	0.021412	0.027198	0.033064	0.038978	0.044634	0.05034	0.05581
0.555	0.0048268	0.01005	0.015478	0.021068	0.026798	0.032644	0.038478	0.044226	0.049956	0.055498
0.56	0.0046812	0.009792	0.015168	0.020682	0.026372	0.032178	0.037952	0.043772	0.049532	0.055132
0.565	0.0045666	0.00957	0.014888	0.020278	0.025924	0.031672	0.037426	0.043298	0.049064	0.05469
0.57	0.0044564	0.009384	0.014578	0.019922	0.025488	0.03114	0.036864	0.042728	0.048512	0.054164
0.575	0.0043554	0.009178	0.014248	0.019572	0.025032	0.030616	0.03628	0.042048	0.047862	0.053556
0.58	0.0042732	0.00899	0.013972	0.019178	0.024532	0.030064	0.035672	0.041368	0.047176	0.052884
0.585	0.0041892	0.008868	0.013716	0.018772	0.024026	0.029464	0.035056	0.040704	0.046474	0.052172
0.59	0.0040968	0.008708	0.013406	0.0184	0.02353	0.0289	0.03444	0.04	0.045724	0.05142
0.595	0.0040076	0.00848	0.013082	0.018004	0.023058	0.028354	0.033786	0.039314	0.044964	0.050656
0.6	0.0039	0.008268	0.012788	0.017578	0.022596	0.027784	0.03311	0.038636	0.044216	0.049882
0.605	0.003776	0.008054	0.012484	0.017182	0.022092	0.027218	0.032468	0.037902	0.043418	0.049052
0.61	0.0037	0.007818	0.01219	0.01679	0.021596	0.026638	0.031828	0.03716	0.0426	0.04843
0.615	0.003648	0.00761	0.011936	0.0164	0.021134	0.02605	0.03117	0.03644	0.0418	0.048052
0.62	0.003556	0.007432	0.011686	0.016048	0.02065	0.025466	0.030524	0.035692	0.041008	0.047422
0.625	0.003458	0.007274	0.011436	0.015668	0.020162	0.02487	0.02986	0.034936	0.040216	0.046536
0.63	0.003394	0.007128	0.011174	0.015252	0.019742	0.024302	0.029166	0.034186	0.039634	0.045654
0.635	0.00332	0.006968	0.010844	0.014916	0.019314	0.023764	0.02848	0.03343	0.039236	0.044496
0.64	0.003224	0.006816	0.010502	0.014602	0.018818	0.023196	0.027826	0.032714	0.038564	0.043068
0.645	0.003144	0.006638	0.010248	0.014238	0.018376	0.022624	0.027186	0.03199	0.037692	0.04188
0.65	0.00308	0.00643	0.010024	0.013922	0.017968	0.02209	0.026544	0.031228	0.036886	0.04098
0.655	0.002958	0.006254	0.009768	0.013612	0.017486	0.02159	0.025914	0.030498	0.035874	0.04018
0.66	0.002838	0.006088	0.009526	0.013206	0.017034	0.021098	0.025306	0.029796	0.034646	0.03936
0.665	0.002802	0.00591	0.009312	0.01279	0.016656	0.020588	0.024722	0.029074	0.0337	0.0385
0.67	0.002744	0.005754	0.009066	0.01245	0.016218	0.020096	0.024158	0.028546	0.033	0.03762
0.675	0.002656	0.00563	0.008782	0.012128	0.015774	0.019646	0.02359	0.028298	0.03224	0.03668
0.68	0.002594	0.005516	0.008568	0.01182	0.015394	0.019168	0.023038	0.027904	0.03146	0.03578
0.685	0.002502	0.0054	0.00845	0.011598	0.015014	0.018672	0.022502	0.02729	0.0307	0.035
0.69	0.0024	0.005282	0.0083	0.011368	0.014634	0.018208	0.021882	0.026726	0.02992	0.03422
0.695	0.002382	0.005154	0.008078	0.011072	0.01425	0.017752	0.021246	0.02598	0.02914	0.03342
0.7	0.002348	0.005	0.007886	0.010802	0.013876	0.017292	0.020738	0.024924	0.02844	0.03268
