Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.298218	0.3557	-0.1848
20	0.3073	0.3624	-0.2242
30	0.315227	0.3652	0.3719
40	0.322977	0.3687	0.3738
50	0.330384	0.371	0.381
60	0.33742	0.3751	0.3787
70	0.343632	0.3793	0.3789
80	0.349641	0.3815	0.3795
90	0.355291	0.3848	0.3753
100	0.360851	0.3872	0.3776
150	0.380629	0.3983	0.3682
300	0.400645	0.4031	0.3416
450	0.398012	0.4016	0.3368
600	0.392439	0.3817	0.328
750	0.386436	0.3734	0.3299
900	0.379791	0.3747	0.3254
