Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	0.006591	0.3892	0.3943
20	0.031387	0.3886	0.3958
30	0.055039	0.388	0.3969
40	0.078201	0.3874	0.3936
50	0.10066	0.3909	0.3949
60	0.124152	0.3903	0.3965
70	0.14574	0.3894	0.3931
80	0.165007	0.3927	0.3941
90	0.183811	0.3877	0.3947
100	0.202199	0.391	0.3953
150	0.285831	0.3981	0.3947
300	0.440115	0.3919	0.3931
450	0.490007	0.4111	0.3929
600	0.497099	0.397	0.3938
750	0.494456	0.4064	0.3963
900	0.490656	0.4036	0.3939
