Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	-0.586935	0.3147	0.2664
20	-0.545789	0.3177	0.2703
30	-0.505821	0.3171	0.2679
40	-0.464639	0.3079	0.2684
50	-0.425098	0.3231	0.2702
60	-0.387005	0.3177	0.2717
70	-0.344095	0.3205	0.2701
80	-0.313517	0.3146	0.2691
90	-0.279595	0.3129	0.2693
100	-0.245213	0.3237	0.2678
150	-0.091862	0.3066	0.2718
300	0.208865	0.3323	0.2717
450	0.327669	0.3447	0.272
600	0.353177	0.3168	0.2727
750	0.348269	0.3171	0.2682
900	0.334327	0.3429	0.2688
