Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	-0.008814	0.3594	0.3285
20	0.011359	0.3585	0.3297
30	0.031756	0.3575	0.3316
40	0.051436	0.3647	0.3286
50	0.070764	0.3717	0.33
60	0.089768	0.3663	0.3312
70	0.107885	0.3694	0.3309
80	0.125498	0.3591	0.3316
90	0.142518	0.3657	0.3309
100	0.159075	0.3681	0.331
150	0.23304	0.3611	0.3291
300	0.366705	0.3749	0.3325
450	0.415977	0.3797	0.3328
600	0.421547	0.3887	0.3271
750	0.415717	0.3478	0.3278
900	0.406508	0.3534	0.3293
