Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.406924	0.4172	0.3842
20	0.411032	0.412	0.3835
30	0.414846	0.4152	0.3871
40	0.418417	0.4146	0.3847
50	0.421658	0.4175	0.3871
60	0.424675	0.4124	0.3842
70	0.427314	0.4153	0.3854
80	0.429865	0.4185	0.3866
90	0.432155	0.4129	0.3872
100	0.4342	0.4158	0.3829
150	0.441566	0.4216	0.3822
300	0.445846	0.4168	0.385
450	0.443467	0.4059	0.3836
600	0.440746	0.3854	0.383
750	0.438036	0.404	0.3832
900	0.435257	0.444	0.3826
