Coefficente_Inversione	Guadagno_Intrinseco
2.4894e-05	-0.28888429596784
2.47831891891892e-05	-0.42600149912551
2.44999459459459e-05	-0.423485615666586
2.42454594594595e-05	-0.441738820217136
2.42265405405405e-05	-0.466367691633147
2.41108648648649e-05	-0.430404455655255
2.38257837837838e-05	-0.384737831874787
2.36715135135135e-05	-0.415644618751019
2.36377297297297e-05	-0.441313157144122
2.34615135135135e-05	-0.398973609248067
2.32162702702703e-05	-0.377416834342794
2.31462162162162e-05	-0.393076821742347
2.30634594594595e-05	-0.373509152043496
2.28702162162162e-05	-0.347242357554837
2.28089189189189e-05	-0.340966165102727
2.2654972972973e-05	-0.326907393864142
2.25218918918919e-05	-0.32026357305627
2.24955135135135e-05	-0.341854269138607
2.23914054054054e-05	-0.324565760757561
2.21617837837838e-05	-0.29510212056903
2.20837837837838e-05	-0.31679395554974
2.20980540540541e-05	-0.317876365745962
2.19550810810811e-05	-0.266012545631606
2.18019459459459e-05	-0.243542989292981
2.17486486486486e-05	-0.274803753270779
2.17375135135135e-05	-0.27559926008464
2.1625027027027e-05	-0.225829877818923
2.14648648648649e-05	-0.201796736713113
2.1446054054054e-05	-0.23437261151906
2.14826486486486e-05	-0.237885020567873
2.13436216216216e-05	-0.189917389064101
2.1187027027027e-05	-0.183800451357263
2.11968108108108e-05	-0.227288132672345
2.12114594594595e-05	-0.218795942578517
2.10782162162162e-05	-0.166188971008882
2.09612432432432e-05	-0.15818332725068
2.09671891891892e-05	-0.186232797562769
2.09824864864865e-05	-0.174546366897761
2.08915675675676e-05	-0.125674584128397
2.07824324324324e-05	-0.111045364891519
2.07821621621622e-05	-0.14413760698503
2.08474054054054e-05	-0.135997825858261
2.07316216216216e-05	-0.0747719656649288
2.06397837837838e-05	-0.0526920999775481
2.06983243243243e-05	-0.0759712875729031
2.07510810810811e-05	-0.0403545637504444
2.06807567567568e-05	0.0332642898861388
2.06383243243243e-05	0.0370318366350242
2.07473513513514e-05	0.0132693207307274
2.07755675675676e-05	0.0686300854517117
2.07076216216216e-05	0.153738317757011
2.07701621621622e-05	0.176066371083629
2.09171351351351e-05	0.19401732539253
2.10072972972973e-05	0.291395186042756
2.10100540540541e-05	0.411349338811145
2.11409189189189e-05	0.46686440574097
2.14241621621622e-05	0.522109402547108
2.16004864864865e-05	0.670491657000089
2.17318918918919e-05	0.829251173822547
2.20257297297297e-05	0.932427548235918
2.24467027027027e-05	1.06199088653917
2.27357297297297e-05	1.27436347415746
2.32495675675676e-05	1.48407851562956
2.36478378378378e-05	1.69901108901938
2.4369027027027e-05	1.97643925073037
2.50041621621622e-05	2.29247224752842
2.58397297297297e-05	2.65450059791901
2.69175135135135e-05	2.9996750855608
2.78981081081081e-05	3.45229637622323
2.93188648648649e-05	3.91662134175679
3.08157297297297e-05	4.40550155933025
3.25567567567568e-05	5.0618216104652
3.46594594594595e-05	5.63492981790592
3.71567567567568e-05	6.21780831189928
3.99135135135135e-05	6.9868231503955
4.31891891891892e-05	7.64436330969345
4.68702702702703e-05	8.44442262372351
5.13351351351351e-05	9.28895500185945
5.63405405405405e-05	10.146750524109
6.23459459459459e-05	10.9003231017771
6.91513513513513e-05	11.7413793103448
7.71621621621622e-05	12.5517812758906
8.63621621621622e-05	13.3654333502281
9.71027027027027e-05	14.1178505535055
0.000109578378378378	14.8065625
0.000123978378378378	15.5578699340245
0.00014087027027027	16.1905727318804
0.000160232432432432	16.7892711634224
0.000183075675675676	17.3349892588614
0.000209102702702703	17.8385962821735
0.000239902702702703	18.2055549721726
0.000274762162162162	18.6826564828614
0.000315989189189189	19.0029455081002
0.000362432432432432	19.6344556187145
0.000417432432432432	19.8140729001585
0.000480837837837838	20.0579253112033
0.000555459459459459	20.3509671179884
0.000640027027027027	20.6956153357339
0.000740135135135135	20.8042400881057
0.000854594594594594	21.1289778206364
0.000989243243243243	21.2582601421999
0.00114367567567568	21.3762244527756
0.00132391891891892	21.458394466569
0.00153162162162162	21.5133514986376
0.00177259459459459	21.695469665769
0.00205105405405405	21.6488257782632
0.00236983783783784	21.847076684925
0.00274540540540541	21.9076950867052
0.00317621621621622	21.9682738281424
