Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.112593	0.3183	0.3136
20	0.136566	0.3145	0.301
30	0.157086	0.3137	0.3106
40	0.176189	0.3129	0.3025
50	0.194571	0.3197	0.3171
60	0.21405	0.311	0.318
70	0.230424	0.3179	0.3024
80	0.244012	0.3084	0.3163
90	0.257954	0.3229	0.3072
100	0.270267	0.3179	0.3151
150	0.321644	0.346	0.2918
300	0.376492	0.3207	0.3177
450	0.376981	0.313	0.2952
600	0.371476	0.3295	0.3011
750	0.365331	0.3473	0.316
900	0.357851	0.3386	0.276
