Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.298218	0.3514	0.2352
20	0.3073	0.3548	0.2358
30	0.315227	0.3496	0.3319
40	0.322977	0.3448	0.3038
50	0.330384	0.3479	0.326
60	0.33742	0.3549	0.3287
70	0.343632	0.3536	0.3189
80	0.349641	0.3521	0.3045
90	0.355291	0.3506	0.3103
100	0.360851	0.349	0.3226
150	0.380629	0.3514	0.3182
300	0.400645	0.3396	0.3016
450	0.398012	0.3391	0.3368
600	0.392439	0.3638	0.318
750	0.386436	0.3614	0.3299
900	0.379791	0.3613	0.3254
