gm,Vd=0V	gm,Vd=0.15V	gm,Vd=0.3V	gm,Vd=0.45V	gm,Vd=0.6V	gm,Vd=0.75V	gm,Vd=0.9V
-2.262e-09	-8.00000000000038e-11	-3.426e-09	-6.24000000000001e-09	-1.036e-08	-7.64000000000002e-09	-1.58e-08
2.9e-10	-1.477e-09	-1.637e-09	-3.51e-09	-5.27e-09	-5.61000000000002e-09	-1.042e-08
-7.72999999999999e-10	-1.35999999999998e-10	-2.72999999999995e-10	-1.03999999999999e-09	-7.1000000000001e-10	-5.52000000000003e-09	-5.04000000000005e-09
-6.64999999999983e-10	-4.12000000000022e-10	-6.06e-10	-1.71000000000002e-09	-3.08000000000002e-09	-6.53e-09	-9.30000000000019e-09
7.07000000000016e-10	-1.00700000000002e-09	-4.73000000000007e-10	-1.40000000000003e-09	-1.84000000000001e-09	-3.16e-09	-7.37999999999993e-09
-4.2e-10	-2.09999999999992e-11	-1.532e-09	-1.62e-09	-2.00000000000003e-09	-1.36e-09	-6.81999999999985e-09
1.046e-09	-1.152e-09	-7.28999999999997e-10	-1.59999999999999e-09	-1.71999999999999e-09	-4.04999999999996e-09	-2.84000000000004e-09
-6.77e-10	6.65000000000002e-10	-7.14000000000003e-10	-9.99999999999996e-10	-2.20999999999997e-09	-4.42999999999999e-09	-4.36000000000001e-09
6.07999999999999e-10	-5.17000000000004e-10	-8.74999999999999e-10	-8.59999999999994e-10	-2.31e-09	-2.72e-09	-9.10000000000005e-09
2.89999999999998e-11	2.08000000000001e-10	-3.89999999999995e-10	-8.39999999999988e-10	-1.10000000000001e-09	-3.02000000000001e-09	-5.14e-09
-7.60999999999999e-10	2.14e-10	-7.51999999999998e-10	-5.29999999999997e-10	-1.98999999999999e-09	-4.10000000000001e-10	-5.55999999999988e-09
-7.59999999999997e-11	-7.22e-10	8.44000000000002e-10	-3.10000000000012e-10	-2.00000000000061e-11	-2.89999999999998e-09	-4.22000000000005e-09
-1.336e-09	5.66999999999999e-10	-7.75999999999997e-10	-5.90000000000015e-10	-1.87000000000003e-09	-3.04000000000002e-09	-2.32000000000005e-09
7.99000000000004e-10	-1.16700000000001e-09	-4.57999999999993e-10	-5.09999999999993e-10	-1.30999999999998e-09	-1.29000000000004e-09	-3.76000000000001e-09
-3.74999999999994e-10	5.47999999999996e-10	-4.87999999999992e-10	-5.79999999999993e-10	-1.36999999999996e-09	5.89999999999961e-10	-5.90000000000009e-09
9.99999999999999e-11	-1.47999999999998e-10	-2.51000000000002e-10	-5.50000000000003e-10	-7.89999999999994e-10	-1.90000000000017e-10	-4.11999999999994e-09
-2.18e-10	6.80999999999999e-10	7.93999999999997e-10	-5.09999999999991e-10	1.19999999999999e-09	-4.10000000000001e-09	-2.59999999999997e-10
-5.78e-10	1.086e-09	-7.76999999999996e-10	-9.00000000000068e-11	-1.03000000000003e-09	-6.90000000000004e-10	-2.88000000000005e-09
3.23e-10	-1.85999999999998e-10	1.269e-09	-1.10000000000013e-10	-1.17000000000003e-09	-2.10999999999994e-09	-2.67999999999999e-09
-1.357e-09	1.365e-09	4.58999999999992e-10	7.6000000000001e-10	-7.29999999999978e-10	-5.89999999999964e-10	3.80000000000025e-10
-1.50000000000003e-10	-9.99999999999973e-11	1.308e-09	8.20000000000008e-10	1.71000000000002e-09	7.99999999999513e-11	-1.95999999999995e-09
-7.77999999999999e-10	1.336e-09	1.387e-09	1.38999999999999e-09	1.29999999999998e-09	-8.89999999999983e-10	-2.80000000000086e-10
4.39e-10	5.37e-10	5.71999999999995e-10	1.86999999999999e-09	3.59999999999986e-10	1.38000000000001e-09	-1.79999999999972e-10
3.86e-10	1.059e-09	2.27999999999999e-09	1.62e-09	1.89e-09	2.96e-09	-2.69999999999992e-09
-6.62e-10	2.52599999999999e-09	1.501e-09	2.28000000000002e-09	2.54999999999999e-09	4.22000000000005e-09	2.17999999999992e-09
2.99999999999998e-10	1.93300000000001e-09	3.31100000000001e-09	2.12000000000001e-09	3.91000000000001e-09	2.75999999999994e-09	5.04000000000005e-09
-5.06000000000002e-10	3.29500000000001e-09	2.49200000000001e-09	4.11999999999998e-09	4.28e-09	3.13999999999997e-09	2.51999999999995e-09
5.18e-10	2.711e-09	3.736e-09	3.35999999999999e-09	4.52000000000002e-09	4.57000000000003e-09	1.132e-08
-3.61e-10	4.25e-09	4.912e-09	4.56000000000001e-09	4.77000000000001e-09	7.64999999999998e-09	8.84000000000006e-09
-8.9e-11	4.018e-09	4.873e-09	6.37e-09	7.28999999999995e-09	7.66999999999999e-09	2.29999999999996e-09
5.35999999999999e-10	4.63699999999999e-09	7.184e-09	7.22e-09	9.72e-09	9.37000000000001e-09	1.42800000000001e-08
5.24000000000005e-10	5.859e-09	6.351e-09	9.83000000000001e-09	9.85000000000002e-09	1.296e-08	1.56e-08
9.73000000000004e-10	6.64900000000001e-09	9.33700000000001e-09	1.01e-08	1.214e-08	1.55e-08	1.332e-08
2.55e-10	9.047e-09	9.96299999999999e-09	1.32e-08	1.577e-08	1.99699999999999e-08	2.09799999999999e-08
7.08999999999999e-10	9.69599999999999e-09	1.161e-08	1.471e-08	1.64e-08	1.9e-08	2.342e-08
5.73999999999999e-10	1.2029e-08	1.4258e-08	1.746e-08	2.013e-08	2.349e-08	3.04800000000001e-08
3.87e-10	1.3642e-08	1.6667e-08	1.974e-08	2.42e-08	2.986e-08	3.604e-08
1.59000000000001e-10	1.5418e-08	1.997e-08	2.374e-08	2.79200000000001e-08	3.793e-08	4.50799999999999e-08
3.75e-10	1.802e-08	2.214e-08	2.853e-08	3.35099999999999e-08	4.326e-08	4.578e-08
1.29e-09	2.0798e-08	2.741e-08	3.213e-08	3.927e-08	4.984e-08	5.64800000000002e-08
1.352e-09	2.5088e-08	3.098e-08	3.86e-08	4.75800000000001e-08	5.872e-08	7.07600000000001e-08
7.45999999999999e-10	2.9697e-08	3.735e-08	4.508e-08	5.52799999999999e-08	6.734e-08	7.89599999999998e-08
9.84000000000002e-10	3.416e-08	4.331e-08	5.409e-08	6.317e-08	7.945e-08	9.67800000000001e-08
1.39e-09	3.985e-08	5.013e-08	6.123e-08	7.40600000000001e-08	9.149e-08	1.0702e-07
1.261e-09	4.67199999999999e-08	5.9e-08	7.35199999999999e-08	8.75999999999999e-08	1.0891e-07	1.2894e-07
1.117e-09	5.469e-08	6.90900000000001e-08	8.561e-08	1.0285e-07	1.2806e-07	1.5174e-07
8.04e-10	6.445e-08	8.085e-08	9.91400000000001e-08	1.2144e-07	1.494e-07	1.7542e-07
2.568e-09	7.55199999999999e-08	9.34999999999999e-08	1.1634e-07	1.3979e-07	1.7735e-07	2.0858e-07
2.623e-09	8.708e-08	1.0995e-07	1.3611e-07	1.636e-07	2.0589e-07	2.4362e-07
2.791e-09	1.0216e-07	1.2944e-07	1.6029e-07	1.9158e-07	2.385e-07	2.8976e-07
4.214e-09	1.1884e-07	1.4896e-07	1.8499e-07	2.2393e-07	2.7854e-07	3.4184e-07
3.813e-09	1.3948e-07	1.7604e-07	2.1778e-07	2.66e-07	3.2982e-07	3.9756e-07
5.151e-09	1.6323e-07	2.0561e-07	2.5441e-07	3.1095e-07	3.837e-07	4.5726e-07
5.364e-09	1.9133e-07	2.3948e-07	3.0009e-07	3.6234e-07	4.4522e-07	5.3486e-07
7.235e-09	2.2267e-07	2.8267e-07	3.5357e-07	4.2472e-07	5.2164e-07	6.2784e-07
8.17800000000001e-09	2.5879e-07	3.3276e-07	4.1086e-07	4.942e-07	6.145e-07	7.3168e-07
9.271e-09	3.0622e-07	3.8673e-07	4.7544e-07	5.7378e-07	7.103e-07	8.5448e-07
1.2195e-08	3.5982e-07	4.4736e-07	5.6068e-07	6.7804e-07	8.2876e-07	1.00516e-06
1.3621e-08	4.1666e-07	5.2232e-07	6.5446e-07	7.9254e-07	9.7224e-07	1.16814e-06
1.5409e-08	4.8804e-07	6.148e-07	7.5164e-07	9.2458e-07	1.13524e-06	1.39276e-06
1.6146e-08	5.6892e-07	7.2038e-07	8.8964e-07	1.07876e-06	1.32682e-06	1.61428e-06
2.3128e-08	6.619e-07	8.3602e-07	1.04654e-06	1.27566e-06	1.5551e-06	1.86826e-06
2.6716e-08	7.7196e-07	9.8458e-07	1.20528e-06	1.48366e-06	1.81966e-06	2.19296e-06
2.5194e-08	8.9876e-07	1.1555e-06	1.40162e-06	1.69938e-06	2.12844e-06	2.5384e-06
3.6973e-08	1.06862e-06	1.33348e-06	1.64346e-06	2.01966e-06	2.49338e-06	3.02764e-06
4.1464e-08	1.24382e-06	1.55356e-06	1.906e-06	2.3739e-06	2.90224e-06	3.47482e-06
