vg	id_vd = 0.0V	ig_vd = 0.0V	is_vd = 0.0V	iavdd_vd = 0.0V	ignd_vd = 0.0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
0.625	-5.0774e-05	9.643e-09	5.0798e-05	3.2166e-07	-3.2148e-07	0.00068342	9.2353e-09	-0.0006828	3.2134e-07	-3.2088e-07	0.0013832	8.8529e-09	-0.0013818	3.2154e-07	-3.2142e-07	0.0020502	8.4816e-09	-0.0020502	3.2088e-07	-3.2094e-07	0.0026822	8.1496e-09	-0.002681	3.2154e-07	-3.2146e-07	0.0032788	7.8312e-09	-0.0032772	3.2144e-07	-3.21e-07	0.003839	7.532e-09	-0.003838	3.2086e-07	-3.2098e-07	0.004366	7.2646e-09	-0.0043658	3.2096e-07	-3.2106e-07	0.0048576	7.0012e-09	-0.0048562	3.215e-07	-3.2166e-07	0.0053124	6.7587e-09	-0.0053132	3.2154e-07	-3.2154e-07	0.0057358	6.5361e-09	-0.0057346	3.2158e-07	-3.2168e-07
0.63	-5.1962e-05	1.00186e-08	5.1908e-05	3.2162e-07	-3.216e-07	0.00069682	9.605e-09	-0.00069574	3.21e-07	-3.2146e-07	0.001411	9.2026e-09	-0.0014094	3.215e-07	-3.2142e-07	0.002092	8.8219e-09	-0.0020924	3.2144e-07	-3.2146e-07	0.0027402	8.4767e-09	-0.002738	3.215e-07	-3.215e-07	0.00335	8.14e-09	-0.0033512	3.2148e-07	-3.2152e-07	0.0039264	7.8313e-09	-0.0039258	3.2154e-07	-3.2158e-07	0.004469	7.5527e-09	-0.004468	3.2156e-07	-3.216e-07	0.004975	7.2658e-09	-0.0049746	3.2124e-07	-3.2166e-07	0.0054454	7.0211e-09	-0.0054458	3.2152e-07	-3.2164e-07	0.0058844	6.7943e-09	-0.0058834	3.2164e-07	-3.217e-07
0.635	-5.2928e-05	1.04251e-08	5.284e-05	3.2166e-07	-3.2154e-07	0.00070982	1.00001e-08	-0.0007089	3.2152e-07	-3.2082e-07	0.0014378	9.5642e-09	-0.001438	3.215e-07	-3.2142e-07	0.002135	9.1785e-09	-0.002134	3.2106e-07	-3.2146e-07	0.0027956	8.8191e-09	-0.0027962	3.2152e-07	-3.2158e-07	0.0034224	8.4737e-09	-0.0034224	3.2094e-07	-3.2156e-07	0.0040136	8.1425e-09	-0.0040136	3.2146e-07	-3.2148e-07	0.0045712	7.8555e-09	-0.004572	3.2158e-07	-3.2158e-07	0.0050938	7.5685e-09	-0.0050936	3.216e-07	-3.2164e-07	0.0055802	7.3074e-09	-0.0055798	3.2156e-07	-3.216e-07	0.0060334	7.0484e-09	-0.0060338	3.2154e-07	-3.2168e-07
0.64	-5.372e-05	1.08524e-08	5.3644e-05	3.2166e-07	-3.2156e-07	0.00072158	1.03853e-08	-0.00072086	3.2158e-07	-3.2158e-07	0.0014636	9.9485e-09	-0.0014646	3.2144e-07	-3.214e-07	0.0021764	9.5567e-09	-0.0021752	3.2142e-07	-3.2146e-07	0.0028516	9.1723e-09	-0.0028502	3.2148e-07	-3.2154e-07	0.0034924	8.7994e-09	-0.003491	3.2154e-07	-3.2094e-07	0.0040988	8.4772e-09	-0.004099	3.2152e-07	-3.216e-07	0.0046728	8.1658e-09	-0.004671	3.215e-07	-3.216e-07	0.0052094	7.8573e-09	-0.0052074	3.2158e-07	-3.2164e-07	0.0057118	7.588e-09	-0.0057106	3.2128e-07	-3.2106e-07	0.0061806	7.3366e-09	-0.0061794	3.2162e-07	-3.216e-07
0.645	-5.4914e-05	1.13044e-08	5.483e-05	3.2162e-07	-3.2124e-07	0.00073368	1.08302e-08	-0.00073396	3.2092e-07	-3.215e-07	0.0014916	1.03646e-08	-0.0014896	3.2148e-07	-3.2146e-07	0.002215	9.9517e-09	-0.002216	3.2152e-07	-3.2088e-07	0.0029064	9.5336e-09	-0.002906	3.2156e-07	-3.2158e-07	0.0035614	9.1629e-09	-0.0035618	3.2148e-07	-3.2158e-07	0.0041846	8.7988e-09	-0.0041848	3.2152e-07	-3.2148e-07	0.0047734	8.4935e-09	-0.0047728	3.2154e-07	-3.2158e-07	0.0053252	8.1753e-09	-0.0053256	3.2152e-07	-3.2106e-07	0.0058434	7.8879e-09	-0.0058432	3.216e-07	-3.2166e-07	0.0063292	7.6108e-09	-0.0063272	3.2164e-07	-3.2174e-07
0.65	-5.498e-05	1.179e-08	5.5266e-05	3.2164e-07	-3.215e-07	0.00074624	1.12625e-08	-0.00074626	3.2156e-07	-3.2146e-07	0.001517	1.07836e-08	-0.0015152	3.2148e-07	-3.2136e-07	0.0022558	1.03501e-08	-0.0022552	3.2154e-07	-3.2154e-07	0.0029614	9.9251e-09	-0.0029604	3.2156e-07	-3.2158e-07	0.003631	9.5257e-09	-0.0036306	3.2154e-07	-3.2154e-07	0.0042684	9.1512e-09	-0.0042684	3.2154e-07	-3.2154e-07	0.0048724	8.8257e-09	-0.004871	3.215e-07	-3.2162e-07	0.0054398	8.5007e-09	-0.0054388	3.2156e-07	-3.2162e-07	0.0059742	8.1925e-09	-0.0059714	3.2152e-07	-3.2164e-07	0.0064714	7.923e-09	-0.006472	3.2098e-07	-3.211e-07
0.655	-5.5662e-05	1.2267e-08	5.5964e-05	3.216e-07	-3.2154e-07	0.00075942	1.17496e-08	-0.00075822	3.2164e-07	-3.2148e-07	0.0015434	1.12294e-08	-0.0015428	3.2086e-07	-3.209e-07	0.0022954	1.07648e-08	-0.0022952	3.2152e-07	-3.2154e-07	0.0030144	1.03302e-08	-0.0030142	3.2158e-07	-3.2158e-07	0.0036996	9.9056e-09	-0.0036988	3.215e-07	-3.2154e-07	0.0043512	9.5308e-09	-0.0043526	3.2148e-07	-3.2148e-07	0.0049712	9.1852e-09	-0.0049698	3.216e-07	-3.216e-07	0.0055542	8.8355e-09	-0.0055538	3.2152e-07	-3.2154e-07	0.0061032	8.5182e-09	-0.0061022	3.2158e-07	-3.2162e-07	0.0066172	8.231e-09	-0.0066164	3.2104e-07	-3.2116e-07
0.66	-5.6442e-05	1.27712e-08	5.6784e-05	3.217e-07	-3.2154e-07	0.00077114	1.22322e-08	-0.0007712	3.2102e-07	-3.2146e-07	0.0015672	1.17066e-08	-0.001568	3.2148e-07	-3.2136e-07	0.0023356	1.12084e-08	-0.0023342	3.2148e-07	-3.2152e-07	0.0030686	1.07388e-08	-0.0030686	3.2158e-07	-3.2154e-07	0.0037664	1.03012e-08	-0.0037668	3.21e-07	-3.2084e-07	0.004434	9.9149e-09	-0.0044336	3.2144e-07	-3.2148e-07	0.0050672	9.5469e-09	-0.005066	3.2154e-07	-3.2164e-07	0.0056652	9.1851e-09	-0.0056664	3.216e-07	-3.2164e-07	0.0062282	8.8524e-09	-0.0062272	3.2154e-07	-3.2162e-07	0.00676	8.562e-09	-0.0067578	3.2102e-07	-3.2112e-07
0.665	-5.7156e-05	1.33068e-08	5.7784e-05	3.2226e-07	-3.2218e-07	0.00078392	1.27342e-08	-0.00078304	3.2154e-07	-3.2146e-07	0.0015932	1.21914e-08	-0.001592	3.2148e-07	-3.2142e-07	0.0023754	1.1697e-08	-0.0023742	3.2138e-07	-3.215e-07	0.0031216	1.1187e-08	-0.0031218	3.2148e-07	-3.2142e-07	0.003835	1.07217e-08	-0.0038346	3.215e-07	-3.2154e-07	0.0045162	1.03188e-08	-0.0045154	3.2146e-07	-3.2154e-07	0.0051634	9.9399e-09	-0.0051644	3.216e-07	-3.2166e-07	0.005776	9.5656e-09	-0.0057768	3.2154e-07	-3.216e-07	0.006356	9.2119e-09	-0.0063552	3.2148e-07	-3.2154e-07	0.0069004	8.8863e-09	-0.0069018	3.2096e-07	-3.2104e-07
0.67	-5.8002e-05	1.38556e-08	5.85e-05	3.2226e-07	-3.2224e-07	0.00079488	1.32532e-08	-0.00079542	3.2156e-07	-3.2146e-07	0.001618	1.26836e-08	-0.0016184	3.2146e-07	-3.2144e-07	0.002412	1.21686e-08	-0.0024118	3.2124e-07	-3.2154e-07	0.0031726	1.1673e-08	-0.0031724	3.209e-07	-3.211e-07	0.0039018	1.11774e-08	-0.0039004	3.2152e-07	-3.2158e-07	0.0045942	1.07365e-08	-0.0045954	3.2152e-07	-3.2156e-07	0.0052572	1.03309e-08	-0.0052582	3.216e-07	-3.2168e-07	0.005886	9.9479e-09	-0.0058846	3.2158e-07	-3.216e-07	0.006479	9.5763e-09	-0.0064788	3.2148e-07	-3.2164e-07	0.0070398	9.2397e-09	-0.007039	3.2152e-07	-3.2164e-07
