Vds	Gds_Vgs=0.15V	Gds_Vgs=0.30V	Gds_Vgs=0.45V	Gds_Vgs=0.60V	Gds_Vgs=0.75V	Gds_Vgs=0.90V
0.4	5.04e-08	4.6e-06	0.00019	0.001254	0.00672	0.02964
0.405	4.82e-08	4.86e-06	0.000198	0.00123	0.00638	0.02848
0.41	3.94e-08	5.64e-06	0.000194	0.00122	0.00598	0.02742
0.415	3.98e-08	5.34e-06	0.000192	0.001178	0.00566	0.02638
0.42	4.76e-08	4.6e-06	0.00019	0.001122	0.00542	0.02532
0.425	4.86e-08	4.92e-06	0.000174	0.001134	0.00512	0.02436
0.43	5.12e-08	5.66e-06	0.000172	0.001162	0.00488	0.0234
0.435	5.84e-08	5.54e-06	0.000186	0.001148	0.00474	0.02234
0.44	5.68e-08	5.06e-06	0.00019	0.001136	0.00458	0.02132
0.445	5.08e-08	5.28e-06	0.000194	0.001132	0.00434	0.0204
0.45	5.04e-08	5.56e-06	0.0002	0.001122	0.00412	0.01952
0.455	4.88e-08	4.94e-06	0.000186	0.00111	0.00394	0.01864
0.46	4.38e-08	4.86e-06	0.000168	0.001072	0.00374	0.01782
0.465	4.08e-08	5.94e-06	0.000164	0.001028	0.00358	0.01708
0.47	4.1e-08	5.72e-06	0.000158	0.00103	0.00348	0.01636
0.475	4.22e-08	4.6e-06	0.000152	0.001024	0.00342	0.01564
0.48	4.3e-08	4.66e-06	0.000156	0.00101	0.00334	0.01494
0.485	4.52e-08	4.98e-06	0.00016	0.001038	0.00324	0.01424
0.49	4.56e-08	4.7e-06	0.000164	0.001058	0.00314	0.01354
0.495	4.16e-08	4.74e-06	0.000178	0.001022	0.00302	0.01292
0.5	4.28e-08	5.16e-06	0.000186	0.000968	0.00294	0.01234
0.505	5.38e-08	5.28e-06	0.000174	0.000948	0.0029	0.01178
0.51	6.16e-08	4.9e-06	0.000164	0.000938	0.00282	0.0113
0.515	6.32e-08	4.2e-06	0.00017	0.00092	0.00276	0.01084
0.52	6.32e-08	4.26e-06	0.000172	0.00093	0.00276	0.0103
0.525	5.9e-08	4.68e-06	0.000164	0.000946	0.00264	0.00976
0.53	5.14e-08	4.56e-06	0.000166	0.00092	0.00252	0.00934
0.535	4.82e-08	4.66e-06	0.000162	0.0009	0.00256	0.00898
0.54	5.16e-08	4.96e-06	0.000148	0.000902	0.00252	0.00858
0.545	5.62e-08	4.98e-06	0.00015	0.000902	0.00244	0.0081
0.55	5.68e-08	5.24e-06	0.000154	0.00092	0.00246	0.00766
0.555	5.24e-08	5.38e-06	0.000154	0.000932	0.0024	0.00736
0.56	4.9e-08	4.86e-06	0.000164	0.000934	0.0023	0.00704
0.565	4.9e-08	5.14e-06	0.000166	0.000938	0.00226	0.0067
0.57	5.04e-08	5.6e-06	0.00016	0.000914	0.00224	0.00656
0.575	5.26e-08	4.84e-06	0.000166	0.000884	0.00228	0.00644
0.58	5.6e-08	4.34e-06	0.000172	0.000884	0.00228	0.00608
0.585	5.74e-08	4.7e-06	0.000176	0.000898	0.00216	0.00572
0.59	5.4e-08	4.76e-06	0.00018	0.000904	0.0021	0.00554
0.595	5.3e-08	4.4e-06	0.000176	0.000872	0.0021	0.00538
0.6	5.82e-08	4.3e-06	0.000172	0.000856	0.002	0.00524
0.605	6.1e-08	4.38e-06	0.000172	0.00091	0.00194	0.00514
0.61	6e-08	4.56e-06	0.000166	0.000912	0.002	0.005
0.615	6.22e-08	4.58e-06	0.000158	0.000888	0.002	0.00482
0.62	6.02e-08	4.62e-06	0.00015	0.00092	0.0019	0.00458
0.625	5.24e-08	4.86e-06	0.000146	0.000904	0.00188	0.00432
0.63	5.14e-08	4.58e-06	0.000152	0.000846	0.00192	0.00416
0.635	5.3e-08	4.3e-06	0.000156	0.000824	0.00186	0.00408
0.64	5.06e-08	4.52e-06	0.000158	0.000818	0.00186	0.00394
0.645	5.28e-08	4.72e-06	0.000164	0.00084	0.002	0.00382
0.65	5.96e-08	4.88e-06	0.000168	0.000858	0.00202	0.0038
0.655	5.9e-08	5.54e-06	0.000164	0.000814	0.00192	0.00374
0.66	5.64e-08	5.9e-06	0.000158	0.000808	0.00192	0.0036
0.665	5.84e-08	5.08e-06	0.000152	0.000832	0.00192	0.00352
0.67	5.78e-08	4.64e-06	0.000146	0.000798	0.0018	0.00352
0.675	5.58e-08	5.12e-06	0.000142	0.000792	0.00174	0.0034
0.68	5.82e-08	5.02e-06	0.00014	0.000838	0.00182	0.00324
0.685	6.16e-08	4.86e-06	0.000142	0.000842	0.00188	0.0032
0.69	6.8e-08	5.56e-06	0.000152	0.00081	0.00182	0.00316
0.695	7.4e-08	5.54e-06	0.000164	0.000798	0.00172	0.0031
0.7	6.74e-08	4.66e-06	0.000166	0.000796	0.0017	0.0031
0.705	6.14e-08	4.46e-06	0.00016	0.00078	0.00168	0.00308
0.71	6.46e-08	4.3e-06	0.000152	0.000768	0.00164	0.003
0.715	6.14e-08	3.78e-06	0.000144	0.000774	0.0017	0.00298
0.72	5.54e-08	3.92e-06	0.000134	0.00081	0.0018	0.00292
0.725	5.84e-08	4.44e-06	0.00013	0.000834	0.00184	0.0028
0.73	6.62e-08	4.52e-06	0.000142	0.000814	0.00182	0.00276
0.735	7.04e-08	4.32e-06	0.000152	0.000824	0.00176	0.00272
0.74	6.68e-08	4.12e-06	0.000148	0.000842	0.00172	0.00264
0.745	6.74e-08	4.12e-06	0.00015	0.000798	0.00168	0.00262
0.75	7.62e-08	4.12e-06	0.000154	0.000776	0.00152	0.00262
0.755	7.72e-08	4.12e-06	0.00015	0.000814	0.00142	0.00258
0.76	7.06e-08	4.6e-06	0.000156	0.000808	0.00152	0.00258
0.765	6.88e-08	4.92e-06	0.000164	0.000794	0.00162	0.0026
0.77	6.98e-08	4.9e-06	0.000154	0.000826	0.00162	0.0026
0.775	6.82e-08	5.12e-06	0.000144	0.000826	0.0016	0.0026
0.78	6.24e-08	5.26e-06	0.000138	0.00079	0.0016	0.00254
0.785	6.12e-08	5.04e-06	0.000126	0.000766	0.00158	0.00242
0.79	7.4e-08	5.14e-06	0.000136	0.000744	0.00152	0.00232
0.795	7.84e-08	5.2e-06	0.000166	0.000728	0.00154	0.00222
0.8	6.94e-08	4.64e-06	0.000178	0.000738	0.0017	0.00218
0.805	7.18e-08	4.04e-06	0.00017	0.00076	0.00174	0.00228
0.81	7.88e-08	3.7e-06	0.000158	0.000788	0.00162	0.00234
0.815	7.42e-08	3.54e-06	0.000144	0.000794	0.00158	0.00226
0.82	7.06e-08	3.78e-06	0.000132	0.00078	0.00158	0.00222
0.825	7.32e-08	4.5e-06	0.000128	0.000766	0.00154	0.00224
0.83	7.2e-08	5e-06	0.000136	0.000744	0.00154	0.0022
0.835	6.98e-08	5.08e-06	0.00015	0.000744	0.00152	0.00216
0.84	7e-08	5.42e-06	0.00015	0.000774	0.00144	0.00222
