vg	id_vd = 0.0V	ig_vd = 0.0V	is_vd = 0.0V	iavdd_vd = 0.0V	ignd_vd = 0.0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
0.17	-3.9371e-10	2.6032000000000004e-10	-2.8e-13	3.2534e-07	-3.2522e-07	4.4756000000000006e-10	2.38e-11	-7.200000000000002e-13	3.2516e-07	-3.2562e-07	1.3857e-09	-2.2835e-10	-2.4000000000000004e-13	3.251e-07	-3.2624e-07	3.1539e-09	-8.615e-10	-6.900000000000001e-13	3.2496e-07	-3.2728e-07	6.4428e-09	-2.2215e-09	-2.300000000000001e-13	3.25e-07	-3.292e-07	1.21916e-08	-4.5582e-09	3.800000000000001e-13	3.2488e-07	-3.3232e-07	2.04004e-08	-8.1293e-09	-5.9e-13	3.2494e-07	-3.3714e-07
0.175	-3.9891e-10	2.7742e-10	-4.600000000000002e-13	3.2534e-07	-3.2524e-07	4.5048e-10	2.924e-11	4e-13	3.2506e-07	-3.2552e-07	1.3784e-09	-2.1384e-10	-4.7e-13	3.2504e-07	-3.262e-07	3.1068e-09	-8.3094e-10	-4.9e-13	3.2494e-07	-3.272e-07	6.3991e-09	-2.1563e-09	-1.3300000000000002e-12	3.2498e-07	-3.2918e-07	1.19934e-08	-4.4578e-09	-1.4e-13	3.2482e-07	-3.324e-07	2.03862e-08	-7.9798e-09	5.300000000000002e-13	3.2488e-07	-3.3714e-07
0.18	-4.1804e-10	2.9091000000000003e-10	-4.0000000000000006e-14	3.2542e-07	-3.2526e-07	4.4192e-10	3.704e-11	-9.000000000000001e-13	3.2506e-07	-3.2556e-07	1.3721e-09	-2.001e-10	-1.73e-12	3.2506e-07	-3.2626e-07	3.0938e-09	-7.9638e-10	-7.800000000000002e-13	3.2494e-07	-3.2732e-07	6.2997e-09	-2.0981e-09	-7.700000000000001e-13	3.25e-07	-3.2922e-07	1.18934e-08	-4.3593e-09	-1.27e-12	3.248e-07	-3.3246e-07	2.02106e-08	-7.8374e-09	-7.3e-13	3.2488e-07	-3.3704e-07
0.185	-4.3043e-10	3.0658000000000004e-10	5e-13	3.2542e-07	-3.252e-07	4.4225000000000005e-10	4.068e-11	-1.0600000000000001e-12	3.2518e-07	-3.2562e-07	1.3445e-09	-1.8862e-10	-7e-13	3.2506e-07	-3.262e-07	3.0697e-09	-7.652000000000001e-10	-1.0100000000000001e-12	3.2502e-07	-3.2732e-07	6.2519e-09	-2.0389e-09	2.4000000000000004e-13	3.2502e-07	-3.2922e-07	1.18698e-08	-4.2633e-09	-6.000000000000002e-13	3.2484e-07	-3.325e-07	1.9978e-08	-7.6936e-09	-1.5000000000000004e-13	3.2486e-07	-3.3736e-07
0.19	-4.4451000000000005e-10	3.2388e-10	5e-13	3.2528e-07	-3.2518e-07	4.3200000000000006e-10	4.5400000000000006e-11	-3.900000000000001e-13	3.2514e-07	-3.2564e-07	1.3383e-09	-1.7924000000000002e-10	5.1e-13	3.2504e-07	-3.2624e-07	3.0254e-09	-7.37e-10	-2.5e-13	3.2498e-07	-3.273e-07	6.1943e-09	-1.9819e-09	4.3000000000000004e-13	3.2496e-07	-3.293e-07	1.17186e-08	-4.1724e-09	3.800000000000001e-13	3.2488e-07	-3.3242e-07	1.98454e-08	-7.554e-09	-6.500000000000002e-13	3.2488e-07	-3.3722e-07
0.195	-4.651e-10	3.4386000000000004e-10	-1.2800000000000002e-12	3.2536e-07	-3.252e-07	4.3895e-10	5.332e-11	-8.800000000000002e-13	3.2518e-07	-3.2558e-07	1.3359e-09	-1.6461e-10	-8.9e-13	3.251e-07	-3.2624e-07	3.0027e-09	-7.063300000000001e-10	5e-14	3.2506e-07	-3.273e-07	6.1647e-09	-1.9229e-09	-1.2000000000000001e-12	3.2496e-07	-3.2918e-07	1.16934e-08	-4.0772e-09	-2.1000000000000001e-13	3.2482e-07	-3.324e-07	1.9735e-08	-7.4197e-09	-1.45e-12	3.248e-07	-3.3694e-07
0.2	-4.836500000000001e-10	3.6044000000000005e-10	5.300000000000002e-13	3.2522e-07	-3.2512e-07	4.2561e-10	5.82e-11	-1.2400000000000002e-12	3.2512e-07	-3.2558e-07	1.3166e-09	-1.5377e-10	-1.46e-12	3.2508e-07	-3.2626e-07	2.9815e-09	-6.7718e-10	-6.3e-13	3.251e-07	-3.2736e-07	6.1069e-09	-1.8692e-09	-3.2000000000000005e-13	3.2496e-07	-3.2922e-07	1.15832e-08	-3.9853e-09	-2.900000000000001e-13	3.2482e-07	-3.3234e-07	1.95734e-08	-7.2819e-09	-6.400000000000001e-13	3.2476e-07	-3.371e-07
0.205	-4.972e-10	3.8145e-10	3.2000000000000005e-13	3.253e-07	-3.252e-07	4.177e-10	6.163000000000001e-11	-2.300000000000001e-13	3.2512e-07	-3.2566e-07	1.3017e-09	-1.4487e-10	-5.1e-13	3.2512e-07	-3.2624e-07	2.9421e-09	-6.497500000000001e-10	-5.800000000000002e-13	3.2504e-07	-3.2732e-07	6.0496e-09	-1.8143e-09	-5.500000000000001e-13	3.25e-07	-3.2924e-07	1.1446e-08	-3.8931e-09	-9.100000000000002e-13	3.249e-07	-3.325e-07	1.94512e-08	-7.148e-09	-3.800000000000001e-13	3.2476e-07	-3.3698e-07
0.21	-5.216400000000001e-10	4.0491000000000005e-10	-5.9e-13	3.2528e-07	-3.252e-07	4.1615000000000006e-10	6.865e-11	-1.6000000000000005e-13	3.2516e-07	-3.2558e-07	1.2991e-09	-1.3503e-10	-5.4e-13	3.251e-07	-3.2622e-07	2.9146e-09	-6.252600000000001e-10	5.2e-13	3.251e-07	-3.2728e-07	6.0157e-09	-1.7583e-09	-6.1e-13	3.2504e-07	-3.2926e-07	1.1344599999999998e-08	-3.8041e-09	-4.7e-13	3.2478e-07	-3.3238e-07	1.93088e-08	-7.0148e-09	7.5e-13	3.2476e-07	-3.3694e-07
0.215	-5.545800000000001e-10	4.2704000000000006e-10	-3.5e-13	3.253e-07	-3.2516e-07	4.0052e-10	7.392e-11	-1.46e-12	3.2516e-07	-3.256e-07	1.2897e-09	-1.2227e-10	-8.600000000000001e-13	3.251e-07	-3.2624e-07	2.8917e-09	-5.9677e-10	-4.2000000000000003e-13	3.2498e-07	-3.2728e-07	5.9099e-09	-1.7024e-09	-7.200000000000002e-13	3.2502e-07	-3.2918e-07	1.1215799999999998e-08	-3.7145e-09	-7.600000000000002e-13	3.2488e-07	-3.323e-07	1.90944e-08	-6.8775e-09	-2.7e-13	3.2482e-07	-3.3694e-07
