vd	id_vg = 0.0V	ig_vg = 0.0V	is_vg = 0.0V	iavdd_vg = 0.0V	ignd_vg = 0.0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0.37	4.0408e-09	-1.6404e-09	-8.800000000000002e-13	3.2514e-07	-3.2752e-07	2.5981e-09	-5.4133e-10	-2.6e-13	3.2504e-07	-3.2712e-07	2.1047e-09	-9.075e-11	-2.1000000000000001e-13	3.25e-07	-3.27e-07	1.8734e-09	9.3e-11	-1.3300000000000002e-12	3.2494e-07	-3.2686e-07	1.3027e-09	4.5426e-10	-4.800000000000001e-13	3.2494e-07	-3.2672e-07	-7.2756e-10	2.4999e-09	-1.23e-12	3.2484e-07	-3.2666e-07	-9.6601e-09	1.1479399999999998e-08	-4.3000000000000004e-13	3.2482e-07	-3.2662e-07
0.375	4.1343e-09	-1.6899e-09	-5.500000000000001e-13	3.2512e-07	-3.276e-07	2.6803e-09	-5.6501e-10	-4.7e-13	3.2506e-07	-3.2716e-07	2.1707e-09	-9.671e-11	-1e-13	3.2492e-07	-3.2704e-07	1.8771e-09	8.510000000000001e-11	1.5000000000000004e-13	3.249e-07	-3.269e-07	1.3981e-09	4.3227000000000005e-10	-1.6700000000000004e-12	3.2498e-07	-3.2668e-07	-5.320400000000001e-10	2.3609e-09	-1.0100000000000001e-12	3.249e-07	-3.2676e-07	-9.0889e-09	1.09274e-08	-1.3300000000000002e-12	3.2486e-07	-3.2672e-07
0.38	4.224e-09	-1.7406e-09	-2.5e-13	3.251e-07	-3.2756e-07	2.7446e-09	-5.872100000000001e-10	-6.6e-13	3.2502e-07	-3.272e-07	2.2258e-09	-1.0457e-10	-1.6200000000000004e-12	3.2498e-07	-3.2708e-07	1.9392e-09	8.031e-11	1.4e-13	3.2492e-07	-3.2698e-07	1.4623e-09	4.0692e-10	-2.7e-13	3.2488e-07	-3.2676e-07	-3.5216e-10	2.2406e-09	-4.9e-13	3.249e-07	-3.2674e-07	-8.523e-09	1.0417399999999998e-08	-1.41e-12	3.2482e-07	-3.2672e-07
0.385	4.3251e-09	-1.7909e-09	-5.500000000000001e-13	3.2512e-07	-3.2758e-07	2.8217e-09	-6.1354e-10	-1.0000000000000002e-14	3.2504e-07	-3.2722e-07	2.2801e-09	-1.1573e-10	-1.4e-13	3.2488e-07	-3.271e-07	2.0114e-09	7.699000000000001e-11	-1.3900000000000001e-12	3.2492e-07	-3.2698e-07	1.5585e-09	3.8818000000000005e-10	-6.900000000000001e-13	3.2488e-07	-3.2682e-07	-1.5416e-10	2.1193e-09	3.2000000000000005e-13	3.2484e-07	-3.2682e-07	-7.9946e-09	9.9362e-09	-3.900000000000001e-13	3.248e-07	-3.2678e-07
0.39	4.3665e-09	-1.842e-09	-1.45e-12	3.2512e-07	-3.276e-07	2.9009e-09	-6.3904e-10	-4.800000000000001e-13	3.2502e-07	-3.2728e-07	2.351e-09	-1.2317e-10	-6.900000000000001e-13	3.25e-07	-3.2714e-07	2.063e-09	7.028e-11	-8.600000000000001e-13	3.2492e-07	-3.2708e-07	1.6271e-09	3.6993e-10	-1.5200000000000002e-12	3.2494e-07	-3.2692e-07	1.8640000000000003e-11	1.991e-09	-2.7e-13	3.2492e-07	-3.2688e-07	-7.4765e-09	9.453399999999999e-09	-4e-13	3.2486e-07	-3.2686e-07
0.395	4.4649e-09	-1.8957e-09	-4.7e-13	3.2504e-07	-3.2764e-07	2.9947e-09	-6.633700000000001e-10	-5.300000000000002e-13	3.2506e-07	-3.2734e-07	2.4147e-09	-1.3001e-10	-1.14e-12	3.2488e-07	-3.272e-07	2.117e-09	6.416e-11	-9.3e-13	3.2488e-07	-3.2698e-07	1.6863e-09	3.5027e-10	-9.4e-13	3.249e-07	-3.2692e-07	1.7988e-10	1.878e-09	-4.7e-13	3.2488e-07	-3.27e-07	-6.974e-09	8.9849e-09	-7e-13	3.2486e-07	-3.2688e-07
0.4	4.5677e-09	-1.9513e-09	-1.4e-13	3.251e-07	-3.2766e-07	3.0626e-09	-6.902000000000001e-10	-3.5e-13	3.2506e-07	-3.2744e-07	2.4654e-09	-1.4211e-10	-6.000000000000002e-13	3.2488e-07	-3.2726e-07	2.1803e-09	6.043e-11	-9.600000000000002e-13	3.2494e-07	-3.2716e-07	1.7773e-09	3.3373000000000005e-10	1.0000000000000002e-14	3.2498e-07	-3.2704e-07	3.5159e-10	1.7703e-09	2.300000000000001e-13	3.2492e-07	-3.269e-07	-6.5009e-09	8.5543e-09	-1.7e-13	3.2486e-07	-3.2686e-07
0.405	4.6734e-09	-2.0029e-09	-3.000000000000001e-13	3.2508e-07	-3.2776e-07	3.1346e-09	-7.1962e-10	-2.4000000000000004e-13	3.2502e-07	-3.2746e-07	2.5279e-09	-1.5085e-10	3.1000000000000004e-13	3.25e-07	-3.2734e-07	2.2487e-09	5.754e-11	-1.23e-12	3.2488e-07	-3.2716e-07	1.8653e-09	3.1836e-10	-1.08e-12	3.2494e-07	-3.271e-07	5.250400000000001e-10	1.6693e-09	-5.4e-13	3.2486e-07	-3.271e-07	-6.021e-09	8.1395e-09	3.000000000000001e-13	3.2492e-07	-3.2696e-07
0.41	4.7788e-09	-2.0604e-09	-1.74e-12	3.251e-07	-3.2776e-07	3.2306e-09	-7.4718e-10	2.0000000000000003e-14	3.251e-07	-3.2748e-07	2.5946e-09	-1.5971e-10	-6.000000000000002e-13	3.2494e-07	-3.2734e-07	2.3046e-09	4.9480000000000006e-11	-1.3500000000000001e-12	3.2492e-07	-3.2726e-07	1.9352e-09	3.0252e-10	-1.4800000000000004e-12	3.25e-07	-3.2718e-07	6.661900000000001e-10	1.5722e-09	-9.600000000000002e-13	3.2486e-07	-3.2712e-07	-5.5538e-09	7.7322e-09	-5.300000000000002e-13	3.2482e-07	-3.2696e-07
0.415	4.8831e-09	-2.1187e-09	5e-14	3.2504e-07	-3.2776e-07	3.306e-09	-7.7412e-10	-6.700000000000002e-13	3.2502e-07	-3.2752e-07	2.664e-09	-1.7008000000000002e-10	-8.800000000000002e-13	3.2492e-07	-3.2748e-07	2.3743e-09	4.537e-11	1e-13	3.2488e-07	-3.273e-07	2.0064e-09	2.8516000000000003e-10	-6.200000000000001e-13	3.249e-07	-3.272e-07	7.906900000000001e-10	1.4806e-09	1.4e-13	3.2488e-07	-3.271e-07	-5.1301e-09	7.3678e-09	-1.23e-12	3.2484e-07	-3.2702e-07
